timestamp,open,high,low,close,volume,exchange,symbol
2025-11-29 04:34:00,3031.39,3031.39,3030.81,3031.18,16.3904,bingx,ETH/USDT
2025-11-29 04:35:00,3031.17,3032.48,3030.49,3032.31,23.4718,bingx,ETH/USDT
2025-11-29 04:36:00,3032.27,3033.95,3032.15,3032.16,16.8671,bingx,ETH/USDT
2025-11-29 04:37:00,3031.96,3032.95,3031.93,3032.62,34.2866,bingx,ETH/USDT
2025-11-29 04:38:00,3032.61,3032.62,3030.96,3031.45,19.1974,bingx,ETH/USDT
2025-11-29 04:39:00,3031.64,3031.64,3031.03,3031.06,20.8334,bingx,ETH/USDT
2025-11-29 04:40:00,3031.06,3031.06,3029.94,3030.63,10.4432,bingx,ETH/USDT
2025-11-29 04:41:00,3030.63,3030.64,3030.62,3030.63,4.2501,bingx,ETH/USDT
2025-11-29 04:42:00,3030.63,3031.93,3030.4,3030.41,7.7005,bingx,ETH/USDT
2025-11-29 04:43:00,3030.41,3031.94,3030.4,3031.93,19.4214,bingx,ETH/USDT
2025-11-29 04:44:00,3031.99,3032.0,3031.2,3031.21,11.9479,bingx,ETH/USDT
2025-11-29 04:45:00,3031.21,3033.49,3031.2,3033.47,6.9735,bingx,ETH/USDT
2025-11-29 04:46:00,3033.49,3033.49,3033.14,3033.33,24.1562,bingx,ETH/USDT
2025-11-29 04:47:00,3033.33,3033.83,3033.32,3033.6,15.5425,bingx,ETH/USDT
2025-11-29 04:48:00,3033.6,3033.95,3033.6,3033.89,5.6675,bingx,ETH/USDT
2025-11-29 04:49:00,3033.88,3033.9,3032.98,3033.48,10.401,bingx,ETH/USDT
2025-11-29 04:50:00,3033.49,3034.8,3033.49,3034.33,26.3872,bingx,ETH/USDT
2025-11-29 04:51:00,3034.32,3034.83,3034.31,3034.78,10.7714,bingx,ETH/USDT
2025-11-29 04:52:00,3034.77,3035.29,3034.01,3035.29,5.9986,bingx,ETH/USDT
2025-11-29 04:53:00,3035.41,3035.42,3035.15,3035.42,20.9699,bingx,ETH/USDT
2025-11-29 04:54:00,3035.41,3035.42,3034.92,3034.92,19.7896,bingx,ETH/USDT
2025-11-29 04:55:00,3034.92,3035.11,3033.49,3033.67,58.1987,bingx,ETH/USDT
2025-11-29 04:56:00,3033.68,3034.22,3033.66,3034.19,21.2634,bingx,ETH/USDT
2025-11-29 04:57:00,3034.2,3034.8,3033.92,3034.78,9.7952,bingx,ETH/USDT
2025-11-29 04:58:00,3034.78,3034.8,3034.26,3034.27,6.2444,bingx,ETH/USDT
2025-11-29 04:59:00,3034.27,3045.89,3034.27,3041.05,6.4404,bingx,ETH/USDT
2025-11-29 05:00:00,3041.01,3041.33,3039.63,3039.63,371.801,bingx,ETH/USDT
2025-11-29 05:01:00,3039.64,3039.64,3038.78,3038.8,69.415,bingx,ETH/USDT
2025-11-29 05:02:00,3038.79,3038.8,3037.39,3037.39,3.8857,bingx,ETH/USDT
2025-11-29 05:03:00,3037.28,3037.89,3036.9,3036.9,22.363,bingx,ETH/USDT
2025-11-29 05:04:00,3036.91,3037.06,3036.77,3036.79,27.3935,bingx,ETH/USDT
2025-11-29 05:05:00,3036.9,3037.3,3036.32,3036.98,12.1241,bingx,ETH/USDT
2025-11-29 05:06:00,3037.0,3038.0,3036.99,3037.96,8.5932,bingx,ETH/USDT
2025-11-29 05:07:00,3037.95,3037.96,3036.52,3036.53,10.7847,bingx,ETH/USDT
2025-11-29 05:08:00,3036.53,3037.18,3036.52,3037.18,8.5669,bingx,ETH/USDT
2025-11-29 05:09:00,3037.17,3037.18,3037.16,3037.18,11.1437,bingx,ETH/USDT
2025-11-29 05:10:00,3037.18,3037.18,3036.56,3036.68,9.386,bingx,ETH/USDT
2025-11-29 05:11:00,3036.79,3037.17,3036.54,3037.16,6.5921,bingx,ETH/USDT
2025-11-29 05:12:00,3037.16,3037.17,3036.54,3036.77,9.1925,bingx,ETH/USDT
2025-11-29 05:13:00,3036.83,3037.11,3036.54,3037.1,10.5498,bingx,ETH/USDT
2025-11-29 05:14:00,3037.1,3037.11,3036.32,3036.32,11.0151,bingx,ETH/USDT
2025-11-29 05:15:00,3036.33,3037.68,3036.31,3036.95,9.6305,bingx,ETH/USDT
2025-11-29 05:16:00,3036.96,3037.67,3036.94,3036.99,7.4146,bingx,ETH/USDT
2025-11-29 05:17:00,3036.99,3037.91,3036.98,3037.91,4.5528,bingx,ETH/USDT
2025-11-29 05:18:00,3037.9,3037.91,3036.39,3037.04,8.7111,bingx,ETH/USDT
2025-11-29 05:19:00,3037.05,3038.92,3037.05,3038.91,26.7071,bingx,ETH/USDT
2025-11-29 05:20:00,3039.12,3040.45,3039.12,3039.47,15.1955,bingx,ETH/USDT
2025-11-29 05:21:00,3039.46,3040.38,3039.46,3039.77,22.0404,bingx,ETH/USDT
2025-11-29 05:22:00,3039.76,3039.78,3037.38,3037.38,15.1864,bingx,ETH/USDT
2025-11-29 05:23:00,3037.38,3038.21,3037.37,3037.88,67.1287,bingx,ETH/USDT
2025-11-29 05:24:00,3037.89,3038.31,3037.6,3038.3,19.6008,bingx,ETH/USDT
2025-11-29 05:25:00,3038.4,3040.04,3038.4,3039.46,3.6866,bingx,ETH/USDT
2025-11-29 05:26:00,3039.31,3040.37,3038.77,3040.29,27.653,bingx,ETH/USDT
2025-11-29 05:27:00,3040.29,3040.31,3039.67,3039.68,26.202,bingx,ETH/USDT
2025-11-29 05:28:00,3039.68,3040.15,3039.6,3040.14,14.7266,bingx,ETH/USDT
2025-11-29 05:29:00,3040.13,3040.16,3040.12,3040.13,4.8718,bingx,ETH/USDT
2025-11-29 05:30:00,3040.13,3040.55,3039.12,3039.89,7.3441,bingx,ETH/USDT
2025-11-29 05:31:00,3039.89,3039.9,3039.44,3039.59,41.5891,bingx,ETH/USDT
2025-11-29 05:32:00,3039.59,3039.77,3038.39,3038.39,25.8174,bingx,ETH/USDT
2025-11-29 05:33:00,3038.4,3038.4,3036.9,3036.9,0.5708,bingx,ETH/USDT
2025-11-29 05:34:00,3036.55,3036.55,3035.78,3035.99,16.3652,bingx,ETH/USDT
2025-11-29 05:35:00,3035.99,3043.26,3035.98,3041.89,13.9485,bingx,ETH/USDT
2025-11-29 05:36:00,3041.88,3041.93,3040.18,3040.64,538.919,bingx,ETH/USDT
2025-11-29 05:37:00,3040.65,3040.65,3040.05,3040.06,100.4845,bingx,ETH/USDT
2025-11-29 05:38:00,3040.06,3040.57,3040.06,3040.56,1.9275,bingx,ETH/USDT
2025-11-29 05:39:00,3040.55,3040.55,3039.33,3039.33,6.8213,bingx,ETH/USDT
