week,entry_rsi,pnl_pct,equity,result
2025_W37,83.67021298055334,-10.000000000000004,110.0,WIN
2025_W40,92.27964669104338,-9.999999999999991,120.99999999999999,WIN
2025_W41,82.44497831060616,-10.000000000000005,133.1,WIN
2025_W42,85.39298047192068,-9.999999999999998,146.41,WIN
2025_W43,80.18056164849928,5.000000000000007,139.0895,LOSS
2025_W44,81.970426939489,5.000000000000009,132.13502499999998,LOSS
2025_W45,82.99727967426833,5.0,125.52827374999998,LOSS
2025_W46,84.35264246699907,5.000000000000013,119.25186006249999,LOSS
2025_W47,81.13428991002326,-9.999999999999996,131.17704606874997,WIN
2025_W48,83.81079701300051,5.000000000000001,124.61819376531247,LOSS
2025_W49,91.93054804843169,-9.999999999999993,137.08001314184372,WIN
2025_W50,83.96856808538686,-6.433759944655819,128.26061416419486,TIMEOUT
