entry_idx,exit_idx,pattern,entry_price,exit_price,pnl_pct,pnl_usd,equity,result,candles_held
2969,3017,PARABOLIC,0.1943,0.1798,-7.4626865671641855,-7.4626865671641855,92.53731343283582,TIMEOUT,48
5347,5348,PARABOLIC,0.1091,0.114555,5.000000000000001,-4.626865671641791,87.91044776119402,SL,1
5352,5353,PARABOLIC,0.1288,0.13524,5.000000000000001,-4.395522388059701,83.51492537313432,SL,1
5354,5358,PARABOLIC,0.1465,0.13185,-9.999999999999998,8.35149253731343,91.86641791044775,TP,4
5488,5504,PARABOLIC,0.1253,0.131565,4.999999999999995,-4.593320895522388,87.27309701492537,SL,16
5575,5615,PARABOLIC,0.138,0.12420000000000002,-9.999999999999993,8.727309701492532,96.0004067164179,TP,40
6229,6231,PARABOLIC,0.1071,0.112455,4.999999999999999,-4.8000203358208955,91.20038638059701,SL,2
6642,6679,PARABOLIC,0.1233,0.12946500000000002,5.000000000000014,-4.560019319029851,86.64036706156716,SL,37
6680,6685,PARABOLIC,0.1385,0.14542500000000003,5.00000000000001,-4.332018353078358,82.30834870848881,SL,5
6686,6693,PARABOLIC,0.1573,0.165165,5.000000000000007,-4.11541743542444,78.19293127306437,SL,7
6695,6697,VOL_SPIKE,0.1688,0.17724,5.000000000000002,-3.9096465636532187,74.28328470941116,SL,2
6698,6699,VOL_SPIKE,0.1765,0.185325,5.0,-3.7141642354705584,70.5691204739406,SL,1
6700,6703,VOL_SPIKE,0.1917,0.20128500000000002,5.000000000000005,-3.5284560236970304,67.04066445024357,SL,3
6704,6708,VOL_SPIKE,0.2129,0.22354500000000002,5.000000000000007,-3.3520332225121785,63.68863122773139,SL,4
6709,6710,VOL_SPIKE,0.2213,0.19917,-9.999999999999993,6.368863122773135,70.05749435050453,TP,1
6872,6878,PARABOLIC,0.1586,0.16653,5.000000000000013,-3.5028747175252266,66.5546196329793,SL,6
7752,7754,PARABOLIC,0.1299,0.136395,5.000000000000001,-3.327730981648965,63.226888651330334,SL,2
8038,8086,PARABOLIC,0.1307,0.1282,-1.9127773527161454,-1.2093896069497014,62.017499044380635,TIMEOUT,48
9103,9151,PARABOLIC,0.12,0.1148,-4.33333333333333,-2.6874249585898253,59.33007408579081,TIMEOUT,48
9661,9709,PARABOLIC,0.1177,0.1139,-3.228547153780797,-1.9154994182328375,57.41457466755797,TIMEOUT,48
