entry_time,exit_time,direction,pnl_pct,pnl_dollar,risk_pct,exit_reason
2025-09-05 08:45:00,2025-09-05 12:15:00,SHORT,-0.5735452264308731,-14.09225000000001,12.0,SL
2025-09-05 12:45:00,2025-09-05 12:45:00,SHORT,-0.5129062831019673,-6.1594175946195655,6.0,SL
2025-09-06 01:30:00,2025-09-06 02:45:00,SHORT,-0.45696877380045664,-2.9159977744027357,3.0,SL
2025-09-06 03:45:00,2025-09-06 08:45:00,SHORT,1.278609339312314,3.5411639964222137,2.0,TP
2025-09-09 09:15:00,2025-09-09 12:30:00,SHORT,2.010872044667318,5.72824133936686,3.0,TP
2025-09-10 04:15:00,2025-09-10 07:15:00,SHORT,-0.6536884658390388,-4.4673038093533615,4.5,SL
2025-09-10 07:45:00,2025-09-10 23:00:00,SHORT,-0.7344882069093092,-2.0868502805490743,2.25,SL
2025-09-12 00:15:00,2025-09-12 00:15:00,SHORT,-0.4878849048125207,-1.917043322717947,2.0,SL
2025-09-12 01:30:00,2025-09-12 03:45:00,SHORT,-0.6566985012445498,-1.7890375900111386,2.0,SL
2025-09-12 04:15:00,2025-09-12 05:00:00,SHORT,-0.5663686891100762,-1.7846468286407613,2.0,SL
2025-09-12 07:00:00,2025-09-12 12:00:00,SHORT,1.7384262006660403,3.4898431886758887,2.0,TP
2025-09-12 14:45:00,2025-09-12 16:15:00,SHORT,-0.8312323969662125,-2.6062747607465586,3.0,SL
2025-09-12 19:15:00,2025-09-12 22:30:00,SHORT,-0.8351532314190365,-1.6782736252036097,2.0,SL
2025-09-13 01:45:00,2025-09-13 10:00:00,SHORT,-0.6377425808264239,-1.6949976812118586,2.0,SL
2025-09-13 10:45:00,2025-09-13 13:45:00,SHORT,2.4877693001941554,3.434519756546107,2.0,TP
2025-09-16 08:45:00,2025-09-16 13:15:00,SHORT,-0.5566669565973706,-2.6542506836710897,3.0,SL
2025-09-17 23:45:00,2025-09-19 03:30:00,SHORT,1.9649255534890517,3.4332741034981837,2.0,TP
2025-09-23 00:45:00,2025-09-23 02:00:00,SHORT,1.3974168960406557,5.276833929434518,3.0,TP
2025-09-23 07:45:00,2025-09-23 09:15:00,SHORT,-0.6987880133557454,-4.169576867769298,4.5,SL
2025-09-24 02:15:00,2025-09-24 03:15:00,SHORT,1.7227204937639085,4.073894147416853,2.25,TP
2025-09-26 17:15:00,2025-09-26 17:30:00,SHORT,-0.8719066546993168,-3.0458517556677527,3.375,SL
2025-09-26 18:45:00,2025-09-28 06:15:00,SHORT,1.8079805790630652,3.6803219218739995,2.0,TP
2025-09-28 06:45:00,2025-09-28 09:00:00,LONG,-0.5068484885054048,-2.93085238289905,3.0,SL
2025-09-30 22:45:00,2025-10-01 00:00:00,SHORT,-0.6527060103345088,-1.8143534516192164,2.0,SL
2025-10-01 00:30:00,2025-10-01 08:30:00,SHORT,-0.6440455602600021,-1.775673451748319,2.0,SL
2025-10-01 09:00:00,2025-10-01 12:00:00,SHORT,-0.8121707912779873,-1.686384802859141,2.0,SL
2025-10-01 12:45:00,2025-10-01 18:45:00,SHORT,-1.2646153461655458,-1.583846534507866,2.0,SL
2025-10-01 22:00:00,2025-10-01 22:00:00,SHORT,-0.8747000384933442,-1.6002866600356287,2.0,SL
2025-10-01 23:15:00,2025-10-08 03:15:00,SHORT,7.379760793960479,3.462680273856512,2.0,TP
2025-10-08 09:00:00,2025-10-08 14:00:00,SHORT,-0.6724654630509519,-2.5386736732780473,3.0,SL
2025-10-08 14:30:00,2025-10-08 16:15:00,SHORT,-0.8589557459852707,-1.5881957972703937,2.0,SL
2025-10-08 18:45:00,2025-10-09 02:30:00,SHORT,1.8937664513516421,3.2934323648431105,2.0,TP
2025-10-10 04:00:00,2025-10-10 04:00:00,SHORT,-0.7171334310250251,-2.489713732503992,3.0,SL
2025-10-10 14:00:00,2025-10-10 14:45:00,SHORT,1.6754486074351043,3.3072953831703775,2.0,TP
2025-10-12 01:15:00,2025-10-12 02:00:00,LONG,-1.3286584240634773,-2.375851928171276,3.0,SL
2025-10-12 08:45:00,2025-10-12 14:45:00,SHORT,-0.9288043547220592,-1.5789967223457948,2.0,SL
2025-10-12 22:30:00,2025-10-13 00:00:00,SHORT,-1.352936487148252,-1.4969685290404344,2.0,SL
2025-10-13 03:00:00,2025-10-13 11:15:00,SHORT,4.597841061874433,3.335831341076459,2.0,TP
2025-10-13 23:30:00,2025-10-14 02:15:00,SHORT,2.0252099910359505,5.100262320056664,3.0,TP
2025-10-14 15:00:00,2025-10-14 15:30:00,SHORT,-1.4280380810154858,-3.6901147072207445,4.5,SL
2025-10-14 16:45:00,2025-10-15 11:15:00,SHORT,4.74492485785067,4.016731679412447,2.25,TP
2025-10-17 19:00:00,2025-10-19 08:15:00,SHORT,3.0179062437126927,6.27854970412134,3.375,TP
2025-10-19 11:30:00,2025-10-19 13:45:00,SHORT,-1.4322305515696847,-4.508317595399066,5.0625,SL
2025-10-19 14:15:00,2025-10-19 17:00:00,SHORT,-0.9685100819765117,-2.1986981840596127,2.53125,SL
2025-10-20 04:30:00,2025-10-20 06:30:00,SHORT,-1.0155463892794516,-1.681408612529527,2.0,SL
2025-10-20 07:30:00,2025-10-20 12:30:00,SHORT,2.117595836054538,3.565898332646787,2.0,TP
2025-10-21 11:15:00,2025-10-21 12:15:00,SHORT,-0.662284882845812,-2.707778660771146,3.0,SL
2025-10-21 13:00:00,2025-10-21 14:00:00,SHORT,-0.78183731769659,-1.707891985375495,2.0,SL
2025-10-21 14:30:00,2025-10-21 14:45:00,SHORT,-1.0249821757576227,-1.6244584724004938,2.0,SL
2025-10-21 17:00:00,2025-10-21 21:15:00,SHORT,4.031841207484757,3.5291681030899813,2.0,TP
2025-10-23 05:00:00,2025-10-23 05:00:00,SHORT,-0.6856881642604055,-2.60933995658388,3.0,SL
2025-10-23 07:15:00,2025-10-23 13:30:00,SHORT,-0.883559482486582,-1.6318833507189603,2.0,SL
2025-10-23 16:30:00,2025-10-23 16:30:00,SHORT,-1.1545862732520882,-1.557471871843737,2.0,SL
2025-10-23 18:00:00,2025-10-24 22:15:00,SHORT,-2.0745905696515767,-1.4697684489023044,2.0,SL
2025-10-24 23:00:00,2025-10-26 01:45:00,SHORT,3.369619734527654,3.3301118626192263,2.0,TP
2025-10-26 14:30:00,2025-10-26 20:15:00,SHORT,1.9601919442434297,5.122335414126137,3.0,TP
2025-10-27 19:45:00,2025-11-03 03:45:00,SHORT,19.69294200618457,8.62877457696014,4.5,TP
2025-11-05 17:15:00,2025-11-05 17:30:00,SHORT,-1.1283703503925318,-6.298917691213265,6.75,SL
2025-11-05 18:00:00,2025-11-05 18:30:00,SHORT,-1.1411895376440149,-2.915361588466567,3.375,SL
2025-11-05 20:45:00,2025-11-05 21:00:00,SHORT,-1.3119968194016516,-1.646749208193096,2.0,SL
