timestamp,open,high,low,close,volume,tr,atr,atr_pct
2025-10-19 22:00:00+00:00,25074.0,25099.25,25050.0,25065.75,1913,,,
2025-10-19 22:15:00+00:00,25049.0,25074.25,24986.5,25072.75,1615,87.75,,
2025-10-19 22:30:00+00:00,25060.0,25064.0,25039.75,25048.5,1259,33.0,,
2025-10-19 22:45:00+00:00,25060.25,25065.75,25056.25,25059.0,437,17.25,,
2025-10-19 23:00:00+00:00,25035.75,25064.0,25034.5,25061.5,1385,29.5,,
2025-10-19 23:15:00+00:00,24994.75,25043.0,24987.25,25036.0,1992,74.25,,
2025-10-19 23:30:00+00:00,24996.0,25010.0,24992.0,24994.25,1138,44.0,,
2025-10-19 23:45:00+00:00,25012.0,25016.0,24990.0,24994.25,1088,26.0,,
2025-10-20 00:00:00+00:00,24991.5,25016.5,24988.0,25011.75,1774,28.5,,
2025-10-20 00:15:00+00:00,24976.75,24997.5,24956.25,24991.25,3918,55.5,,
2025-10-20 00:30:00+00:00,25018.5,25019.5,24965.25,24978.0,2229,54.25,,
2025-10-20 00:45:00+00:00,25047.0,25056.0,25016.5,25018.75,2688,78.0,,
2025-10-20 01:00:00+00:00,25046.0,25062.25,25042.5,25049.25,1811,43.5,,
2025-10-20 01:15:00+00:00,25062.0,25076.5,25043.25,25044.75,1692,33.25,,
2025-10-20 01:30:00+00:00,25064.5,25067.75,25047.0,25062.75,1795,23.0,44.839285714285715,0.17890808356738871
2025-10-20 01:45:00+00:00,25047.0,25065.5,25031.0,25065.5,1304,34.5,41.035714285714285,0.16371392665502096
2025-10-20 02:00:00+00:00,25032.75,25048.75,25028.5,25045.5,1061,37.0,41.32142857142857,0.16498544078348834
2025-10-20 02:15:00+00:00,25037.75,25047.0,25026.75,25033.5,938,20.25,41.535714285714285,0.16592052364117796
2025-10-20 02:30:00+00:00,25049.25,25053.25,25035.0,25038.5,834,19.75,40.839285714285715,0.16310595967923683
2025-10-20 02:45:00+00:00,25051.75,25058.25,25046.75,25049.25,759,19.75,36.94642857142857,0.14749514884249457
2025-10-20 03:00:00+00:00,25062.0,25063.0,25052.0,25054.0,515,13.75,34.785714285714285,0.13884295635712574
2025-10-20 03:15:00+00:00,25065.0,25066.25,25059.5,25060.5,391,12.25,33.80357142857143,0.13488785710010345
2025-10-20 03:30:00+00:00,25073.5,25075.5,25060.0,25064.5,667,15.5,32.875,0.13116160306409463
2025-10-20 03:45:00+00:00,25095.0,25099.0,25074.0,25074.0,1604,34.5,31.375,0.12512961633564648
2025-10-20 04:00:00+00:00,25105.0,25114.25,25093.25,25095.75,1524,40.25,30.375,0.12103643047129493
2025-10-20 04:15:00+00:00,25115.75,25119.75,25098.0,25105.25,950,24.0,26.517857142857142,0.10562673999604522
2025-10-20 04:30:00+00:00,25102.5,25118.5,25085.0,25116.0,1839,33.5,25.803571428571427,0.10273758332764545
2025-10-20 04:45:00+00:00,25111.75,25114.5,25094.5,25102.25,522,21.5,24.964285714285715,0.0994503907589388
2025-10-20 05:00:00+00:00,25111.5,25115.5,25107.25,25111.5,499,13.25,24.267857142857142,0.09664041233242594
2025-10-20 05:15:00+00:00,25117.5,25121.75,25095.25,25110.75,1162,26.5,23.696428571428573,0.09436766552742779
2025-10-20 05:30:00+00:00,25121.5,25122.5,25100.75,25118.25,1237,21.75,22.607142857142858,0.09000285791065404
2025-10-20 05:45:00+00:00,25113.0,25127.5,25105.0,25120.5,1296,22.5,22.767857142857142,0.09063456994429706
2025-10-20 06:00:00+00:00,25093.0,25112.5,25088.0,25112.25,1455,32.5,23.678571428571427,0.09429091948579449
2025-10-20 06:15:00+00:00,25107.25,25113.5,25087.25,25093.5,963,26.25,24.142857142857142,0.0962115971979084
2025-10-20 06:30:00+00:00,25119.25,25125.75,25106.75,25108.0,1189,32.25,25.464285714285715,0.10141901272218304
