week,timestamp,price,rsi,atr,wick_top,wick_ratio,body_size,volume,vol_ratio,week_return,week_high,week_low,week_range
2025_W36,2025-09-01 04:30:00,0.2042,82.14122265394525,0.0021500000000000013,0.002899999999999986,0.2543859649122794,0.008000000000000007,896619.49,18.637556362706913,0.872242175474606,0.2042,0.1845,0.019699999999999995
2025_W37,2025-09-13 10:15:00,0.221,66.70922778962115,0.001657142857142855,0.0032000000000000084,0.5000000000000013,0.0025000000000000022,581566.786,13.4988005826904,2.238046795523914,0.221,0.1946,0.026400000000000007
2025_W38,2025-09-17 23:00:00,0.205,69.42181685202725,0.0013571428571428523,0.0002999999999999947,0.21428571428571117,0.0010000000000000009,45528.787,1.3324508634761494,-3.6815920398010036,0.205,0.1923,0.012699999999999989
2025_W39,2025-09-22 00:00:00,0.1948,39.66058618420686,0.0009857142857142881,0.0007999999999999952,0.44444444444444,0.0002999999999999947,36403.982,0.7884794681412693,-11.977284460505935,0.1948,0.1568,0.038000000000000006
2025_W40,2025-10-01 22:15:00,0.1988,92.27964669104338,0.0027071428571428585,0.004500000000000004,0.2008928571428572,0.017600000000000005,2690941.801,46.52603897192455,4.398826979472128,0.1988,0.1615,0.0373
2025_W41,2025-10-06 19:00:00,0.1889,75.93660000331207,0.0012785714285714264,0.0012000000000000066,0.37499999999999983,0.0015000000000000013,106586.396,1.3713704807492613,-28.932584269662918,0.1889,0.0461,0.1428
2025_W42,2025-10-13 01:45:00,0.1348,85.39298047192068,0.0016928571428571407,0.0005000000000000004,0.13157894736842088,0.0030999999999999917,149989.817,2.4851813411454455,-16.969218626677193,0.1348,0.1002,0.034600000000000006
2025_W43,2025-10-20 06:45:00,0.1088,67.72965395423353,0.0008428571428571423,0.0005000000000000004,0.5000000000000014,9.999999999998899e-05,47793.377,0.6556387276746402,-4.467680608365015,0.1088,0.0897,0.019099999999999992
2025_W44,2025-10-27 18:45:00,0.1494,95.18457662475974,0.006621428571428576,0.0012000000000000066,0.2666666666666672,0.0007999999999999952,4410900.425,9.628009060969653,14.825870646766164,0.1494,0.094,0.055400000000000005
2025_W45,2025-11-05 21:45:00,0.1186,88.29713662435128,0.0023857142857142866,0.006499999999999992,0.9154929577464787,0.00010000000000000286,1163501.007,11.417335860898454,-1.3840830449826906,0.1186,0.0899,0.028700000000000003
2025_W46,2025-11-10 21:15:00,0.2301,75.96432418014038,0.014407142857142856,0.0058,0.42962962962962975,0.0030000000000000027,5885643.104,8.935054069409915,22.280701754385955,0.2301,0.1129,0.1172
2025_W47,2025-11-17 02:30:00,0.1426,59.83516039988728,0.0015499999999999978,0.0002999999999999947,0.13043478260869293,0.0015000000000000013,83198.483,1.1981264557678986,-13.127690100430414,0.1426,0.1159,0.0267
2025_W48,2025-11-24 18:15:00,0.1371,89.07008737790648,0.0019285714285714334,0.0015000000000000013,0.7142857142857144,0.0,143591.787,2.6601947752193835,6.172839506172846,0.1371,0.12,0.017100000000000004
2025_W49,2025-12-01 00:00:00,0.1292,23.63522840612461,0.0013071428571428578,0.00020000000000000573,0.03773584905660478,0.004200000000000009,503247.129,9.205317137763135,-10.697674418604656,0.1292,0.1125,0.016700000000000007
2025_W50,2025-12-09 17:00:00,0.1194,78.61318372409758,0.0012142857142857174,0.0006000000000000033,0.545454545454548,0.00010000000000000286,87156.456,2.213523207681052,-6.16319444444444,0.1194,0.1074,0.01200000000000001
2025_W51,2025-12-15 06:45:00,0.1113,56.33310724799718,0.0005500000000000009,0.0005000000000000004,0.555555555555559,0.0002999999999999947,79884.641,1.8394155246687518,-3.4227567067530016,0.1113,0.1006,0.010700000000000001
