month,trades,signals,fill_rate,winners,losers,win_rate,tp_rate,avg_win,avg_loss,total_return,max_dd,return_dd,final_equity
June,11,13,84.61538461538461,3,8,27.27272727272727,27.27272727272727,3.9326990556566144,-1.5239954858768066,-28.03145017252281,-35.11335347636076,-0.7983131030590492,71.96854982747719
July,35,37,94.5945945945946,8,27,22.857142857142858,22.857142857142858,4.469790439136419,-1.7099639261295276,-80.58706324848035,-92.9832434345695,-0.8666837192573078,19.412936751519652
August,38,41,92.6829268292683,10,28,26.31578947368421,26.31578947368421,3.0774831616425753,-1.3169491150559638,-73.94510515969898,-91.30295645751514,-0.8098873029824278,26.054894840301017
September,19,20,95.0,6,13,31.57894736842105,31.57894736842105,2.860039038434951,-1.109469126348633,-26.34808015206471,-72.52172377740732,-0.36331293272806797,73.65191984793529
October,11,12,91.66666666666666,7,4,63.63636363636363,63.63636363636363,5.302769104087893,-2.2170486060800147,253.5054689006441,-23.977863775820154,10.572479319708414,353.5054689006441
November,27,30,90.0,13,14,48.148148148148145,48.148148148148145,6.056280637674562,-2.5723469634563756,308.59256358852616,-41.008774210266466,7.525037495787197,408.59256358852616
December,10,10,100.0,8,2,80.0,80.0,2.472266030017203,-0.518607318700894,433.61312229824256,-14.362293103448254,30.191078762634085,533.6131222982425
