week,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,pnl_usd,equity,exit_reason,candles_held
2025_W36,335,535,0.197806,0.1913,-3.289081220994313,-4.111351526242891,95.88864847375712,TIMEOUT,200
2025_W36,591,712,0.19303,0.20075120000000002,4.000000000000005,4.794432423687862,100.68308089744498,SL,121
2025_W37,893,1093,0.20138799999999998,0.203,0.8004449123085934,1.0073907482489295,101.6904716456939,TIMEOUT,200
2025_W37,1126,1192,0.2086515,0.21699756,4.000000000000008,5.084523582284706,106.77499522797861,SL,66
2025_W38,1844,2026,0.19949750000000002,0.18353770000000003,-7.999999999999997,-10.677499522797858,96.09749570518075,TP,182
2025_W39,2139,2339,0.17014500000000002,0.1675,-1.5545564077698482,-1.8673622214890526,94.2301334836917,TIMEOUT,200
2025_W39,2471,2671,0.1680555,0.1687,0.38350425900966784,0.451720718975566,94.68185420266727,TIMEOUT,200
2025_W39,2674,2874,0.1694485,0.168,-0.8548319991029671,-1.0117134838355215,93.67014071883175,TIMEOUT,200
2025_W40,2914,2928,0.1704435,0.17726124000000001,4.00000000000001,4.683507035941599,98.35364775477335,SL,14
2025_W40,2955,2969,0.17790599999999998,0.18502223999999998,3.9999999999999982,4.917682387738666,103.27133014251201,SL,14
2025_W40,3138,3338,0.1869605,0.18,-3.7229789180067496,-4.805962311938591,98.46536783057343,TIMEOUT,200
2025_W41,3416,3616,0.1817865,0.1778,-2.192957122778631,-2.699129121638424,95.766238708935,TIMEOUT,200
2025_W41,3995,4000,0.116017,0.12065768,4.000000000000007,4.788311935446759,100.55455064438176,SL,5
2025_W41,4001,4012,0.11999699999999999,0.12479688,4.000000000000005,5.027727532219096,105.58227817660085,SL,11
2025_W41,4013,4038,0.1248725,0.1298674,3.9999999999999973,5.279113908830039,110.8613920854309,SL,25
2025_W42,4039,4077,0.134126,0.12339592,-7.999999999999992,-11.086139208543079,99.77525287688782,TP,38
2025_W42,4191,4303,0.1262655,0.11616426,-7.999999999999997,-9.97752528768878,89.79772758919904,TP,112
2025_W43,4763,4796,0.102684,0.09446928,-7.999999999999995,-8.9797727589199,80.81795483027915,TP,33
2025_W43,4957,4963,0.0974105,0.10130692,3.9999999999999982,4.040897741513956,84.85885257179311,SL,6
2025_W43,4964,5082,0.101689,0.10575656,3.9999999999999982,4.242942628589653,89.10179520038277,SL,118
2025_W43,5231,5347,0.101689,0.10575656,3.9999999999999982,4.455089760019137,93.5568849604019,SL,116
2025_W44,5348,5349,0.11412649999999999,0.11869156,4.000000000000008,4.677844248020105,98.23472920842201,SL,1
2025_W44,5350,5352,0.1200965,0.12490036,4.000000000000006,4.911736460421109,103.14646566884312,SL,2
2025_W44,5353,5358,0.14556850000000002,0.13392302000000003,-7.999999999999989,-10.3146465668843,92.83181910195881,TP,5
2025_W44,5486,5500,0.12338,0.12831520000000002,4.0000000000000115,4.641590955097954,97.47341005705677,SL,14
2025_W44,5516,5546,0.13611600000000001,0.12522672,-8.0,-9.747341005705678,87.72606905135109,TP,30
2025_W44,5575,5613,0.13979750000000002,0.12861370000000003,-7.999999999999995,-8.772606905135104,78.95346214621598,TP,38
2025_W45,6211,6228,0.09810699999999999,0.10203127999999999,4.000000000000003,3.947673107310802,82.90113525352679,SL,17
2025_W45,6229,6230,0.1065645,0.11082708000000001,4.000000000000002,4.145056762676341,87.04619201620314,SL,1
2025_W45,6231,6244,0.118007,0.10856644,-8.0,-8.704619201620314,78.34157281458282,TP,13
2025_W45,6401,6403,0.110047,0.11444888000000002,4.00000000000001,3.9170786407291507,82.25865145531196,SL,2
2025_W45,6404,6604,0.1159175,0.1155,-0.36016994845472095,-0.37033867818268207,81.88831277712929,TIMEOUT,200
2025_W46,6642,6679,0.12308150000000001,0.12800476000000002,4.00000000000001,4.094415638856474,85.98272841598576,SL,37
2025_W46,6680,6685,0.13860350000000002,0.14414764000000002,4.000000000000002,4.29913642079929,90.28186483678505,SL,5
2025_W46,6686,6687,0.157807,0.16411928,4.000000000000002,4.514093241839254,94.7959580786243,SL,1
2025_W46,6688,6691,0.16119,0.1482948,-7.999999999999997,-9.479595807862426,85.31636227076187,TP,3
2025_W46,6693,6697,0.176513,0.18357352000000002,4.000000000000008,4.265818113538103,89.58218038429997,SL,4
2025_W46,6699,6703,0.1905425,0.1981642,4.000000000000005,4.479109019215005,94.06128940351498,SL,4
2025_W46,6704,6705,0.21541749999999998,0.1981841,-7.999999999999992,-9.40612894035149,84.65516046316348,TP,1
2025_W46,6708,6710,0.225666,0.20761272,-8.000000000000002,-8.46551604631635,76.18964441684713,TP,2
2025_W46,6872,6878,0.158802,0.16515408,4.000000000000006,3.8094822208423627,79.9991266376895,SL,6
2025_W46,6879,6881,0.166961,0.15360412,-7.999999999999993,-7.999912663768943,71.99921397392056,TP,2
2025_W46,6939,7023,0.16765750000000001,0.15424490000000002,-7.999999999999997,-7.199921397392054,64.7992925765285,TP,84
2025_W46,7088,7206,0.153429,0.14115468,-8.000000000000004,-6.479929257652853,58.319363318875645,TP,118
2025_W47,7752,7754,0.130146,0.13535184000000003,4.000000000000012,2.9159681659437915,61.23533148481944,SL,2
2025_W47,7889,8038,0.1238775,0.12883260000000002,4.000000000000014,3.0617665742409828,64.29709805906042,SL,149
2025_W48,8039,8239,0.132932,0.1335,0.4272861312550875,0.34341572850731156,64.64051378756773,TIMEOUT,200
2025_W48,8595,8642,0.131738,0.12119896,-8.0,-6.464051378756773,58.176462408810956,TP,47
