symbol,candles,days,avg_price,price_range,daily_vol,avg_range_pct,range_95th,explosive_pct,volume_cv,avg_atr_pct,atr_expansion_gt_1_5,score
MOODENG,46080,31,0.08154873936631944,$0.0660 - $0.2284,16.82023873136085,0.2740915738879812,0.6616799271023315,2.048611111111111,2.1034498061453273,0.27790157485928085,1.4930555555555556,89.03238531983521
PEPE,46080,31,4.8736097092013895e-06,$0.0000 - $0.0000,5.170481088894312,0.15896703968612333,0.368223384279913,0.12152777777777778,5.497886306815425,0.16062672614309922,1.8598090277777777,62.209594988830574
UNI,46080,31,6.5282194010416665,$5.3470 - $10.1780,6.896916034323031,0.21080022627455475,0.4908932090820958,0.68359375,1.9513805862815656,0.212370490392125,1.1805555555555556,56.11965363789045
ETH,11000,7,3013.653993636364,$2721.7500 - $3236.8200,3.3400578886821046,0.09553367483798784,0.24119852755950807,0.027272727272727275,1.3112989069055776,0.09746315108239201,3.0272727272727273,35.422204590489784
