coin,signal_time,entry_time,exit_time,sl_dist_pct,pnl_pct,result,equity_before,position_size,pnl_dollar,equity_after,month
FARTCOIN,2025-06-01 05:30:00,2025-06-01 06:45:00,2025-06-01 14:30:00,1.981346634070253,-1.981346634070253,LOSS,100.0,252.35362222957266,-5.252353622229573,94.74764637777042,2025-06
FARTCOIN,2025-06-01 16:30:00,2025-06-01 18:45:00,2025-06-01 20:30:00,2.126762183509923,-2.126762183509923,LOSS,94.74764637777042,222.75091947845976,-4.960133238366981,89.78751313940344,2025-06
FARTCOIN,2025-06-01 22:00:00,2025-06-02 01:00:00,2025-06-03 00:30:00,1.6732582902342357,-1.6732582902342357,LOSS,89.78751313940344,268.30141426292977,-4.757677071233102,85.02983606817034,2025-06
FARTCOIN,2025-06-03 01:45:00,2025-06-03 03:00:00,2025-06-03 14:45:00,2.1948359674622173,-2.1948359674622173,LOSS,85.02983606817034,193.70430712980848,-4.445196110538325,80.58463995763202,2025-06
DOGE,2025-06-03 01:45:00,2025-06-03 03:00:00,2025-06-05 16:15:00,1.8324113197136727,6.0,WIN,80.58463995763202,219.8868755357393,12.973325656608619,93.55796561424064,2025-06
MOODENG,2025-06-03 13:15:00,2025-06-03 14:00:00,2025-06-04 00:30:00,5.880600518186173,8.0,WIN,93.55796561424064,79.54796905937243,6.284289555690423,99.84225516993106,2025-06
FARTCOIN,2025-06-03 14:45:00,2025-06-03 20:00:00,2025-06-03 21:15:00,4.62106980423177,10.0,WIN,99.84225516993106,108.02937349972507,10.694907976472782,110.53716314640384,2025-06
MELANIA,2025-06-03 19:00:00,2025-06-04 20:15:00,2025-06-05 19:15:00,9.993149511902716,10.0,WIN,110.53716314640384,55.30646920410047,5.475340451205947,116.0125035976098,2025-06
MOODENG,2025-06-06 08:45:00,2025-06-06 12:30:00,2025-06-06 15:15:00,1.5342612673469134,-1.5342612673469134,LOSS,116.0125035976098,378.07284217707524,-6.178698022057565,109.83380557555223,2025-06
DOGE,2025-06-06 15:00:00,2025-06-06 17:00:00,2025-06-07 06:45:00,2.2360016222655865,-2.2360016222655865,LOSS,109.83380557555223,245.60314375860156,-5.737293422536213,104.09651215301602,2025-06
