symbol,candles,days,avg_price,price_range,daily_vol,avg_range_pct,range_95th,explosive_pct,volume_cv,avg_atr_pct,atr_expansion_gt_1_5,score
WIF-USDT,43157,29,0.3926196097967885,$0.3083 - $0.5082,7.231286138088688,0.23018727644885023,0.48364841644292395,0.2803716662418611,2.6231157985814035,0.23209916671654116,0.9801422712422088,63.37030892950571
POPCAT-USDT,43157,29,0.1078231410895104,$0.0836 - $0.2098,9.282240837868645,0.34369110008121895,0.665926748057705,1.2002687860601988,2.0969319397207316,0.3442412679005288,1.239659846606576,72.52975882438716
BRETT-USDT,43157,29,0.017821099937437725,$0.0129 - $0.0258,9.56867621370032,0.3255604661420726,0.6336551546903507,0.9500196955302732,9.40780260791904,0.33024358973396223,0.8735546956461292,81.60121257998908
BOME-USDT,43157,29,0.0007552001413443938,$0.0006 - $0.0010,6.522363492978575,0.18825262412282345,0.4745333873898196,0.2548833329471465,3.811977679287692,0.1887630694338113,4.108255902866279,72.26005885198133
1000PEPE-USDT,43157,29,0.0047601020668721185,$0.0040 - $0.0063,5.240349940626036,0.1592779515558228,0.37272114515262944,0.13439303009940448,5.260859389114544,0.1610957406124708,1.990407118196353,62.744989695965614
FLOKI-USDT,43157,29,5.051714020900434e-05,$0.0000 - $0.0001,5.3012021096539605,0.1475765807319917,0.3623917857861813,0.10658757559607944,8.918471670422742,0.15013035941758082,2.4329772690409435,63.12764909265637
SHIB-USDT,43157,29,8.66123481706328e-06,$0.0000 - $0.0000,3.932951777661791,0.10184496133490989,0.26698791237378267,0.032439696920545914,4.299709124377625,0.10351825437357468,3.9506916606807705,61.509838292406556
