strategy,return,max_dd,return_dd,final_equity,max_consec_losses
Scale Down (50% floor),6712.5215374808595,-24.807868306999207,270.58034388174383,6812.521537480859,19
Scale Down (20% floor),7051.2241862787205,-26.196410286615883,269.16757330989316,7151.2241862787205,19
Scale Down (60% floor),6812.649134782356,-25.581429300581622,266.3122945451474,6912.649134782356,19
Scale Down (30% floor),6891.982450068801,-26.196410286615883,263.0888115838532,6991.982450068801,19
Baseline (100% fixed),7463.792700787695,-35.51519419750348,210.15773303338315,7563.792700787695,19
Scale Up/Down (200% ceiling),2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,19
Scale Up/Down (150% ceiling),2397.6638451986273,-21.67458593351331,110.62097576181847,2497.6638451986273,19
Scale Up/Down (100% ceiling),1530.6679193351351,-18.71354277774175,81.79466269506922,1630.6679193351351,19
"Gradual Up/Down (5% steps, 100% ceiling)",1193.8834688472978,-17.053268806866722,70.0090687813802,1293.8834688472978,19
