limit_offset,tp_pct,trades,win_rate,total_return,max_dd,return_dd,final_equity,avg_sl_dist,tp_count,sl_count
0.2,2.0,26,30.76923076923077,46.43794683571039,-34.773553521587765,1.335438634618727,146.4379468357104,0.6465643625332139,8,18
0.25,2.0,25,28.000000000000004,42.33250662628586,-34.88697846726011,1.2134185442861742,142.33250662628586,0.6036664341374832,7,18
0.4,2.0,24,25.0,17.44481318402852,-35.27799569920829,0.49449558678924654,117.44481318402852,0.571996955857985,6,18
0.35,2.0,24,25.0,13.518941551943186,-35.13812008591455,0.3847371890951668,113.51894155194319,0.5870050627533859,6,18
0.2,1.5,27,33.33333333333333,11.472530456560264,-34.773553521587765,0.32992114106020265,111.47253045656026,0.6512296687766174,9,18
0.3,2.0,24,25.0,9.910657372785934,-35.00817262017764,0.28309553544287924,109.91065737278593,0.6020077358649911,6,18
0.25,1.5,26,30.76923076923077,9.252727886573382,-34.88697846726011,0.26522009910536276,109.25272788657338,0.6097529040743962,8,18
0.15,1.5,27,33.33333333333333,8.23276162899002,-34.66706601149259,0.2374807728540036,108.23276162899002,0.6662426170516442,9,18
0.1,1.5,27,33.33333333333333,5.2726949399835945,-34.56680715628161,0.1525363599867632,105.2726949399836,0.6812501726506516,9,18
0.4,2.5,23,21.73913043478261,2.6105632747818106,-45.692635397526885,0.05713312992498365,102.61056327478181,0.5871350390369232,5,18
0.15,2.0,26,26.923076923076923,0.7098501275012836,-34.66706601149257,0.020476210108636227,100.70985012750128,0.6617466277092476,7,19
0.4,4.0,23,13.043478260869565,-1.0337115395304437,-61.27902430734215,-0.016868929478150805,98.96628846046956,0.5871350390369232,3,20
0.35,2.5,23,21.73913043478261,-0.824457756276601,-45.309275567754504,-0.018196224634925467,99.1755422437234,0.6025436517350299,5,18
0.1,2.0,26,26.923076923076923,-1.8481206565782882,-34.56680715628161,-0.0534651826019876,98.15187934342171,0.6769233800690683,7,19
0.35,4.0,23,13.043478260869565,-4.510618297949833,-60.859224472431215,-0.07411560592582164,95.48938170205017,0.6025436517350299,3,20
0.3,4.0,23,13.043478260869565,-7.662511620299455,-60.51825107248909,-0.126614888641135,92.33748837970055,0.6179466236783224,3,20
0.4,1.5,25,28.000000000000004,-5.777620609405162,-35.27799569920827,-0.16377406071101785,94.22237939059484,0.5783195612570288,7,18
0.4,3.5,23,13.043478260869565,-13.323257543001828,-61.27902430734217,-0.21741954434815466,86.67674245699817,0.5871350390369232,3,20
0.35,1.5,25,28.000000000000004,-8.127752845925755,-36.0230038740266,-0.2256267376909689,91.87224715407424,0.5931521355668723,7,18
0.35,3.5,23,13.043478260869565,-16.02671475613434,-60.859224472431215,-0.26334076543144785,83.97328524386566,0.6025436517350299,3,20
0.3,1.5,25,28.000000000000004,-10.332387228504501,-37.069791574665146,-0.2787279558260595,89.6676127714955,0.6079794025664687,7,18
0.3,3.5,23,13.043478260869565,-18.490282305808535,-60.51825107248911,-0.30553233079489966,81.50971769419147,0.6179466236783224,3,20
0.4,3.0,23,13.043478260869565,-24.575028777901252,-61.27902430734215,-0.40103492272733193,75.42497122209875,0.5871350390369232,3,20
0.25,3.5,24,12.5,-26.086513269772126,-60.23113340937357,-0.43310679698603133,73.91348673022787,0.6187688504428727,3,21
0.35,3.0,23,13.043478260869565,-26.597557866970078,-60.85922447243121,-0.43703412420279164,73.40244213302992,0.6025436517350299,3,20
0.2,3.5,24,12.5,-27.91663764200753,-59.98300333560365,-0.4654091340811084,72.08336235799247,0.6340619856288794,3,21
0.3,3.0,23,13.043478260869565,-28.453381805729165,-60.51825107248909,-0.47016199743855036,71.54661819427083,0.6179466236783224,3,20
0.15,3.5,24,12.5,-29.582859367754892,-59.764378015989685,-0.49499150413378573,70.41714063224511,0.6493495835211072,3,21
0.3,2.5,23,17.391304347826086,-27.6472842287599,-54.23052991689929,-0.5098103277088661,72.3527157712401,0.6179466236783224,4,19
0.2,3.0,25,16.0,-29.386078717547466,-56.79574785125894,-0.5173992742292255,70.61392128245254,0.6625468211848531,4,21
0.1,3.5,24,12.5,-31.104320996313735,-59.91490386399564,-0.5191416323878155,68.89567900368627,0.664631647572978,3,21
0.15,3.0,25,16.0,-30.89359484915545,-57.274352849942936,-0.5393966638103398,69.10640515084455,0.6781046257544995,4,21
0.1,3.0,25,16.0,-32.275436207609204,-57.70831488672411,-0.559285715948608,67.7245637923908,0.693656723914528,4,21
0.25,3.0,24,12.5,-34.869431172555096,-60.58358974537178,-0.5755590139030827,65.1305688274449,0.6187688504428727,3,21
0.2,2.5,25,16.0,-38.933166719903404,-59.67537173635936,-0.6524159898308933,61.066833280096596,0.6625468211848531,4,21
0.15,2.5,25,16.0,-40.00107157688284,-60.023369622714654,-0.6664249579507984,59.99892842311716,0.6781046257544995,4,21
0.1,2.5,25,16.0,-40.98344114646774,-60.339013478170536,-0.6792196090725736,59.01655885353226,0.693656723914528,4,21
0.25,2.5,24,12.5,-42.941133398183545,-62.67436398680961,-0.685146695820015,57.058866601816455,0.6187688504428727,3,21
0.25,4.0,24,8.333333333333332,-51.18468017178574,-74.49273117671319,-0.6871097268586432,48.81531982821426,0.6187688504428727,2,22
0.2,4.0,24,8.333333333333332,-51.38196890924899,-74.2465000858906,-0.6920456701636949,48.61803109075101,0.6340619856288794,2,22
0.15,4.0,24,8.333333333333332,-51.6017289253766,-74.02565359392945,-0.6970790046439826,48.3982710746234,0.6493495835211072,2,22
0.1,4.0,24,8.333333333333332,-51.835337290463016,-73.8253621941816,-0.7021345476656303,48.164662709536984,0.664631647572978,2,22
