rsi_trigger,limit_offset,tp_pct,trades,win_rate,total_return,max_dd,return_dd,final_equity,avg_sl_dist
68,0.25,3.0,35,14.285714285714285,-17.31183881599911,-70.2722062912799,-0.24635399583501252,82.68816118400089,0.247778736200268
72,0.25,3.0,23,13.043478260869565,-22.052151691764763,-56.07151499060201,-0.39328617561806317,77.94784830823524,0.3258819979590459
72,0.2,2.5,24,16.666666666666664,-28.697813920455005,-52.22617164563677,-0.549491050486611,71.302186079545,0.36240111183483004
65,0.25,3.0,54,12.962962962962962,-50.52249673855361,-83.29454586077,-0.6065522804218645,49.47750326144639,0.2537769508069609
60,0.15,1.5,79,18.9873417721519,-71.62165887017214,-94.2957420522601,-0.7595428734255928,28.37834112982786,0.23704355378878797
68,0.2,2.5,37,13.513513513513514,-56.360873414712586,-74.07152985396746,-0.76089792563794,43.639126585287414,0.24504814872553765
65,0.2,2.0,54,14.814814814814813,-66.60450744186525,-82.56165017988504,-0.8067245179420177,33.395492558134755,0.26148729766265116
72,0.15,2.0,24,16.666666666666664,-43.499659782958254,-51.51836198646696,-0.8443525396709024,56.500340217041746,0.37031863555970573
65,0.15,1.5,56,21.428571428571427,-67.58080375195344,-79.93787331284256,-0.8454165835444628,32.41919624804656,0.2784789769834101
65,0.2,2.5,54,12.962962962962962,-69.97501925813182,-82.56165017988502,-0.8475486997373539,30.024980741868184,0.26148729766265116
70,0.25,3.0,30,10.0,-61.189437489851514,-69.36896944107595,-0.8820865868827362,38.81056251014848,0.25705481685241915
60,0.2,2.0,77,11.688311688311687,-85.56264145668322,-94.82728308825023,-0.9022998304934569,14.437358543316776,0.22210890654595622
75,0.3,3.0,12,8.333333333333332,-33.67603597227553,-35.71017168771952,-0.9430376383168295,66.32396402772447,0.40752781218821427
68,0.15,2.0,37,13.513513513513514,-69.43340580630196,-73.40777983312292,-0.9458589534262465,30.566594193698034,0.25258990603904385
70,0.2,2.5,32,12.5,-68.35053237100443,-69.73133015176703,-0.9801983157677138,31.649467628995563,0.2823100754503386
70,0.15,2.0,32,12.5,-74.48758672691392,-75.04742220794054,-0.9925402436945078,25.512413273086086,0.2899171098247877
60,0.25,2.5,77,9.090909090909092,-96.058037947946,-96.61964471634005,-0.9941874473866796,3.9419620520539973,0.21426974109830194
70,0.3,3.5,29,6.896551724137931,-80.52278478553761,-80.52278478553761,-1.0,19.477215214462394,0.25365967239380066
75,0.2,2.0,12,8.333333333333332,-41.542438175057214,-41.542438175057214,-1.0,58.457561824942786,0.4269726660769311
75,0.25,2.5,12,8.333333333333332,-37.664782433160624,-37.664782433160624,-1.0,62.335217566839376,0.4172488131721092
