entry_price,exit_price,initial_sl,final_sl,highest_high,pnl_pct,pnl_dollar,exit_reason,trailing_active,max_unrealized_pct
24992.042857142857,25491.883714285716,24827.0,25268.017499999998,25523.25,2.0,14.38562148359739,TP,True,2.1255050893341507
25043.753571428573,25544.628642857144,24937.0,25293.2625,25548.75,2.0,25.492477809449863,TP,True,2.0164566271230093
26270.85,26061.25,26061.25,26061.25,26399.0,-0.797842475595569,-7.8705071986248765,INITIAL_SL,False,0.4878030212193418
26158.79642857143,25963.75,25963.75,25963.75,26158.79642857143,-0.7456246280444084,-7.4855944107331345,INITIAL_SL,False,0.0
26022.435714285715,26003.34,25888.75,26003.34,26266.0,-0.07338173296065428,-2.101272450766554,TRAIL_SL,True,0.9359780475144901
25779.7,25671.25,25671.25,25671.25,25790.75,-0.4206798372362779,-7.576070641677098,INITIAL_SL,False,0.04286318304712341
25371.242857142857,25878.667714285715,25296.0,25621.2,25880.0,2.0,36.78839622078321,TP,True,2.0052511645637043
25337.92142857143,25225.5,25225.5,25225.5,25438.5,-0.44368844101261434,-9.290431007603672,INITIAL_SL,False,0.39694878568514436
24843.139285714286,25340.00207142857,24756.75,25092.7875,25346.25,2.0,38.887063665518255,TP,True,2.025149513109326
25648.7,25488.75,25488.75,25488.75,25721.5,-0.6236183510275403,-10.514533808512963,INITIAL_SL,False,0.2838350481700799
25148.95357142857,25002.5,25002.5,25002.5,25159.75,-0.5823445934345136,-10.001514627433405,INITIAL_SL,False,0.04292993162027787
24755.939285714285,25251.05807142857,24626.5,25015.5675,25268.25,2.0,29.20045580340026,TP,True,2.0694456727050965
25182.02857142857,24955.0,24955.0,24955.0,25216.0,-0.9015499715783689,-10.548968902274147,INITIAL_SL,False,0.13490346290041477
24891.235714285714,24744.5,24744.5,24744.5,24959.5,-0.5895075518548849,-10.489569279011002,INITIAL_SL,False,0.2742502883258098
24827.617857142857,24603.75,24603.75,24603.75,24859.5,-0.901688830684378,-9.380217937427863,INITIAL_SL,False,0.128414022805536
24703.72142857143,24738.12,24380.0,24738.12,24988.0,0.13924449208201423,0.23882931578253874,TRAIL_SL,True,1.1507520122040589
24122.01785714286,24072.25,24072.25,24072.25,24238.5,-0.20631713912823324,-11.85779144544714,INITIAL_SL,False,0.48288722588209737
24937.707142857143,25436.461285714286,24602.0,25185.6,25440.0,2.0,10.435621832494485,TP,True,2.0141902151045477
25255.632142857143,25760.744785714287,25193.25,25519.4775,25777.25,2.0,60.88851466459867,TP,True,2.065352608053338
25670.55,25609.32,25423.25,25609.32,25868.0,-0.23852235343613426,-3.8513232510843447,TRAIL_SL,True,0.7691693399635019
25701.435714285715,25611.5,25611.5,25611.5,25868.0,-0.3499248652312678,-13.844536790841167,TRAIL_SL,True,0.6480738569079345
25678.45357142857,25612.0,25612.0,25612.0,25688.0,-0.25879117386769207,-13.968422587573247,INITIAL_SL,False,0.03717680484486675
25722.085714285713,25612.0425,25528.75,25612.0425,25870.75,-0.42781606246105036,-6.5846375409262645,TRAIL_SL,True,0.577963573271668
25601.235714285714,25463.25,25463.25,25463.25,25701.0,-0.5389806797830359,-10.726225784170113,INITIAL_SL,False,0.38968543092088387
25661.189285714285,25602.885,25390.25,25602.885,25861.5,-0.22720804193882266,-2.637685678306915,TRAIL_SL,True,0.780597937435539
25397.289285714287,25141.25,25141.25,25141.25,25410.0,-1.0081362732608885,-9.210559587185408,INITIAL_SL,False,0.05004752335070139
25021.29642857143,24959.6325,24828.0,24959.6325,25211.75,-0.24644577768966808,-3.55126998427569,TRAIL_SL,True,0.7611658811215486
