entry_time,exit_time,entry_price,sl_price,tp_price,swing_low,sl_buffer_dollars,pnl_pct,pnl_dollar,exit_reason,sl_dist_pct
2025-10-22 19:15:00+00:00,2025-10-24 12:30:00+00:00,24992.042857142857,24827.0,25491.883714285716,24827.0,0.0,2.0,14.38562148359739,TP,0.6603816186066054
2025-10-23 13:30:00+00:00,2025-10-24 14:00:00+00:00,25043.753571428573,24937.0,25544.628642857144,24937.0,0.0,2.0,25.492477809449863,TP,0.42626825537192686
2025-10-29 20:00:00+00:00,2025-10-30 13:30:00+00:00,26270.85,26061.25,26796.267,26061.25,0.0,-0.797842475595569,-7.8705071986248765,SL,0.797842475595569
2025-10-30 14:00:00+00:00,2025-10-30 19:00:00+00:00,26158.79642857143,25963.75,26681.97235714286,25963.75,0.0,-0.7456246280444084,-7.4855944107331345,SL,0.7456246280444084
2025-10-31 19:00:00+00:00,2025-11-04 05:15:00+00:00,26022.435714285715,25888.75,26542.88442857143,25888.75,0.0,-0.5137325181759402,-7.438034045232097,SL,0.5137325181759402
2025-11-04 11:30:00+00:00,2025-11-04 14:30:00+00:00,25779.7,25671.25,26295.294,25671.25,0.0,-0.4206798372362779,-7.245802357769016,SL,0.4206798372362779
2025-11-05 02:45:00+00:00,2025-11-05 19:45:00+00:00,25371.242857142857,25296.0,25878.667714285715,25296.0,0.0,2.0,35.18465715046232,TP,0.29656748613587863
2025-11-06 18:30:00+00:00,2025-11-07 01:30:00+00:00,25337.92142857143,25225.5,25844.67985714286,25225.5,0.0,-0.44368844101261434,-8.885427563104576,SL,0.44368844101261434
2025-11-07 18:00:00+00:00,2025-11-09 23:00:00+00:00,24843.139285714286,24756.75,25340.00207142857,24756.75,0.0,2.0,37.1918361009305,TP,0.34773900641438865
2025-11-13 01:00:00+00:00,2025-11-13 14:00:00+00:00,25648.7,25488.75,26161.674000000003,25488.75,0.0,-0.6236183510275403,-10.056167301483882,SL,0.6236183510275403
2025-11-13 21:15:00+00:00,2025-11-14 05:00:00+00:00,25148.95357142857,25002.5,25651.932642857144,25002.5,0.0,-0.5823445934345136,-9.565512479524076,SL,0.5823445934345136
2025-11-14 14:30:00+00:00,2025-11-14 16:15:00+00:00,24755.939285714285,24626.5,25251.05807142857,24626.5,0.0,2.0,27.92750246338389,TP,0.5228615413068948
2025-11-17 14:45:00+00:00,2025-11-17 16:15:00+00:00,25182.02857142857,24955.0,25685.669142857143,24955.0,0.0,-0.9015499715783689,-10.089101245129047,SL,0.9015499715783689
2025-11-17 21:00:00+00:00,2025-11-18 04:00:00+00:00,24891.235714285714,24744.5,25389.06042857143,24744.5,0.0,-0.5895075518548849,-10.032291065994364,SL,0.5895075518548849
2025-11-18 08:30:00+00:00,2025-11-18 14:45:00+00:00,24827.617857142857,24603.75,25324.170214285714,24603.75,0.0,-0.901688830684378,-8.971300356348875,SL,0.901688830684378
2025-11-18 17:45:00+00:00,2025-11-20 05:00:00+00:00,24703.72142857143,24380.0,25197.795857142857,24380.0,0.0,2.0,11.058723279877603,TP,1.31041563720446
2025-11-20 23:30:00+00:00,2025-11-21 07:45:00+00:00,24122.01785714286,24072.25,24604.458214285718,24072.25,0.0,-0.20631713912823324,-12.144850174937536,SL,0.20631713912823324
2025-11-25 17:15:00+00:00,2025-11-28 17:00:00+00:00,24937.707142857143,24602.0,25436.461285714286,24602.0,0.0,2.0,10.688252042636044,TP,1.3461828745282198
2025-12-01 06:15:00+00:00,2025-12-05 14:30:00+00:00,25255.632142857143,25193.25,25760.744785714287,25193.25,0.0,2.0,62.36253111535079,TP,0.24700289624223803
2025-12-03 20:00:00+00:00,2025-12-11 03:00:00+00:00,25670.55,25423.25,26183.961,25423.25,0.0,-0.9633607382779071,-12.390578828313423,SL,0.9633607382779071
2025-12-05 14:30:00+00:00,2025-12-08 17:00:00+00:00,25701.435714285715,25611.5,26215.46442857143,25611.5,0.0,-0.3499248652312678,-13.63670714083195,SL,0.3499248652312678
2025-12-08 18:00:00+00:00,2025-12-08 18:30:00+00:00,25678.45357142857,25612.0,26192.02264285714,25612.0,0.0,-0.25879117386769207,-13.758733204575856,SL,0.25879117386769207
2025-12-10 19:00:00+00:00,2025-12-11 02:45:00+00:00,25722.085714285713,25528.75,26236.52742857143,25528.75,0.0,-0.7516331157326673,-10.464847305879578,SL,0.7516331157326673
2025-12-11 09:45:00+00:00,2025-12-11 14:45:00+00:00,25601.235714285714,25463.25,26113.26042857143,25463.25,0.0,-0.5389806797830359,-10.329341597411595,SL,0.5389806797830359
2025-12-11 18:30:00+00:00,2025-12-12 15:15:00+00:00,25661.189285714285,25390.25,26174.41307142857,25390.25,0.0,-1.055832926126764,-8.972631663660932,SL,1.055832926126764
2025-12-15 14:15:00+00:00,2025-12-15 15:15:00+00:00,25397.289285714287,25141.25,25905.235071428575,25141.25,0.0,-1.0081362732608885,-8.516226670423169,SL,1.0081362732608885
