trade_num,signal_bar,armed_bar,limit_placed_bar,entry_bar,exit_bar,bars_waiting,signal_time,entry_time,exit_time,rsi_at_signal,swing_low,limit_price,entry_price,sl_price,tp_price,exit_price,exit_type,position_size,pnl_pct,pnl_dollar,equity_before,equity_after,duration_bars,month
1,853,853,999,1010,1135,11,2025-06-09 21:15:00,2025-06-11 12:30:00,2025-06-12 19:45:00,80.25025799090318,0.303,0.3051142857142857,0.3051142857142857,0.319,0.27460285714285715,0.27460285714285715,TP,109.86625514403299,10.000000000000002,10.9866255144033,100.0,110.9866255144033,125,2025-06
2,2192,2192,2307,2317,2517,10,2025-06-23 20:00:00,2025-06-25 03:15:00,2025-06-27 05:15:00,75.70429267624755,0.209,0.21082857142857142,0.21082857142857142,0.224,0.1897457142857143,0.1922,TIME,88.8254131963971,8.8358856213579,7.848511912732193,110.9866255144033,118.83513742713549,200,2025-06
3,2406,2406,2452,2454,2546,2,2025-06-26 01:30:00,2025-06-26 13:30:00,2025-06-27 12:30:00,74.83744140046498,0.204,0.20518857142857141,0.20518857142857141,0.218,0.18466971428571427,0.18466971428571427,TP,95.16351727773365,10.000000000000002,9.516351727773367,118.83513742713548,128.35148915490885,92,2025-06
4,11112,11112,11171,11178,11225,7,2025-09-26 18:00:00,2025-09-27 10:30:00,2025-09-27 22:15:00,72.6216870655195,0.1665,0.16704285714285716,0.16704285714285716,0.1694,0.15033857142857146,0.1694,SL,454.7921099055646,-1.4111006585136274,-6.4175744577454426,128.35148915490885,121.9339146971634,47,2025-09
5,11314,11314,11370,11371,11385,1,2025-09-28 20:30:00,2025-09-29 10:45:00,2025-09-29 14:15:00,74.59416829608713,0.1681,0.16859714285714286,0.16859714285714286,0.1709,0.15173742857142858,0.1709,SL,446.35225635018253,-1.3658933383043212,-6.09669573485817,121.9339146971634,115.83721896230523,14,2025-09
6,13404,13404,13429,13430,13630,1,2025-10-21 15:00:00,2025-10-21 21:30:00,2025-10-23 23:30:00,73.9048960166574,0.0989,0.09963142857142858,0.09963142857142858,0.106,0.08966828571428573,0.098,TIME,90.60923424034438,1.6374637951306281,1.4836934057307436,115.83721896230523,117.32091236803598,200,2025-10
