step,floor,ceiling,strategy,return,max_dd,return_dd,final_equity,max_scale
15,50,350,"Up/Down (15%, 50%-350%)",13929.160762288753,-32.357019920103916,430.48342513255835,14029.160762288755,2.599999999999999
15,50,300,"Up/Down (15%, 50%-300%)",13929.160762288753,-32.357019920103916,430.48342513255835,14029.160762288755,2.599999999999999
15,50,400,"Up/Down (15%, 50%-400%)",13929.160762288753,-32.357019920103916,430.48342513255835,14029.160762288755,2.599999999999999
15,50,450,"Up/Down (15%, 50%-450%)",13929.160762288753,-32.357019920103916,430.48342513255835,14029.160762288755,2.599999999999999
15,50,500,"Up/Down (15%, 50%-500%)",13929.160762288753,-32.357019920103916,430.48342513255835,14029.160762288755,2.599999999999999
15,50,250,"Up/Down (15%, 50%-250%)",13158.660796781518,-32.357019920103916,406.67097369513436,13258.660796781518,2.5
30,30,200,"Up/Down (30%, 30%-200%)",12239.179763100912,-30.793889932857414,397.4548129446152,12339.179763100912,2.0
20,50,200,"Up/Down (20%, 50%-200%)",12746.845226648447,-32.43522312674712,392.99391210714356,12846.845226648447,2.0
20,40,250,"Up/Down (20%, 40%-250%)",12952.704270964128,-33.33964612130635,388.50755115503307,13052.704270964128,2.5
25,50,150,"Up/Down (25%, 50%-150%)",10334.808493485009,-26.782951835537222,385.8726460379235,10434.808493485009,1.5
25,30,250,"Up/Down (25%, 30%-250%)",12846.710330118942,-33.67646849635211,381.474391577327,12946.710330118942,2.5
20,60,150,"Up/Down (20%, 60%-150%)",10962.512654888606,-29.030331103293648,377.62272210683983,11062.512654888606,1.5
30,40,150,"Up/Down (30%, 40%-150%)",9718.844010524077,-27.008789822255498,359.84004001969976,9818.844010524077,1.5
15,60,200,"Up/Down (15%, 60%-200%)",12303.407615596248,-35.29980653573361,348.5403695666616,12403.407615596248,2.0
25,30,200,"Up/Down (25%, 30%-200%)",9121.422575672666,-27.185751169477097,335.52218288210395,9221.422575672666,2.0
15,40,450,"Up/Down (15%, 40%-450%)",9276.304766729078,-29.289322743746187,316.71284610736654,9376.304766729078,2.499999999999999
15,40,350,"Up/Down (15%, 40%-350%)",9276.304766729078,-29.289322743746187,316.71284610736654,9376.304766729078,2.499999999999999
15,40,250,"Up/Down (15%, 40%-250%)",9276.304766729078,-29.289322743746187,316.71284610736654,9376.304766729078,2.499999999999999
15,40,500,"Up/Down (15%, 40%-500%)",9276.304766729078,-29.289322743746187,316.71284610736654,9376.304766729078,2.499999999999999
15,40,400,"Up/Down (15%, 40%-400%)",9276.304766729078,-29.289322743746187,316.71284610736654,9376.304766729078,2.499999999999999
15,40,300,"Up/Down (15%, 40%-300%)",9276.304766729078,-29.289322743746187,316.71284610736654,9376.304766729078,2.499999999999999
20,30,250,"Up/Down (20%, 30%-250%)",9471.08874852336,-30.31192004924187,312.45426660988574,9571.08874852336,2.5
20,50,150,"Up/Down (20%, 50%-150%)",8167.03532584429,-26.80109175727976,304.72771034135,8267.03532584429,1.5
20,40,200,"Up/Down (20%, 40%-200%)",9120.474296668453,-30.62135776862055,297.8468285300766,9220.474296668453,2.0
25,40,150,"Up/Down (25%, 40%-150%)",7676.506991120171,-26.423781362564775,290.51508131215724,7776.506991120171,1.5
15,60,150,"Up/Down (15%, 60%-150%)",8488.709242350556,-29.83189049784659,284.55150178844053,8588.709242350556,1.5
10,60,200,"Up/Down (10%, 60%-200%)",8873.871667463016,-31.39450273897407,282.6568632490786,8973.871667463016,2.0
10,60,350,"Up/Down (10%, 60%-350%)",8873.871667463012,-31.39450273897407,282.65686324907847,8973.871667463012,2.0000000000000004
10,60,450,"Up/Down (10%, 60%-450%)",8873.871667463012,-31.39450273897407,282.65686324907847,8973.871667463012,2.0000000000000004
10,60,300,"Up/Down (10%, 60%-300%)",8873.871667463012,-31.39450273897407,282.65686324907847,8973.871667463012,2.0000000000000004
10,60,400,"Up/Down (10%, 60%-400%)",8873.871667463012,-31.39450273897407,282.65686324907847,8973.871667463012,2.0000000000000004
10,60,250,"Up/Down (10%, 60%-250%)",8873.871667463012,-31.39450273897407,282.65686324907847,8973.871667463012,2.0000000000000004
10,60,500,"Up/Down (10%, 60%-500%)",8873.871667463012,-31.39450273897407,282.65686324907847,8973.871667463012,2.0000000000000004
30,30,150,"Up/Down (30%, 30%-150%)",7184.5582837464435,-26.56827050504508,270.41874187415243,7284.5582837464435,1.5
15,50,200,"Up/Down (15%, 50%-200%)",8748.178238155346,-32.357019920103916,270.3641515737971,8848.178238155346,2.0
20,40,150,"Up/Down (20%, 40%-150%)",5961.543036972993,-24.60624677584078,242.2776253234293,6061.543036972993,1.5
15,30,300,"Up/Down (15%, 30%-300%)",6274.326565010238,-26.09177997530348,240.47138872660446,6374.326565010238,2.3999999999999995
15,30,500,"Up/Down (15%, 30%-500%)",6274.326565010238,-26.09177997530348,240.47138872660446,6374.326565010238,2.3999999999999995
15,30,450,"Up/Down (15%, 30%-450%)",6274.326565010238,-26.09177997530348,240.47138872660446,6374.326565010238,2.3999999999999995
15,30,350,"Up/Down (15%, 30%-350%)",6274.326565010238,-26.09177997530348,240.47138872660446,6374.326565010238,2.3999999999999995
15,30,250,"Up/Down (15%, 30%-250%)",6274.326565010238,-26.09177997530348,240.47138872660446,6374.326565010238,2.3999999999999995
15,30,400,"Up/Down (15%, 30%-400%)",6274.326565010238,-26.09177997530348,240.47138872660446,6374.326565010238,2.3999999999999995
20,30,200,"Up/Down (20%, 30%-200%)",6382.708953632572,-28.907206741269896,220.79992061357427,6482.708953632572,2.0
15,50,150,"Up/Down (15%, 50%-150%)",6125.291543430672,-27.842511140177216,219.99781243121325,6225.291543430672,1.5
15,40,200,"Up/Down (15%, 40%-200%)",6391.549615129754,-29.289322743746187,218.22114738021617,6491.549615129754,2.0
25,30,150,"Up/Down (25%, 30%-150%)",5657.699536221289,-26.169420026030192,216.1950677773405,5757.699536221289,1.5
10,50,200,"Up/Down (10%, 50%-200%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
10,50,450,"Up/Down (10%, 50%-450%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
10,50,250,"Up/Down (10%, 50%-250%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
10,50,300,"Up/Down (10%, 50%-300%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
10,50,400,"Up/Down (10%, 50%-400%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
10,50,500,"Up/Down (10%, 50%-500%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
10,50,350,"Up/Down (10%, 50%-350%)",6017.537314213353,-28.287588097950923,212.7271258820842,6117.537314213353,1.9000000000000006
0,100,100,Baseline (100% fixed),7463.792700787695,-35.51519419750348,210.15773303338315,7563.792700787695,1.0
10,60,150,"Up/Down (10%, 60%-150%)",5979.154507813908,-31.39450273897407,190.45227623214456,6079.154507813908,1.5
20,30,150,"Up/Down (20%, 30%-150%)",4303.927725989065,-22.833877851322,188.48869009518165,4403.927725989065,1.5
15,30,200,"Up/Down (15%, 30%-200%)",4724.470664196274,-26.09177997530348,181.07122889538786,4824.470664196274,2.0
15,40,150,"Up/Down (15%, 40%-150%)",4354.295375305386,-25.853925120445403,168.41912224237043,4454.295375305386,1.5
10,40,350,"Up/Down (10%, 40%-350%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,40,450,"Up/Down (10%, 40%-450%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,40,250,"Up/Down (10%, 40%-250%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,40,300,"Up/Down (10%, 40%-300%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,40,400,"Up/Down (10%, 40%-400%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,40,500,"Up/Down (10%, 40%-500%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,40,200,"Up/Down (10%, 40%-200%)",4023.8278632758324,-25.049338667296123,160.63609170366064,4123.827863275832,1.8000000000000005
10,50,150,"Up/Down (10%, 50%-150%)",4311.236494335763,-28.287588097950923,152.40735545948004,4411.236494335763,1.5
15,30,150,"Up/Down (15%, 30%-150%)",3130.167446060584,-23.869113822908343,131.13882104229654,3230.167446060584,1.5
10,30,200,"Up/Down (10%, 30%-200%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,30,250,"Up/Down (10%, 30%-250%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,30,300,"Up/Down (10%, 30%-300%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,30,350,"Up/Down (10%, 30%-350%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,30,500,"Up/Down (10%, 30%-500%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,30,400,"Up/Down (10%, 30%-400%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,30,450,"Up/Down (10%, 30%-450%)",2762.1834979067416,-21.67458593351331,127.43881273578774,2862.1834979067416,1.7000000000000004
10,40,150,"Up/Down (10%, 40%-150%)",3187.6623451454907,-25.049338667296123,127.25534943192868,3287.6623451454907,1.5
10,30,150,"Up/Down (10%, 30%-150%)",2397.6638451986273,-21.67458593351331,110.62097576181847,2497.6638451986273,1.5
