rsi_trigger,limit_offset,tp_pct,trades,win_rate,total_return,max_dd,return_dd,final_equity,avg_sl_dist
28,0.2,2.0,26,30.76923076923077,46.43794683571039,-34.773553521587765,1.335438634618727,146.4379468357104,0.6465643625332139
30,0.2,2.0,31,29.03225806451613,30.021650534245143,-39.22031667322051,0.7654617066043176,130.02165053424514,0.6019321638442034
28,0.15,1.5,27,33.33333333333333,8.23276162899002,-34.66706601149259,0.2374807728540036,108.23276162899002,0.6662426170516442
30,0.15,1.5,32,31.25,-0.40411915533815096,-39.08931273404504,-0.010338354068481263,99.59588084466185,0.6096166473389382
30,0.3,3.0,28,14.285714285714285,-31.01046174031643,-62.809686689773116,-0.4937210066574915,68.98953825968357,0.5693473958921876
32,0.15,2.0,37,21.62162162162162,-44.40018901843443,-69.34434381852881,-0.6402856609996603,55.59981098156557,0.5087531908348567
28,0.25,2.5,24,12.5,-42.941133398183545,-62.67436398680961,-0.685146695820015,57.058866601816455,0.6187688504428727
30,0.25,2.5,29,13.793103448275861,-47.18075887835337,-66.5434610236549,-0.7090217153204811,52.81924112164663,0.5737776442894799
35,0.15,2.0,49,22.448979591836736,-53.68947838763779,-72.18558087463288,-0.7437701233004153,46.31052161236221,0.45608367336124206
32,0.25,3.0,34,11.76470588235294,-59.14509489768667,-74.84224740831604,-0.7902634801305393,40.85490510231333,0.46779362301978444
32,0.2,2.5,36,13.88888888888889,-65.35525481054171,-76.25644206825982,-0.8570456873930721,34.64474518945829,0.5014983810246061
40,0.2,2.0,75,14.666666666666666,-79.13309720893582,-91.52029314353443,-0.8646508276020124,20.866902791064177,0.34481143057259295
35,0.3,3.5,44,11.363636363636363,-72.53230851357998,-83.39618532909383,-0.8697317296631331,27.46769148642002,0.409071372846385
35,0.25,3.0,45,13.333333333333334,-69.68653201641514,-79.62808138974466,-0.8751502083207306,30.313467983584854,0.41934953901741473
40,0.25,2.5,73,10.95890410958904,-80.53277194836431,-91.71254303278346,-0.8780998681889909,19.467228051635686,0.33368278935080553
38,0.25,3.0,66,10.606060606060606,-82.38084913795157,-91.95611007044037,-0.8958714007676711,17.619150862048436,0.34024654657311754
40,0.3,3.0,69,8.695652173913043,-87.00136736128258,-95.938302379577,-0.9068470590303369,12.998632638717432,0.3196978953086699
38,0.15,2.0,70,15.714285714285714,-83.98250505174377,-91.77732753901508,-0.9150681034598912,16.017494948256225,0.35697415064875626
35,0.2,2.5,47,14.893617021276595,-75.87283854236429,-81.97129202992463,-0.9256025696736119,24.127161457635715,0.4491257492413595
38,0.2,2.5,67,11.940298507462686,-85.0565278673932,-91.420046179572,-0.93039252791801,14.943472132606795,0.35171342212542156
