baseline_pct,step_pct,floor_mult,ceiling_mult,min_position_pct,max_position_pct,max_total_exposure,return,max_dd,return_dd,final_equity
50,30,0.7,2.5,35.0,125.0,325.0,618.5688082551089,-20.520732333978376,30.143602976141267,718.5688082551089
50,25,0.7,2.0,35.0,100.0,300.0,578.0806304220577,-19.262343116011483,30.010919592722775,678.0806304220577
50,30,0.7,3.5,35.0,175.0,335.0,615.0796906022714,-20.520732333978376,29.97357407093206,715.0796906022714
50,30,0.7,5.0,35.0,250.0,335.0,615.0796906022714,-20.520732333978376,29.97357407093206,715.0796906022714
50,30,0.7,3.0,35.0,150.0,335.0,615.0796906022714,-20.520732333978376,29.97357407093206,715.0796906022714
50,30,0.7,4.0,35.0,200.0,335.0,615.0796906022714,-20.520732333978376,29.97357407093206,715.0796906022714
50,20,0.7,2.0,35.0,100.0,274.99999999999994,539.1662349787497,-17.994528014181366,29.962788385104428,639.1662349787497
50,25,0.7,2.5,35.0,125.0,302.50000000000006,576.7583326684689,-19.262343116011483,29.94227281669844,676.7583326684689
50,25,0.7,5.0,35.0,250.0,302.50000000000006,576.7583326684689,-19.262343116011483,29.94227281669844,676.7583326684689
50,25,0.7,4.0,35.0,200.0,302.50000000000006,576.7583326684689,-19.262343116011483,29.94227281669844,676.7583326684689
50,25,0.7,3.0,35.0,150.0,302.50000000000006,576.7583326684689,-19.262343116011483,29.94227281669844,676.7583326684689
50,25,0.7,3.5,35.0,175.0,302.50000000000006,576.7583326684689,-19.262343116011483,29.94227281669844,676.7583326684689
50,20,0.7,3.0,35.0,150.0,274.99999999999994,538.4640300921916,-17.994528014181366,29.923765139481944,638.4640300921916
50,20,0.7,3.5,35.0,175.0,274.99999999999994,538.4640300921916,-17.994528014181366,29.923765139481944,638.4640300921916
50,20,0.7,2.5,35.0,125.0,274.99999999999994,538.4640300921916,-17.994528014181366,29.923765139481944,638.4640300921916
50,20,0.7,5.0,35.0,250.0,274.99999999999994,538.4640300921916,-17.994528014181366,29.923765139481944,638.4640300921916
50,20,0.7,4.0,35.0,200.0,274.99999999999994,538.4640300921916,-17.994528014181366,29.923765139481944,638.4640300921916
