strategy,type,scale_step,floor,ceiling,return,max_dd,return_dd,final_equity
"Up/Down (5% step, 50%-150%)",updown,0.05,0.5,1.5,2648.419543437979,-24.029049885164042,110.21740585228714,2748.419543437979
"Up/Down (5% step, 50%-200%)",updown,0.05,0.5,2.0,2648.419543437979,-24.029049885164042,110.21740585228714,2748.419543437979
"Up/Down (5% step, 50%-120%)",updown,0.05,0.5,1.2,2648.4195434379776,-24.029049885164042,110.21740585228709,2748.4195434379776
"Up/Down (15% step, 30%-100%)",updown,0.15,0.3,1.0,1917.343526073682,-17.82664616939717,107.55492131577543,2017.343526073682
"Up/Down (10% step, 40%-120%)",updown,0.1,0.4,1.2,2473.5514760693454,-23.563126006782237,104.97552299968079,2573.5514760693454
"Up/Down (10% step, 40%-100%)",updown,0.1,0.4,1.0,2064.577614512631,-20.942348445041382,98.58386321527712,2164.577614512631
"Up/Down (5% step, 50%-100%)",updown,0.05,0.5,1.0,2210.07687588043,-24.029049885164042,91.9752086096825,2310.07687588043
"Up/Down (5% step, 40%-200%)",updown,0.05,0.4,2.0,1788.5389166434557,-20.612873347651576,86.76805443270352,1888.5389166434557
"Up/Down (5% step, 40%-150%)",updown,0.05,0.4,1.5,1788.5389166434557,-20.612873347651576,86.76805443270352,1888.5389166434557
"Up/Down (5% step, 40%-120%)",updown,0.05,0.4,1.2,1788.5389166434557,-20.612873347651576,86.76805443270352,1888.5389166434557
"Up/Down (10% step, 30%-120%)",updown,0.1,0.3,1.2,1796.333145740895,-21.67458593351331,82.8773915797579,1896.3331457408947
"Up/Down (10% step, 30%-100%)",updown,0.1,0.3,1.0,1530.6679193351351,-18.71354277774175,81.79466269506922,1630.6679193351351
"Up/Down (5% step, 40%-100%)",updown,0.05,0.4,1.0,1657.700957187952,-20.612873347651576,80.42066378760407,1757.700957187952
"Up/Down (5% step, 30%-200%)",updown,0.05,0.3,2.0,1193.8834688472978,-17.053268806866722,70.0090687813802,1293.8834688472978
"Up/Down (5% step, 30%-150%)",updown,0.05,0.3,1.5,1193.8834688472978,-17.053268806866722,70.0090687813802,1293.8834688472978
"Up/Down (5% step, 30%-120%)",updown,0.05,0.3,1.2,1193.8834688472978,-17.053268806866722,70.0090687813802,1293.8834688472978
"Up/Down (5% step, 30%-100%)",updown,0.05,0.3,1.0,1193.8834688472978,-17.053268806866722,70.0090687813802,1293.8834688472978
