trade_num,signal_time,signal_bar,break_time,break_bar,entry_time,entry_bar,exit_time,exit_bar,rsi_at_signal,swing_low,swing_high_sl,limit_price,entry_price,sl_price,tp_price,sl_dist_pct,position_size,pnl_pct,pnl_dollar,exit_reason,equity_before,equity_after,consecutive_wins_before,consecutive_losses_before
1,2025-06-03 19:00:00,268,2025-06-04 20:15:00,369,2025-06-04 20:15:00,369,2025-06-05 19:15:00,461,75.1057672694171,0.33,0.367,0.3336571428571429,0.3336571428571429,0.367,0.3002914285714286,9.993149511902716,50.03427592116542,10.0,4.953393316195377,TP,100.0,104.95339331619537,0,0
2,2025-06-16 07:45:00,1471,2025-06-16 10:30:00,1482,2025-06-16 14:00:00,1496,2025-06-18 10:00:00,1672,73.3515289308857,0.271,0.277,0.2726571428571429,0.2726571428571429,0.277,0.2453914285714286,1.5927905270879197,329.46389224225373,10.0,32.616925331983126,TP,104.95339331619537,137.5703186481785,1,0
3,2025-06-24 06:30:00,2234,2025-06-24 08:00:00,2240,2025-06-24 09:15:00,2245,2025-06-26 16:00:00,2464,74.01904487781688,0.218,0.224,0.21954285714285715,0.21954285714285715,0.224,0.19758857142857145,2.0301926080166566,338.8110027219886,10.0,33.54228926947687,TP,137.5703186481785,171.11260791765537,2,0
4,2025-06-26 03:15:00,2413,2025-06-26 05:30:00,2422,2025-06-26 05:45:00,2423,2025-06-26 06:15:00,2425,73.29482593808305,0.209,0.215,0.21054285714285714,0.21054285714285714,0.215,0.18948857142857142,2.11697652327317,404.14384863628317,-2.11697652327317,-8.959774244519052,SL,171.11260791765537,162.1528336731363,0,0
5,2025-07-02 21:00:00,3060,2025-07-02 22:45:00,3067,2025-07-02 23:00:00,3068,2025-07-03 05:45:00,3095,74.71755775078213,0.21,0.215,0.21125714285714284,0.21125714285714284,0.215,0.19013142857142856,1.7717067892886202,457.6175771676201,-1.7717067892886202,-8.565259260824435,SL,162.1528336731363,153.58757441231188,0,1
6,2025-07-10 21:30:00,3830,2025-07-10 21:45:00,3831,2025-07-10 21:45:00,3831,2025-07-11 01:45:00,3847,76.23723468985747,0.205,0.214,0.20757142857142855,0.20757142857142855,0.214,0.18681428571428568,3.097040605643507,247.95860624565378,-3.097040605643507,-7.927337326861249,SL,153.58757441231188,145.66023708545063,0,2
7,2025-07-11 05:15:00,3861,2025-07-11 07:00:00,3868,2025-07-11 07:15:00,3869,2025-07-12 04:45:00,3955,76.5853068143921,0.214,0.224,0.21669714285714287,0.21669714285714287,0.224,0.19502742857142857,3.3700754179631858,216.10827506864092,10.0,21.394719231795452,TP,145.66023708545063,167.05495631724608,0,0
8,2025-07-13 00:45:00,4035,2025-07-13 09:15:00,4069,2025-07-13 09:15:00,4069,2025-07-15 15:45:00,4287,77.27687705804715,0.192,0.211,0.19394285714285714,0.19394285714285714,0.211,0.17454857142857144,8.794932233352974,94.9722816986153,-8.794932233352974,-8.44772009756092,SL,167.05495631724608,158.60723621968515,0,0
9,2025-07-15 14:15:00,4281,2025-07-15 14:45:00,4283,2025-07-15 15:30:00,4286,2025-07-15 15:45:00,4287,75.35515910559619,0.1956,0.2008,0.19808,0.19808,0.2008,0.178272,1.3731825525040386,577.5169365881478,-1.3731825525040386,-8.507878747572406,SL,158.60723621968515,150.09935747211273,0,1
10,2025-07-17 02:30:00,4330,2025-07-17 03:30:00,4334,2025-07-17 06:15:00,4345,2025-07-17 09:15:00,4357,75.90794511444142,0.2409,0.2522,0.24462,0.24462,0.2522,0.22015800000000002,3.0986836726350977,242.19858063870933,-3.0986836726350977,-7.747166454244346,SL,150.09935747211273,142.3521910178684,0,2
