rsi_trigger,limit_offset,tp_pct,activation_pct,trail_pct,trades,win_rate,total_return,max_dd,return_dd,final_equity,tp_count,trail_sl_count,initial_sl_count
25,0.15,2.5,0.4,0.8,21,33.33333333333333,-5.334029182200524,-23.219767620299592,-0.22971931801493636,94.66597081779948,1,12,8
30,0.15,2.5,0.5,1.0,28,25.0,-12.143802527579084,-49.653319841274836,-0.24457181446072054,87.85619747242092,4,8,16
30,0.15,2.5,0.4,1.0,28,25.0,-12.143802527579084,-49.653319841274836,-0.24457181446072054,87.85619747242092,4,10,14
30,0.15,2.5,0.6,1.0,28,25.0,-12.143802527579084,-49.653319841274836,-0.24457181446072054,87.85619747242092,4,7,17
25,0.15,2.5,0.5,0.8,21,33.33333333333333,-5.867842214746517,-23.219767620299596,-0.25270891210886315,94.13215778525348,1,11,9
25,0.15,2.0,0.4,0.8,21,33.33333333333333,-5.903264044225992,-23.219767620299585,-0.25423441529471374,94.09673595577401,2,11,8
30,0.25,2.5,0.5,1.0,27,22.22222222222222,-12.627118976030502,-49.58203254685857,-0.25467126552540925,87.3728810239695,4,8,15
30,0.25,2.5,0.4,1.0,27,22.22222222222222,-12.627118976030502,-49.58203254685857,-0.25467126552540925,87.3728810239695,4,9,14
30,0.25,2.5,0.6,1.0,27,22.22222222222222,-12.627118976030502,-49.58203254685857,-0.25467126552540925,87.3728810239695,4,6,17
25,0.15,2.0,0.5,0.8,21,33.33333333333333,-6.4338672117560805,-23.219767620299603,-0.2770857709243976,93.56613278824392,2,10,9
30,0.2,2.5,0.5,1.0,27,22.22222222222222,-15.092116982123244,-49.602461635671176,-0.3042614516387203,84.90788301787676,4,7,16
30,0.2,2.5,0.6,1.0,27,22.22222222222222,-15.092116982123244,-49.602461635671176,-0.3042614516387203,84.90788301787676,4,6,17
30,0.2,2.5,0.4,1.0,27,22.22222222222222,-15.092116982123244,-49.602461635671176,-0.3042614516387203,84.90788301787676,4,9,14
25,0.15,2.5,0.6,0.8,21,33.33333333333333,-7.384194113486217,-23.219767620299592,-0.3180132650005798,92.61580588651378,1,10,10
25,0.15,2.0,0.6,0.8,21,33.33333333333333,-7.941101152306473,-23.21976762029958,-0.3419974429616629,92.05889884769353,2,9,10
30,0.15,2.0,0.4,0.8,28,25.0,-16.79362916158702,-49.04083685022639,-0.34244173305760983,83.20637083841298,3,11,14
30,0.15,2.0,0.5,0.8,28,25.0,-17.262822523897583,-49.0408368502264,-0.35200913427760744,82.73717747610242,3,9,16
30,0.15,2.0,0.6,0.8,28,25.0,-18.59561547281163,-49.0408368502264,-0.3791863407552309,81.40438452718837,3,8,17
30,0.25,2.5,0.5,1.2,27,22.22222222222222,-21.582169911741133,-54.74948795552274,-0.3941985709395859,78.41783008825887,4,8,15
30,0.25,2.5,0.4,1.2,27,22.22222222222222,-21.582169911741133,-54.74948795552274,-0.3941985709395859,78.41783008825887,4,9,14
30,0.25,2.5,0.6,1.2,27,22.22222222222222,-21.582169911741133,-54.74948795552274,-0.3941985709395859,78.41783008825887,4,6,17
30,0.15,2.5,0.4,0.8,28,25.0,-21.083801711755285,-49.0408368502264,-0.4299233672570975,78.91619828824471,1,13,14
30,0.2,2.5,0.4,1.2,27,22.22222222222222,-23.566607482338142,-54.63254182284059,-0.4313657519131847,76.43339251766186,4,9,14
30,0.2,2.5,0.5,1.2,27,22.22222222222222,-23.566607482338142,-54.63254182284059,-0.4313657519131847,76.43339251766186,4,7,16
30,0.2,2.5,0.6,1.2,27,22.22222222222222,-23.566607482338142,-54.63254182284059,-0.4313657519131847,76.43339251766186,4,6,17
30,0.15,2.5,0.5,0.8,28,25.0,-21.528803170688462,-49.0408368502264,-0.43899746728300526,78.47119682931154,1,11,16
30,0.25,2.0,0.5,0.8,27,22.22222222222222,-22.07859342764668,-49.110651347856916,-0.4495683282891369,77.92140657235332,3,9,15
30,0.15,2.5,0.4,1.2,28,21.428571428571427,-24.767188738803256,-54.549931772739455,-0.45402785913621074,75.23281126119674,4,10,14
30,0.15,2.5,0.6,1.2,28,21.428571428571427,-24.767188738803256,-54.549931772739455,-0.45402785913621074,75.23281126119674,4,7,17
30,0.15,2.5,0.5,1.2,28,21.428571428571427,-24.767188738803256,-54.549931772739455,-0.45402785913621074,75.23281126119674,4,8,16
25,0.15,1.5,0.4,0.8,21,33.33333333333333,-10.575527664505927,-23.219767620299617,-0.45545363921990295,89.42447233549407,3,10,8
30,0.15,2.5,0.6,0.8,28,25.0,-22.792876481107584,-49.04083685022639,-0.46477339998740996,77.20712351889242,1,10,17
30,0.25,2.0,0.6,0.8,27,22.22222222222222,-23.40660485884935,-49.5622331010326,-0.4722669539755199,76.59339514115065,3,7,17
25,0.15,1.5,0.5,0.8,21,33.33333333333333,-11.079784350925024,-23.219767620299585,-0.4771703374515542,88.92021564907498,3,9,9
30,0.2,2.0,0.5,0.8,27,22.22222222222222,-24.107328881201,-49.327690264207334,-0.4887179746726053,75.892671118799,3,8,16
25,0.25,1.5,0.5,0.8,20,30.0,-11.507246355307288,-23.156023871350012,-0.4969439666861255,88.49275364469271,4,7,9
30,0.2,2.0,0.6,0.8,27,22.22222222222222,-25.364316043338107,-50.166960273745175,-0.505598025173004,74.6356839566619,3,7,17
30,0.25,2.5,0.5,0.8,27,22.22222222222222,-25.726823422880457,-49.110651347856916,-0.5238542498785881,74.27317657711954,1,11,15
30,0.25,2.0,0.4,0.8,27,18.51851851851852,-28.203002713850665,-53.38592357953515,-0.5282853760473659,71.79699728614933,3,10,14
25,0.15,1.5,0.6,0.8,21,33.33333333333333,-12.512178348982731,-23.2197676202996,-0.5388588961607054,87.48782165101727,3,8,10
30,0.15,2.0,0.6,1.0,28,25.0,-27.712349979582513,-51.17733563411156,-0.5414965362345128,72.28765002041749,4,7,17
30,0.15,2.0,0.4,1.0,28,25.0,-27.712349979582513,-51.17733563411156,-0.5414965362345128,72.28765002041749,4,10,14
30,0.15,2.0,0.5,1.0,28,25.0,-27.712349979582513,-51.17733563411156,-0.5414965362345128,72.28765002041749,4,8,16
30,0.25,2.5,0.6,0.8,27,22.22222222222222,-26.992658215461617,-49.11065134785694,-0.5496294077687794,73.00734178453838,1,9,17
25,0.25,2.0,0.5,0.8,20,30.0,-13.701130600906525,-24.54604731694007,-0.5581807296301798,86.29886939909348,2,9,9
25,0.25,2.5,0.5,0.8,20,30.0,-12.936299800039578,-23.15602387134999,-0.5586580784296538,87.06370019996042,1,10,9
30,0.25,2.0,0.6,1.0,27,22.22222222222222,-28.883990259918193,-51.61357567269443,-0.5596200201878077,71.11600974008181,4,6,17
30,0.25,2.0,0.5,1.0,27,22.22222222222222,-28.883990259918193,-51.61357567269443,-0.5596200201878077,71.11600974008181,4,8,15
30,0.25,2.0,0.4,1.0,27,22.22222222222222,-28.883990259918193,-51.61357567269443,-0.5596200201878077,71.11600974008181,4,9,14
25,0.25,1.5,0.6,0.8,20,30.0,-13.015424833959727,-23.156023871350023,-0.5620751173116196,86.98457516604027,4,6,10
30,0.2,2.0,0.4,0.8,27,18.51851851851852,-29.92672885917324,-53.23875464528316,-0.5621230071696406,70.07327114082676,3,10,14
30,0.25,1.5,0.5,0.8,27,22.22222222222222,-26.39529011450271,-46.64157793927613,-0.5659176057222467,73.60470988549729,5,7,15
30,0.2,2.5,0.5,0.8,27,22.22222222222222,-27.848266527378968,-49.062216644419884,-0.5676112583581424,72.15173347262103,1,10,16
30,0.15,1.5,0.4,0.8,28,25.0,-26.69696176337989,-46.55664754334758,-0.5734296426417538,73.30303823662011,4,10,14
30,0.15,1.5,0.5,0.8,28,25.0,-27.110311109484815,-46.55664754334759,-0.5823080599659407,72.88968889051519,4,8,16
30,0.2,2.0,0.4,1.0,27,22.22222222222222,-30.50387578224432,-52.22148329673894,-0.5841250354554596,69.49612421775568,4,9,14
30,0.2,2.0,0.6,1.0,27,22.22222222222222,-30.50387578224432,-52.22148329673894,-0.5841250354554596,69.49612421775568,4,6,17
30,0.2,2.0,0.5,1.0,27,22.22222222222222,-30.50387578224432,-52.22148329673894,-0.5841250354554596,69.49612421775568,4,7,16
25,0.25,2.0,0.6,0.8,20,30.0,-15.171918797670415,-25.832006029703823,-0.587330259222782,84.82808120232959,2,8,10
32,0.15,2.5,0.5,1.0,32,21.875,-35.02080988203623,-59.57013584181296,-0.5878920601261198,64.97919011796377,5,7,20
32,0.15,2.5,0.4,1.0,32,21.875,-35.02080988203623,-59.57013584181296,-0.5878920601261198,64.97919011796377,5,9,18
32,0.15,2.5,0.6,1.0,32,21.875,-35.02080988203623,-59.57013584181296,-0.5878920601261198,64.97919011796377,5,5,22
25,0.2,2.0,0.5,0.8,20,30.0,-15.039426462320577,-25.502580300244688,-0.589721756985362,84.96057353767942,2,9,9
30,0.25,2.5,0.4,0.8,27,18.51851851851852,-31.564491816640828,-53.38592357953517,-0.5912512081881578,68.43550818335918,1,12,14
30,0.25,1.5,0.6,0.8,27,22.22222222222222,-27.649732255861252,-46.71207387337073,-0.591918319251152,72.35026774413875,5,5,17
30,0.2,2.5,0.6,0.8,27,22.22222222222222,-29.043293680383687,-49.062216644419905,-0.591968640366903,70.95670631961632,1,9,17
25,0.15,2.5,0.6,1.0,20,30.0,-21.031888283537143,-34.64704113647677,-0.6070327391216835,78.96811171646286,3,7,10
25,0.15,2.5,0.4,1.0,20,30.0,-21.031888283537143,-34.64704113647677,-0.6070327391216835,78.96811171646286,3,9,8
25,0.15,2.5,0.5,1.0,20,30.0,-21.031888283537143,-34.64704113647677,-0.6070327391216835,78.96811171646286,3,8,9
30,0.15,1.5,0.6,0.8,28,25.0,-28.284473274128104,-46.55664754334759,-0.6075281354352936,71.7155267258719,4,7,17
32,0.25,2.5,0.4,1.0,31,19.35483870967742,-36.91069305067127,-60.70723163998952,-0.6080114683792825,63.08930694932873,5,9,17
32,0.25,2.5,0.5,1.0,31,19.35483870967742,-36.91069305067127,-60.70723163998952,-0.6080114683792825,63.08930694932873,5,7,19
32,0.25,2.5,0.6,1.0,31,19.35483870967742,-36.91069305067127,-60.70723163998952,-0.6080114683792825,63.08930694932873,5,4,22
25,0.2,2.0,0.6,0.8,20,30.0,-16.446602526231885,-26.73645833872284,-0.615137664004361,83.55339747376811,2,8,10
25,0.2,2.5,0.5,0.8,20,30.0,-14.40887208558131,-23.1851033888171,-0.6214711163432275,85.59112791441869,1,10,9
25,0.25,2.5,0.6,0.8,20,30.0,-14.420122977705004,-23.156023871349994,-0.6227374379047188,85.579877022295,1,9,10
32,0.2,2.5,0.5,1.0,31,19.35483870967742,-37.90498028905264,-60.86337200122851,-0.6227880421789239,62.09501971094736,5,6,20
32,0.2,2.5,0.6,1.0,31,19.35483870967742,-37.90498028905264,-60.86337200122851,-0.6227880421789239,62.09501971094736,5,4,22
32,0.2,2.5,0.4,1.0,31,19.35483870967742,-37.90498028905264,-60.86337200122851,-0.6227880421789239,62.09501971094736,5,8,18
25,0.25,2.0,0.4,0.8,20,25.0,-17.20486473665882,-27.609477829227323,-0.6231506746732383,82.79513526334118,2,10,8
30,0.2,2.5,0.4,0.8,27,18.51851851851852,-33.38081387340621,-53.23875464528316,-0.6270021546487035,66.61918612659379,1,12,14
30,0.25,2.0,0.4,1.2,27,22.22222222222222,-36.17283643396412,-56.57281347474267,-0.6394031728705475,63.82716356603588,4,9,14
30,0.25,2.0,0.6,1.2,27,22.22222222222222,-36.17283643396412,-56.57281347474267,-0.6394031728705475,63.82716356603588,4,6,17
30,0.25,2.0,0.5,1.2,27,22.22222222222222,-36.17283643396412,-56.57281347474267,-0.6394031728705475,63.82716356603588,4,8,15
32,0.25,2.5,0.4,1.2,31,19.35483870967742,-40.790591924355724,-63.12367865891768,-0.6462011212110038,59.209408075644276,5,9,17
32,0.25,2.5,0.6,1.2,31,19.35483870967742,-40.790591924355724,-63.12367865891768,-0.6462011212110038,59.209408075644276,5,4,22
32,0.25,2.5,0.5,1.2,31,19.35483870967742,-40.790591924355724,-63.12367865891768,-0.6462011212110038,59.209408075644276,5,7,19
25,0.2,2.0,0.4,0.8,20,25.0,-18.43556887267394,-28.480477411450366,-0.6473054719673363,81.56443112732606,2,10,8
30,0.2,2.0,0.5,1.2,27,22.22222222222222,-37.44014864116279,-56.99016403078686,-0.6569580782560499,62.55985135883721,4,7,16
30,0.2,2.0,0.4,1.2,27,22.22222222222222,-37.44014864116279,-56.99016403078686,-0.6569580782560499,62.55985135883721,4,9,14
30,0.2,2.0,0.6,1.2,27,22.22222222222222,-37.44014864116279,-56.99016403078686,-0.6569580782560499,62.55985135883721,4,6,17
32,0.2,2.5,0.6,1.2,31,19.35483870967742,-41.6393030889019,-63.21700362781232,-0.6586725200398883,58.3606969110981,5,4,22
32,0.2,2.5,0.4,1.2,31,19.35483870967742,-41.6393030889019,-63.21700362781232,-0.6586725200398883,58.3606969110981,5,8,18
32,0.2,2.5,0.5,1.2,31,19.35483870967742,-41.6393030889019,-63.21700362781232,-0.6586725200398883,58.3606969110981,5,6,20
30,0.25,1.5,0.4,0.8,27,18.51851851851852,-35.31865866728229,-53.385923579535145,-0.6615724951290582,64.68134133271771,4,9,14
30,0.2,1.5,0.5,0.8,27,22.22222222222222,-33.48974725164145,-50.449074989891976,-0.6638327314891598,66.51025274835855,4,7,16
32,0.15,2.5,0.4,1.2,32,21.875,-41.9891889100382,-63.01976717785226,-0.6662860050170882,58.0108110899618,5,9,18
32,0.15,2.5,0.6,1.2,32,21.875,-41.9891889100382,-63.01976717785226,-0.6662860050170882,58.0108110899618,5,5,22
32,0.15,2.5,0.5,1.2,32,21.875,-41.9891889100382,-63.01976717785226,-0.6662860050170882,58.0108110899618,5,7,20
30,0.15,2.0,0.4,1.2,28,21.428571428571427,-38.09881047710164,-57.01922614185781,-0.6681748079554047,61.90118952289836,4,10,14
30,0.15,2.0,0.5,1.2,28,21.428571428571427,-38.09881047710164,-57.01922614185781,-0.6681748079554047,61.90118952289836,4,8,16
30,0.15,2.0,0.6,1.2,28,21.428571428571427,-38.09881047710164,-57.01922614185781,-0.6681748079554047,61.90118952289836,4,7,17
28,0.15,2.5,0.4,0.8,22,22.727272727272727,-23.571073824528256,-35.23941371916025,-0.6688838245828215,76.42892617547174,1,11,10
25,0.2,2.5,0.6,0.8,20,30.0,-15.826491829295975,-23.53209075920031,-0.6725493281173205,84.17350817070403,1,9,10
25,0.25,2.5,0.5,1.0,19,26.31578947368421,-24.107344070539014,-35.768689258881494,-0.6739789623281506,75.89265592946099,3,7,9
25,0.25,2.5,0.6,1.0,19,26.31578947368421,-24.107344070539014,-35.768689258881494,-0.6739789623281506,75.89265592946099,3,6,10
