trade_num,coin,signal_time,entry_time,exit_time,rsi_at_signal,swing_low,swing_high_sl,limit_price,entry_price,sl_price,tp_price,sl_dist_pct,position_size,pnl_pct,pnl_dollar,exit_reason,equity_before,equity_after,month
1,FARTCOIN,2025-06-01 05:30:00,2025-06-01 06:45:00,2025-06-01 14:30:00,73.4610862056535,1.0811,1.1114,1.0898071428571428,1.0898071428571428,1.1114,1.0026225714285715,1.981346634070253,252.35362222957266,-1.981346634070253,-5.252353622229573,SL,100.0,94.74764637777042,2025-06
2,FARTCOIN,2025-06-01 16:30:00,2025-06-01 18:45:00,2025-06-01 20:30:00,72.32230197828522,1.1032,1.1415,1.1177285714285714,1.1177285714285714,1.1415,1.0283102857142858,2.126762183509923,222.75091947845976,-2.126762183509923,-4.960133238366981,SL,94.74764637777042,89.78751313940344,2025-06
3,FARTCOIN,2025-06-01 22:00:00,2025-06-02 01:00:00,2025-06-03 00:30:00,70.99385779142231,1.1405,1.1697,1.1504500000000002,1.1504500000000002,1.1697,1.0584140000000002,1.6732582902342357,268.30141426292977,-1.6732582902342357,-4.757677071233102,SL,89.78751313940344,85.02983606817034,2025-06
4,FARTCOIN,2025-06-03 01:45:00,2025-06-03 03:00:00,2025-06-03 14:45:00,75.91217642795529,1.1562,1.1953,1.1696285714285712,1.1696285714285712,1.1953,1.0760582857142855,2.1948359674622173,193.70430712980848,-2.1948359674622173,-4.445196110538325,SL,85.02983606817034,80.58463995763202,2025-06
5,DOGE,2025-06-03 01:45:00,2025-06-03 03:00:00,2025-06-05 16:15:00,75.36733150562597,0.19593,0.20038,0.1967742857142857,0.1967742857142857,0.20038,0.18496782857142854,1.8324113197136727,272.8645007923923,6.0,16.099005546751144,TP,100.0,116.09900554675114,2025-06
6,MOODENG,2025-06-03 13:15:00,2025-06-03 14:00:00,2025-06-04 00:30:00,74.26070710041331,0.21821,0.23457,0.221542,0.221542,0.23457,0.20381864,5.880600518186173,85.02533005833581,8.0,6.717001074608529,TP,100.0,106.71700107460853,2025-06
7,FARTCOIN,2025-06-03 14:45:00,2025-06-03 20:00:00,2025-06-03 20:30:00,71.50430484542267,1.1437,1.2093,1.1558857142857142,1.1558857142857142,1.2093,1.063414857142857,4.62106980423177,87.19262353907335,8.0,6.888217259586795,TP,80.58463995763202,87.47285721721882,2025-06
8,MELANIA,2025-06-03 19:00:00,2025-06-04 20:15:00,2025-06-05 19:15:00,75.1057672694171,0.33,0.367,0.3336571428571429,0.3336571428571429,0.367,0.3002914285714286,9.993149511902716,50.03427592116542,10.0,4.953393316195377,TP,100.0,104.95339331619537,2025-06
9,MOODENG,2025-06-06 08:45:00,2025-06-06 12:30:00,2025-06-06 15:15:00,70.74841955123948,0.19148,0.19583,0.19287085714285715,0.19287085714285715,0.19583,0.1774411885714286,1.5342612673469134,347.7797535068669,-1.5342612673469134,-5.683629807237294,SL,106.71700107460853,101.03337126737124,2025-06
10,DOGE,2025-06-06 15:00:00,2025-06-06 17:00:00,2025-06-07 06:45:00,83.27710958282422,0.17948,0.18438,0.18034742857142858,0.18034742857142858,0.18438,0.16952658285714284,2.2360016222655865,259.61297252798056,-2.2360016222655865,-6.064563249865538,SL,116.09900554675114,110.0344422968856,2025-06
11,MOODENG,2025-06-07 06:45:00,2025-06-07 08:30:00,2025-06-07 09:30:00,70.52118443671075,0.20547,0.21307,0.2083317142857143,0.2083317142857143,0.21307,0.19166517714285716,2.2743948181540192,222.1104499116243,8.0,17.54672554301832,TP,101.03337126737125,118.58009681038956,2025-06
12,DOGE,2025-06-07 13:30:00,2025-06-07 16:15:00,2025-06-09 21:00:00,73.67203933733386,0.18568,0.18861,0.18622985714285714,0.18622985714285714,0.18861,0.1750560657142857,1.2780672732391392,430.47202835424247,-1.2780672732391392,-5.932194143198523,SL,110.0344422968856,104.10224815368707,2025-06
13,MOODENG,2025-06-07 22:45:00,2025-06-08 07:45:00,2025-06-09 10:30:00,76.12808853803277,0.19743,0.20738,0.19868485714285714,0.19868485714285714,0.20738,0.18279006857142857,4.376349049535741,135.47833532950142,-4.376349049535741,-6.064483175848981,SL,118.58009681038956,112.51561363454059,2025-06
14,FARTCOIN,2025-06-08 17:15:00,2025-06-09 00:15:00,2025-06-09 07:45:00,75.41475549332287,1.0373,1.0716,1.0487000000000002,1.0487000000000002,1.0716,0.9648040000000002,2.1836559549918864,200.28992437488589,-2.1836559549918864,-4.573932785235827,SL,87.47285721721882,82.89892443198299,2025-06
15,DOGE,2025-06-09 11:30:00,2025-06-09 12:30:00,2025-06-09 17:00:00,76.68359572622887,0.18485,0.18735,0.18556185714285714,0.18556185714285714,0.18735,0.1744281457142857,0.9636370775089973,540.1527742311009,-0.9636370775089973,-5.745265181915455,SL,104.10224815368707,98.35698297177161,2025-06
16,MOODENG,2025-06-09 10:30:00,2025-06-09 14:15:00,2025-06-09 21:00:00,76.12845751810869,0.20113,0.20977,0.20315285714285714,0.20315285714285714,0.20977,0.18690062857142858,3.257223624716093,172.71705384420406,-3.257223624716093,-5.7984977355712335,SL,112.51561363454059,106.71711589896935,2025-06
17,MOODENG,2025-06-10 00:30:00,2025-06-10 07:15:00,2025-06-11 20:00:00,71.46141169716601,0.21032,0.2234,0.21328514285714287,0.21328514285714287,0.2234,0.19622233142857146,4.742410562385956,112.51357774186349,8.0,8.888572641607215,TP,106.71711589896935,115.60568854057657,2025-06
18,MOODENG,2025-06-10 11:30:00,2025-06-10 13:30:00,2025-06-11 20:00:00,70.10826977811507,0.21138,0.22081,0.21397257142857146,0.21397257142857146,0.22081,0.19685476571428576,3.195469646309797,180.88998071704535,8.0,14.290308476646581,TP,115.60568854057657,129.89599701722315,2025-06
19,FARTCOIN,2025-06-10 11:30:00,2025-06-10 14:30:00,2025-06-10 18:45:00,72.3995138290374,1.2638,1.3275,1.2870071428571428,1.2870071428571428,1.3275,1.1840465714285715,3.1462806844228837,131.7411457318675,-3.1462806844228837,-4.276687367331017,SL,82.89892443198299,78.62223706465197,2025-06
