metric,value
Total Return,$-33.84
Profitable without top 5,NO
Trades >5% of total PnL,0
Duplicate candles,0
Zero volume candles,0
Time gaps detected,0
Price spikes >10%,0
Best day % of total,-7.9%
Positive days,8
Negative days,22
