entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_gross,fees,pnl_net,return_pct,exit_reason,bars_held
2025-11-09 02:00:00,2025-11-09 02:33:00,LONG,0.3012,0.29809285714285716,0.29809285714285716,0.31362857142857153,32183.908045976943,-100.0,19.28758620689651,-119.2875862068965,-1.2072771801391113,SL,33
2025-11-10 22:48:00,2025-11-11 00:27:00,LONG,0.3403,0.3358,0.3358,0.3583,21957.13869731799,-98.80712413793104,14.845221473256693,-113.65234561118774,-1.163629022631203,SL,99
2025-11-18 14:32:00,2025-11-18 14:52:00,LONG,0.2557,0.25165,0.25165,0.2718999999999999,24116.19769921462,-97.67060068181917,12.235352902696537,-109.9059535845157,-1.1380780743509713,SL,20
2025-11-18 16:32:00,2025-11-18 16:43:00,LONG,0.2658,0.2608928571428571,0.2608928571428571,0.2854285714285714,19679.79004430317,-96.57154114597401,10.36520484640559,-106.9367459923796,-1.1197310162166458,SL,11
2025-11-19 21:21:00,2025-11-20 02:05:00,LONG,0.2582,0.27851428571428566,0.25312142857142855,0.27851428571428566,18804.92871455277,382.00869474419983,10.092873882939251,371.91582086126056,3.7483453785532808,TP,284
2025-11-24 12:28:00,2025-11-24 12:47:00,LONG,0.2524,0.24847857142857144,0.24847857142857144,0.2680857142857143,25302.34328825643,-99.22133189466282,12.673401560017187,-111.89473345468001,-1.140591372538067,SL,19
2025-11-24 14:31:00,2025-11-24 17:33:00,LONG,0.2574,0.2758285714285715,0.25279285714285715,0.2758285714285715,21293.54083475383,392.4095382404641,11.354324359971736,381.0552138804924,3.7390269206571394,TP,182
2025-11-25 10:43:00,2025-11-25 12:14:00,LONG,0.2862,0.3009428571428572,0.2825142857142857,0.3009428571428572,27650.796778776952,407.6517467956838,16.23496782296761,391.41677897271614,3.6986439425327253,TP,91
2025-11-27 16:12:00,2025-11-27 21:52:00,LONG,0.3373,0.3321357142857143,0.3321357142857143,0.35795714285714275,20492.10875298872,-105.82710448864812,13.718149460277543,-119.54525394892566,-1.1425343261044318,SL,340
2025-11-28 04:33:00,2025-11-28 05:06:00,LONG,0.341,0.33737857142857147,0.33737857142857147,0.3554857142857143,28892.36937452133,-104.63165194915887,19.59996426147439,-124.23161621063326,-1.2015902342820817,SL,33
2025-12-01 12:51:00,2025-12-01 16:02:00,LONG,0.2929,0.28704999999999997,0.28704999999999997,0.3163,17673.390732829426,-103.38933578705253,10.249682955504426,-113.63901874255696,-1.1113520307523692,SL,191
2025-12-01 19:06:00,2025-12-01 19:19:00,LONG,0.3255,0.3169071428571429,0.3169071428571429,0.3598714285714285,11899.76091766235,-102.25294559962697,7.644491411798564,-109.89743701142554,-1.0864371974291982,SL,13
2025-12-02 01:06:00,2025-12-02 01:11:00,LONG,0.3265,0.32245,0.32245,0.34270000000000006,24976.28919247229,-101.15397122951272,16.208362871454895,-117.36233410096762,-1.1738540281120924,SL,5
2025-12-06 14:31:00,2025-12-06 16:00:00,LONG,0.3929,0.38660000000000005,0.38660000000000005,0.4180999999999999,15869.896490238649,-99.98034788850305,12.370584314141029,-112.35093220264407,-1.1365013673494457,SL,89
2025-12-07 06:26:00,2025-12-07 07:22:00,LONG,0.4055,0.3988571428571429,0.3988571428571429,0.43207142857142855,14881.674622910514,-98.8568385664766,11.970181280613952,-110.82701984709055,-1.1337968596107397,SL,56
