config,regime,direction,signal_type,pnl,return_pct,leverage,size
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,resistance_rejection,200.4543099222742,20.24543099222742,5,0.75
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,645.8570941739933,54.0010558865677,10,1.0
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,175.88960735982502,9.726540699992018,10,1.0
Static_Baseline,WEAK_UPTREND_HIGH,long,support_bounce,120.3839506489441,6.1531149458906285,3,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-471.5886565658866,-21.81026633280215,5,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,156.41393680643802,9.560519606652917,5,0.75
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,-1386.689883793298,-75.68279039157623,10,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-222.74141537012898,-50.3403054448871,5,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-7.519966872728907,-3.249859313449652,5,0.75
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,-5.378448521881967,-2.355580482333136,10,1.0
Static_Baseline,WEAK_UPTREND_NORMAL,long,ema_pullback,-0.5342867835665829,-0.06052536012588609,5,1.0
Static_Baseline,STRONG_DOWNTREND_HIGH,short,breakdown,10.7445953037288,5.4528930627082755,3,0.75
Static_Baseline,STRONG_DOWNTREND_HIGH,short,breakdown,11.974687727842273,5.762098198516452,3,0.75
Static_Baseline,STRONG_DOWNTREND_HIGH,short,breakdown,29.0195458863931,12.969004893964087,3,0.75
Static_Baseline,STRONG_DOWNTREND_HIGH,short,breakdown,10.578820653085186,4.32775533756492,3,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,59.80371517832114,22.609819121447007,5,0.75
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,19.55753865499347,6.186984417965252,10,1.0
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,111.07033554740309,32.28037814157242,10,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-32.09818957208478,-6.819135543432596,5,1.0
Static_Baseline,STRONG_DOWNTREND_LOW,short,breakdown,176.0584345790684,41.60629269302412,10,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,65.17055789062535,11.03907482039603,5,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,breakdown,-89.76457632400623,-13.269543238851822,5,0.75
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,ema_rejection,22.978988630018115,4.184829991281627,5,1.0
Static_Baseline,STRONG_DOWNTREND_NORMAL,short,ema_rejection,-23.746873855053696,-3.760183831209503,5,0.75
