entry_time,exit_time,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pnl_pct,session
2025-11-07 14:45:00,2025-11-07 15:15:00,LONG,16.52,16.777142857142856,16.391428571428573,16.777142857142856,TP,1.456554825319953,us
2025-11-08 16:59:00,2025-11-08 17:09:00,LONG,17.12,17.05464285714286,17.05464285714286,17.250714285714285,SL,-0.481759012016015,us
2025-11-09 20:05:00,2025-11-09 20:07:00,LONG,17.88,17.832857142857144,17.832857142857144,17.97428571428571,SL,-0.3636625119846498,us
2025-11-11 18:10:00,2025-11-11 18:25:00,LONG,17.46,17.413928571428574,17.413928571428574,17.552142857142854,SL,-0.36386843397151636,us
2025-11-12 15:23:00,2025-11-12 15:27:00,LONG,17.32,17.2375,17.2375,17.485,SL,-0.5763279445727458,us
2025-11-13 14:39:00,2025-11-13 14:51:00,LONG,17.04,17.222142857142856,16.94892857142857,17.222142857142856,TP,0.9689134808853107,us
2025-11-16 15:59:00,2025-11-16 16:05:00,LONG,15.07,15.207142857142857,15.001428571428573,15.207142857142857,TP,0.8100388662432448,us
2025-11-17 14:40:00,2025-11-17 14:55:00,LONG,15.68,15.541785714285714,15.541785714285714,15.956428571428571,SL,-0.9814686588921276,us
2025-11-20 16:05:00,2025-11-20 16:07:00,LONG,14.12,14.064285714285713,14.064285714285713,14.23142857142857,SL,-0.4945770942938106,us
2025-11-23 19:05:00,2025-11-23 19:20:00,LONG,13.36,13.409285714285714,13.335357142857143,13.409285714285714,TP,0.2689050470487604,us
2025-11-23 20:07:00,2025-11-23 20:09:00,LONG,13.41,13.385357142857144,13.385357142857144,13.459285714285715,SL,-0.283764781080211,us
2025-11-25 19:12:00,2025-11-25 19:16:00,LONG,13.94,13.901428571428571,13.901428571428571,14.017142857142854,SL,-0.3766960442713648,us
2025-11-26 14:34:00,2025-11-26 14:55:00,LONG,13.94,13.907857142857141,13.907857142857141,14.004285714285716,SL,-0.3305800368928147,us
2025-11-28 20:03:00,2025-11-28 21:19:00,LONG,14.86,14.826785714285712,14.826785714285712,14.926428571428573,SL,-0.323514708709872,us
2025-12-01 15:19:00,2025-12-01 15:25:00,LONG,12.83,12.787142857142857,12.787142857142857,12.915714285714285,SL,-0.4340385257766384,us
2025-12-01 20:03:00,2025-12-01 20:08:00,LONG,12.67,12.745,12.6325,12.745,TP,0.4919494869771057,us
2025-12-01 20:09:00,2025-12-01 20:15:00,LONG,12.73,12.682857142857143,12.682857142857143,12.824285714285715,SL,-0.4703288070923578,us
2025-12-02 19:40:00,2025-12-02 19:43:00,LONG,13.71,13.682142857142859,13.682142857142859,13.765714285714285,SL,-0.30318849640512135,us
2025-12-04 14:55:00,2025-12-04 14:58:00,LONG,14.7,14.65392857142857,14.65392857142857,14.792142857142855,SL,-0.41341107871720095,us
2025-12-04 18:44:00,2025-12-04 19:03:00,LONG,14.5,14.466785714285715,14.466785714285715,14.56642857142857,SL,-0.3290640394088634,us
2025-12-04 19:17:00,2025-12-04 19:20:00,LONG,14.32,14.275,14.275,14.41,SL,-0.41424581005586547,us
2025-12-06 15:20:00,2025-12-06 15:43:00,LONG,13.24,13.312857142857144,13.20357142857143,13.312857142857144,TP,0.4502805351748025,us
