concept,direction,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,exit_reason,bars_held,max_profit_pct
6_BB_Squeeze,SHORT,45289,45305,0.3732,0.36599999999999994,1.8292604501607825,TP,16,1.8756698821007372
6_BB_Squeeze,SHORT,45290,45292,0.372,0.3741285714285714,-0.6721966205837161,SL,2,0.053763440860209136
6_BB_Squeeze,SHORT,45333,45345,0.3622,0.3649857142857143,-0.8691094107438653,SL,12,0.33130866924352137
6_BB_Squeeze,SHORT,45334,45345,0.3613,0.36415714285714285,-0.8907951445178067,SL,11,0.08303349017437654
6_BB_Squeeze,SHORT,45382,45404,0.3671,0.3699,-0.862734949605019,SL,22,0.43584854263143297
6_BB_Squeeze,LONG,45404,45405,0.3714,0.36911428571428573,-0.7154319563043295,SL,1,0.0
6_BB_Squeeze,LONG,45459,45464,0.3723,0.3701571428571429,-0.6755726948313492,SL,5,0.0
6_BB_Squeeze,SHORT,45498,45518,0.363,0.36492857142857144,-0.6312868949232634,SL,20,1.1294765840220367
6_BB_Squeeze,SHORT,45499,45518,0.363,0.3649,-0.623415977961436,SL,19,1.1294765840220367
6_BB_Squeeze,LONG,45518,45551,0.3666,0.3637142857142857,-0.8871561063050379,SL,33,0.8728859792689679
6_BB_Squeeze,SHORT,45550,45564,0.3643,0.36624285714285715,-0.6333124191208166,SL,14,0.3019489431786961
6_BB_Squeeze,SHORT,45551,45564,0.3645,0.3664428571428571,-0.6330197922790494,SL,13,0.35665294924553304
6_BB_Squeeze,SHORT,45552,45564,0.3643,0.36615714285714285,-0.609783930041953,SL,12,0.3019489431786961
6_BB_Squeeze,SHORT,45586,45602,0.3652,0.3667714285714286,-0.5302925989672937,SL,16,0.43811610076671564
6_BB_Squeeze,SHORT,45592,45599,0.3645,0.36624285714285715,-0.5781501077797413,SL,7,0.24691358024691687
6_BB_Squeeze,SHORT,45594,45599,0.364,0.3658285714285714,-0.6023547880690664,SL,5,0.10989010989011304
6_BB_Squeeze,SHORT,45595,45599,0.3639,0.36578571428571427,-0.6181957366623435,SL,4,0.0
6_BB_Squeeze,LONG,45638,45679,0.3652,0.3723999999999999,1.8715224534501294,TP,41,1.3691128148959333
6_BB_Squeeze,LONG,45639,45679,0.3656,0.37257142857142844,1.806845889340389,TP,40,1.2582056892778974
6_BB_Squeeze,LONG,45640,45682,0.3664,0.37342857142857133,1.818278228321869,TP,42,1.7467248908296988
6_BB_Squeeze,LONG,45641,45682,0.3665,0.3732428571428571,1.739797310465786,TP,41,1.7189631650750417
6_BB_Squeeze,LONG,45666,45713,0.3683,0.3766428571428572,2.1652340871184377,TP,47,1.764865598696716
6_BB_Squeeze,LONG,45713,45737,0.376,0.37344285714285713,-0.7800911854103374,SL,24,2.659574468085109
6_BB_Squeeze,LONG,45714,45737,0.3772,0.37449999999999994,-0.8158006362672416,SL,23,2.332979851537654
6_BB_Squeeze,LONG,45715,45737,0.3776,0.3746428571428571,-0.8831416464891102,SL,22,2.2245762711864456
6_BB_Squeeze,LONG,45716,45737,0.3776,0.37452857142857143,-0.9134079903147665,SL,21,2.2245762711864456
6_BB_Squeeze,SHORT,45786,45840,0.3729,0.36564285714285716,1.8461364594107939,TP,54,1.609010458567982
6_BB_Squeeze,SHORT,45824,45832,0.3691,0.3711285714285714,-0.6495994116964061,SL,8,0.2709292874559743
6_BB_Squeeze,SHORT,45825,45832,0.3688,0.3709,-0.6694143167028174,SL,7,0.05422993492408717
6_BB_Squeeze,SHORT,45877,45881,0.3697,0.3718285714285714,-0.6757564048069852,SL,4,0.08114687584527103
6_BB_Squeeze,LONG,45959,45993,0.3727,0.36948571428571425,-0.9624324427919843,SL,34,1.529380198551124
6_BB_Squeeze,LONG,45960,45993,0.3724,0.36929999999999996,-0.9324382384532887,SL,33,1.6111707841031164
6_BB_Squeeze,LONG,45963,45992,0.3735,0.3705,-0.9032128514056232,SL,29,1.3119143239625208
6_BB_Squeeze,LONG,45964,45992,0.3741,0.3711142857142857,-0.8981059304235001,SL,28,1.1494252873563289
6_BB_Squeeze,LONG,45970,45981,0.3761,0.3732,-0.8710715235309795,SL,11,0.6115394841797459
6_BB_Squeeze,SHORT,46017,46041,0.3616,0.3645285714285714,-0.9098925410872365,SL,24,1.5763274336283142
6_BB_Squeeze,SHORT,46023,46025,0.3566,0.36034285714285713,-1.149595384985182,SL,2,0.19629837352775617
6_BB_Squeeze,SHORT,46071,46073,0.3566,0.3595428571428571,-0.9252543866677332,SL,2,0.16825574873807891
6_BB_Squeeze,SHORT,46072,46073,0.3565,0.35947142857142855,-0.9335003005409732,SL,1,0.0
6_BB_Squeeze,LONG,46075,46079,0.3646,0.3652,0.06456390565003975,TIME,4,0.3017004936917294
7_EMA_Distance,LONG,322,337,0.3115,0.30811428571428573,-1.186906672781467,SL,15,1.4767255216693396
7_EMA_Distance,LONG,323,325,0.3154,0.3114571428571429,-1.3501132348944633,SL,2,0.12682308180089139
7_EMA_Distance,LONG,324,330,0.3151,0.31088571428571427,-1.4374438953620203,SL,6,0.06347191367820804
7_EMA_Distance,LONG,325,334,0.3133,0.30861428571428573,-1.5955998358488008,SL,9,0.5426109160548929
