entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,exit_reason,stop_loss,take_profit,pnl_pct,fees_pct,net_pnl_pct,equity,drawdown_pct
75,2025-09-05 08:15:00,0.34621,99,2025-09-05 14:15:00,0.3429400000000001,take_profit,0.34839,0.3429400000000001,0.9445134455965858,0.009952774327720171,0.9345606712688656,1.0093456067126887,0.0
128,2025-09-05 21:30:00,0.34393,138,2025-09-06 00:00:00,0.34532,stop_loss,0.34532,0.341845,-0.40415200767598125,0.0100202076003838,-0.4141722152763651,1.0051651776535722,0.4141722152763572
151,2025-09-06 03:15:00,0.34457,155,2025-09-06 04:15:00,0.342665,take_profit,0.34584,0.342665,0.5528629886525206,0.009972356850567375,0.5428906318019533,1.0106221252371888,0.0
199,2025-09-06 15:15:00,0.34002,234,2025-09-07 00:00:00,0.34182,stop_loss,0.34182,0.33731999999999995,-0.5293806246691442,0.010026469031233456,-0.5394070937003775,1.005170757803154,0.5394070937003715
262,2025-09-07 07:00:00,0.34279,265,2025-09-07 07:45:00,0.34397,stop_loss,0.34397,0.34102,-0.3442340791738424,0.010017211703958693,-0.3542512908778011,1.00160992741811,0.8917475279856523
269,2025-09-07 08:45:00,0.3431,412,2025-09-08 20:30:00,0.35,stop_loss,0.35,0.3327500000000001,-2.01107548819585,0.010100553774409791,-2.02117604197026,0.9813656275311394,2.8948997825654117
427,2025-09-09 00:15:00,0.34356,432,2025-09-09 01:30:00,0.34103999999999995,take_profit,0.34524,0.34103999999999995,0.7334963325183439,0.009963325183374085,0.7235330073349698,0.9884661317689671,2.1923123306865753
468,2025-09-09 10:30:00,0.345,469,2025-09-09 10:45:00,0.34307999999999994,take_profit,0.34628,0.34307999999999994,0.5565217391304443,0.009972173913043478,0.546549565217401,0.9938685891144717,1.6577448389807448
477,2025-09-09 12:45:00,0.34491,478,2025-09-09 13:00:00,0.34623,stop_loss,0.34623,0.34293,-0.38270853266069055,0.010019135426633036,-0.39272766808732357,0.9899653921805901,2.0439620844191
483,2025-09-09 14:15:00,0.34514,484,2025-09-09 14:30:00,0.34387999999999996,take_profit,0.34598,0.34387999999999996,0.3650692472619919,0.0099817465376369,0.355087500724355,0.9934806355497201,1.6961324375760736
542,2025-09-10 05:00:00,0.34534,555,2025-09-10 08:15:00,0.3439,take_profit,0.3463,0.3439,0.41698036717437803,0.009979150981641281,0.4070012161927367,0.9975241138190467,1.2960345010325194
586,2025-09-10 16:00:00,0.34376,633,2025-09-11 03:45:00,0.34547,stop_loss,0.34547,0.341195,-0.4974400744705577,0.010024872003723529,-0.5074649464742812,0.9924620286087869,1.7969225267198463
655,2025-09-11 09:15:00,0.34479,656,2025-09-11 09:30:00,0.34579,stop_loss,0.34579,0.34329,-0.29003161344586587,0.010014501580672294,-0.30004611502653816,0.9894841848488326,2.091577045514926
687,2025-09-11 17:15:00,0.3434,701,2025-09-11 20:45:00,0.34438,stop_loss,0.34438,0.34192999999999996,-0.2853814793244136,0.010014269073966221,-0.29539574839837984,0.9865612906357148,2.380794364246372
734,2025-09-12 05:00:00,0.35231,737,2025-09-12 05:45:00,0.35455,stop_loss,0.35455,0.3489500000000001,-0.6358036956089705,0.01003179018478045,-0.645835485793751,0.9801897277316846,3.0112538351920444
758,2025-09-12 11:00:00,0.35383,788,2025-09-12 18:30:00,0.35794,stop_loss,0.35794,0.347665,-1.1615747675437365,0.010058078738377186,-1.1716328462821137,0.9687055029256969,4.14760584245612
