timestamp,entry_bar,exit_bar,direction,entry_price,exit_price,pnl_pct,exit_reason,rsi,volume_ratio,ema_dist
2025-11-14 04:39:00,5312,5315,LONG,0.21,0.21209999999999998,0.8999999999999957,TP,5.882352941176379,6.69935200061373,-3.234005067808087
2025-11-14 04:40:00,5313,5316,LONG,0.2102,0.212302,0.8999999999999966,TP,7.843137254901919,11.94739850023438,-2.8511547814847127
2025-11-20 08:14:00,14158,14159,LONG,0.2481,0.24685949999999998,-0.6000000000000022,SL,13.157894736842124,9.280308141512352,-1.5811736033146464
2025-11-21 07:34:00,15557,15559,LONG,0.226,0.22826000000000002,0.9000000000000054,TP,13.084112149532615,7.093320176340289,-2.974664439226569
2025-11-26 07:48:00,22764,22786,SHORT,0.253,0.25426499999999996,-0.5999999999999844,SL,86.11111111111113,5.706584953764364,1.5126689836185527
2025-11-27 17:05:00,24759,24773,SHORT,0.2746,0.271854,0.9000000000000096,TP,85.52631578947381,7.121829284085821,1.2947146816894157
2025-12-01 00:07:00,29496,29497,LONG,0.2333,0.2321335,-0.6000000000000063,SL,12.499999999999858,5.304700860274172,-2.334050747227169
2025-12-03 14:03:00,33208,33246,LONG,0.2287,0.230987,0.9000000000000051,TP,8.51063829787202,7.433392175929821,-1.2610026195987636
2025-12-07 14:25:00,38985,39027,LONG,0.2168,0.218968,0.9000000000000016,TP,13.793103448275431,7.149853606738887,-1.6000345305880972
