strategy,trades,return,max_dd,win_rate,rr_ratio,avg_win,avg_loss,shorts,longs
SHORT Only,235,942.2299395816838,-55.27026005417155,40.85106382978723,17.04768420952216,6.233014141528193,-3.0100000000000016,235,0
LONG Only,230,-7.9702682167509975,-72.49842076343724,34.34782608695652,-0.10993712873771455,6.197999598082972,-3.010000000000002,0,230
LONG + SHORT,446,967.9217753925833,-74.9197592444862,37.89237668161435,12.919445886551198,6.22602769116467,-3.0100000000000016,226,220
