volume_mult,min_bars,min_def,max_def,lookback,name,trades,return,max_dd,ratio,win_rate,tp_count
1.8,5,12,24,20,Lower volume 1.8x,6,4.400000000000009,-4.399999999999997,1.0000000000000029,0.16666666666666666,1
1.5,5,12,24,20,Lower volume 1.5x,13,3.6741423619805604,-6.600000000000001,0.5566882366637211,0.15384615384615385,1
2.0,3,12,24,20,Fewer bars (3),20,-4.920644297790387,-8.22064429779037,0.5985716106355568,0.15,1
2.0,4,12,24,20,Fewer bars (4),11,-1.1000000000000125,-5.500000000000002,0.2000000000000022,0.09090909090909091,1
2.0,5,6,16,20,Shorter defense 6-16h,5,7.018786001475849,-3.300000000000005,2.1269048489320723,0.4,1
1.8,3,10,20,20,Combo: 1.8x vol + 3 bars + 10-20h,23,-7.298572469829617,-11.450089714487579,0.6374249155965017,0.13043478260869565,1
2.0,4,8,18,20,Combo: 2.0x vol + 4 bars + 8-18h,11,6.93226298259499,-4.4000000000000075,1.5755143142261314,0.2727272727272727,1
