pattern,lookforward_candles,avg_return_pct,win_rate,sample_size
after_explosive_bear,3,0.6276637383024048,83.33333333333334,6
after_explosive_bear,10,0.31533301305674044,50.0,6
after_explosive_bear,5,0.20248411658882848,50.0,6
after_explosive_bull,1,0.03733449839361249,52.63157894736842,19
touch_bb_upper_2std,20,0.02925291877565574,46.8694885361552,2268
consec_red>=5,5,0.020980704929773882,51.48936170212765,940
consec_red>=4,5,0.016188464155050167,51.470588235294116,2040
consec_red>=3,5,0.011214886391657903,50.022747952684256,4396
touch_bb_lower_2std,5,0.010644113733880434,50.90909090909091,2200
consec_red>=5,3,0.010094376019168173,53.404255319148945,940
consec_red>=4,3,0.009083773287214176,50.931372549019606,2040
consec_red>=3,3,0.008034692337281369,49.86351228389445,4396
consec_red>=4,1,0.007213132942720163,49.06862745098039,2040
consec_red>=3,1,0.004713156478982168,48.612374886260234,4396
touch_bb_upper_3std,1,0.003685676653286189,41.25874125874126,143
touch_bb_lower_2std,1,0.002490027969741246,49.09090909090909,2200
touch_bb_lower_2std,10,0.002480575485929178,49.77272727272727,2200
consec_green>=4,1,0.0020420276816168264,46.62833246210141,1913
consec_green>=3,1,0.0015431503800434738,46.19657087659986,4141
touch_bb_upper_2std,5,0.0012906464147766832,45.49054113506379,2273
volume_spike_3x,1,0.0012505380548226135,46.33319203052141,2359
consec_green>=5,1,0.0006398108569943793,45.06726457399103,892
consec_green>=3,3,3.924604811184667e-05,45.930934556870326,4141
consec_green>=3,5,-0.0003654078239906965,45.4238106737503,4141
touch_bb_upper_2std,1,-0.00044339609924141276,45.49054113506379,2273
lower_wick_rejection,1,-0.0009792953051002914,46.109422492401215,6580
consec_green>=4,3,-0.0011682970879565563,46.05331939362258,1913
touch_bb_upper_2std,10,-0.0015682825188859566,44.962604487461505,2273
upper_wick_rejection,1,-0.0018408547399267191,47.202849087401695,6739
consec_red>=5,1,-0.002845928208491342,48.191489361702125,940
lower_wick_rejection,3,-0.0030282406603768615,46.6484268125855,6579
consec_green>=4,5,-0.0032785533331936016,45.844223732357555,1913
volume_spike_3x,3,-0.003712048474769004,48.41034336583298,2359
volume_spike_3x,5,-0.004309670430595251,47.096227214921576,2359
lower_wick_rejection,5,-0.004727647624833457,47.150022799817606,6579
upper_wick_rejection,3,-0.005455834601088127,46.64588898783021,6738
upper_wick_rejection,5,-0.008511550901857725,47.37310774710596,6738
volume_spike_3x,10,-0.01099410414488209,46.79949130987707,2359
consec_green>=5,3,-0.011828811943072014,45.06726457399103,892
consec_green>=5,5,-0.013201119028414102,44.61883408071749,892
touch_bb_lower_2std,20,-0.023317759299069832,46.63636363636364,2200
touch_bb_upper_3std,5,-0.04335346146950956,39.16083916083916,143
touch_bb_lower_3std,1,-0.05381703770761152,43.689320388349515,103
touch_bb_lower_3std,10,-0.09602126855176962,40.77669902912621,103
touch_bb_upper_3std,20,-0.10492814256679124,40.55944055944056,143
touch_bb_upper_3std,10,-0.11198906713710996,40.55944055944056,143
touch_bb_lower_3std,5,-0.12115601503705677,40.77669902912621,103
touch_bb_lower_3std,20,-0.185337549724885,39.80582524271845,103
after_explosive_bull,5,-0.1953179411237631,36.84210526315789,19
after_explosive_bull,10,-0.2661149972915178,36.84210526315789,19
after_explosive_bull,3,-0.31523869703428153,31.57894736842105,19
after_explosive_bear,1,-0.39712561785163897,66.66666666666666,6
