entry_time,exit_time,side,entry,exit,pnl,reason,duration_mins
2025-11-07 07:07:00,2025-11-07 07:17:00,short,3358.37,3361.853214285714,-414.86962850596973,stop_loss,10.0
2025-11-07 07:25:00,2025-11-07 07:47:00,long,3340.99,3350.750714285714,1120.1197123903294,take_profit,22.0
2025-11-07 07:48:00,2025-11-07 07:49:00,short,3352.91,3356.5957142857137,-470.71341809129444,stop_loss,1.0
2025-11-07 08:06:00,2025-11-07 08:13:00,short,3359.95,3354.8428571428567,622.2621268634878,take_profit,7.0
2025-11-07 08:19:00,2025-11-07 08:35:00,long,3348.55,3344.5053571428575,-524.5479229893942,stop_loss,16.0
2025-11-07 08:37:00,2025-11-07 08:45:00,long,3340.29,3336.3910714285716,-482.4097084134651,stop_loss,8.0
2025-11-07 08:59:00,2025-11-07 09:03:00,short,3341.89,3335.5346428571424,749.267730298541,take_profit,4.0
2025-11-07 09:06:00,2025-11-07 09:08:00,long,3329.34,3325.2610714285715,-519.4183602688267,stop_loss,2.0
2025-11-07 09:09:00,2025-11-07 09:17:00,long,3322.63,3330.0514285714285,900.5601382040433,take_profit,8.0
2025-11-07 09:24:00,2025-11-07 09:28:00,long,3313.61,3308.282857142857,-706.098351026208,stop_loss,4.0
2025-11-08 07:23:00,2025-11-08 07:34:00,long,3429.51,3436.9171428571426,887.6150115775503,take_profit,11.0
2025-11-08 08:59:00,2025-11-08 09:05:00,long,3454.59,3451.7057142857143,-372.7646528961577,stop_loss,6.0
2025-11-08 09:19:00,2025-11-08 09:20:00,short,3455.58,3458.7771428571427,-399.28443670725284,stop_loss,1.0
2025-11-08 09:26:00,2025-11-08 09:47:00,short,3463.12,3456.7360714285714,766.0978438426239,take_profit,21.0
2025-11-08 09:48:00,2025-11-08 09:52:00,long,3450.37,3446.693928571429,-475.4223665265784,stop_loss,4.0
2025-11-08 09:53:00,2025-11-08 10:03:00,long,3440.89,3437.197857142857,-458.4109271318491,stop_loss,10.0
2025-11-08 10:20:00,2025-11-08 10:28:00,short,3444.48,3448.2332142857144,-445.52782234857375,stop_loss,8.0
2025-11-08 11:00:00,2025-11-08 11:10:00,long,3444.07,3448.0699999999997,454.18147567360245,take_profit,10.0
2025-11-08 11:13:00,2025-11-08 11:31:00,short,3454.29,3448.325714285714,706.581541105933,take_profit,18.0
2025-11-08 11:32:00,2025-11-08 11:35:00,long,3444.64,3441.6335714285715,-381.83339498114606,stop_loss,3.0
2025-11-09 07:04:00,2025-11-09 07:07:00,short,3414.23,3409.1835714285717,624.0586530812599,take_profit,3.0
2025-11-09 07:34:00,2025-11-09 07:55:00,short,3417.94,3420.2253571428573,-298.99905169665647,stop_loss,21.0
2025-11-09 07:59:00,2025-11-09 08:07:00,short,3422.91,3417.4742857142855,691.1427519438587,take_profit,8.0
2025-11-09 08:22:00,2025-11-09 08:25:00,long,3413.89,3411.493214285714,-324.9620143302869,stop_loss,3.0
2025-11-09 08:59:00,2025-11-09 09:07:00,short,3421.21,3423.289642857143,-273.4583752614011,stop_loss,8.0
2025-11-09 09:09:00,2025-11-09 09:20:00,short,3427.63,3431.0189285714287,-433.97073375175154,stop_loss,11.0
2025-11-09 09:21:00,2025-11-09 09:27:00,short,3435.05,3427.0946428571433,976.3242659878293,take_profit,6.0
2025-11-09 09:31:00,2025-11-09 09:43:00,long,3419.68,3416.549285714286,-421.6979745566746,stop_loss,12.0
2025-11-09 09:47:00,2025-11-09 09:52:00,long,3409.54,3406.3814285714284,-411.08923262368455,stop_loss,5.0
2025-11-09 10:01:00,2025-11-09 10:18:00,long,3391.54,3387.094642857143,-560.0825926662613,stop_loss,17.0
2025-11-10 07:08:00,2025-11-10 07:36:00,short,3616.98,3609.9925000000003,782.2218411469147,take_profit,28.0
2025-11-10 07:37:00,2025-11-10 07:41:00,long,3608.8,3614.9017857142853,737.5215358315778,take_profit,4.0
