direction,entry_idx,entry_price,exit_idx,exit_price,exit_reason,pnl,pnl_pct,bars_held,zone_bars
SHORT,297,7.86175065,318,7.901059403250001,SL,-0.005675124378109541,-0.5675124378109542,21,3
SHORT,997,7.74771075,1017,7.78644930375,SL,-0.00567512437810943,-0.5675124378109431,20,4
SHORT,1199,7.733705850000001,1289,7.681,TIME,0.006161847415701172,0.6161847415701172,90,3
SHORT,4380,8.97013845,4384,9.01498914225,SL,-0.00567512437810943,-0.5675124378109431,4,3
SHORT,4645,9.48631905,4682,9.24916107375,TP,0.02494102564102555,2.494102564102555,37,3
SHORT,4955,8.80808175,5000,8.58787970625,TP,0.02494102564102555,2.494102564102555,45,4
SHORT,6029,8.1128385,6119,7.991,TIME,0.014546965336003005,1.4546965336003006,90,3
SHORT,6136,8.01580455,6226,8.009,TIME,0.00014961293544760786,0.014961293544760786,90,4
SHORT,6954,7.8587496,7044,7.776,TIME,0.009941666666666661,0.9941666666666661,90,5
SHORT,8523,7.6406733000000004,8613,7.499,TIME,0.018192292305640935,1.8192292305640936,90,3
SHORT,8649,7.580652300000001,8734,7.391135992500001,TP,0.02494102564102555,2.494102564102555,85,4
SHORT,14089,7.0704738,14179,7.061,TIME,0.0006417079733748505,0.06417079733748506,90,4
SHORT,15924,7.050466800000001,15932,7.0857191340000005,SL,-0.00567512437810943,-0.5675124378109431,8,4
SHORT,30084,6.11113815,30174,6.105,TIME,0.0003054299754300722,0.030542997543007218,90,3
SHORT,37876,6.08112765,37935,6.11153328825,SL,-0.005675124378109541,-0.5675124378109542,59,3
