direction,entry,exit,pnl,bars,exit_reason,zone_bars,cumulative_pnl,equity,running_max,drawdown,drawdown_pct
LONG,5.86e-06,5.850714285714286e-06,-0.0025845928815211297,4,SL,5,-0.25845928815211294,99.74154071184789,99.74154071184789,0.0,0.0
LONG,5.04e-06,5.029285714285714e-06,-0.003125850340136015,3,SL,5,-0.5710443221657144,99.42895567783428,99.74154071184789,-0.31258503401360827,-0.31339503258392876
LONG,4.69e-06,4.72e-06,0.005396588486140553,2,TP,5,-0.031385473551659104,99.96861452644833,99.96861452644833,0.0,0.0
LONG,4.47e-06,4.497142857142857e-06,0.0050722275487374855,8,TP,6,0.47583728132208947,100.47583728132209,100.47583728132209,0.0,0.0
LONG,4.55e-06,4.5685714285714295e-06,0.0030816326530614955,5,TP,5,0.784000546628239,100.78400054662823,100.78400054662823,0.0,0.0
SHORT,6.23e-06,6.2449999999999995e-06,-0.0034019215372297342,1,SL,7,0.44380839290526564,100.44380839290527,100.78400054662823,-0.34019215372296685,-0.33754579286180963
SHORT,6.12e-06,6.0885714285714285e-06,0.004161895823557083,7,TP,5,0.859997975260974,100.85999797526097,100.85999797526097,0.0,0.0
SHORT,4.81e-06,4.784285714285713e-06,0.004374738727978556,1,TP,6,1.2974718480588296,101.29747184805883,101.29747184805883,0.0,0.0
SHORT,4.77e-06,4.783571428571428e-06,-0.003837091234881184,1,SL,5,0.9137627245707113,100.91376272457072,101.29747184805883,-0.38370912348811714,-0.3787943731346639
SHORT,4.71e-06,4.6785714285714284e-06,0.005717557251908479,4,TP,6,1.4855184497615592,101.48551844976156,101.48551844976156,0.0,0.0
SHORT,4.88e-06,4.858571428571428e-06,0.003410467509555982,15,TP,5,1.8265652007171576,101.82656520071716,101.82656520071716,0.0,0.0
SHORT,4.58e-06,4.554285714285714e-06,0.004646173149310041,11,TP,5,2.2911825156481616,102.29118251564816,102.29118251564816,0.0,0.0
SHORT,4.57e-06,4.5542857142857155e-06,0.0024504391468002104,2,TP,5,2.5362264303281825,102.53622643032818,102.53622643032818,0.0,0.0
SHORT,4.84e-06,4.821428571428572e-06,0.002851851851851773,1,TP,6,2.8214116155133597,102.82141161551336,102.82141161551336,0.0,0.0
SHORT,4.38e-06,4.386428571428572e-06,-0.0024655593551539115,2,SL,6,2.5748556799979685,102.57485567999797,102.82141161551336,-0.24655593551538857,-0.23979045963437154
