label,trades,net,wr,dd,rdd
SL1.0/TP6.0,60,23.94753393883255,21.666666666666668,5.672438384042088,4.221735401516679
Combo3,60,23.94753393883255,21.666666666666668,5.672438384042088,4.221735401516679
Combo5,44,15.950235105409027,29.545454545454547,5.967804397119822,2.672714124663154
RSI52,79,17.207544152908973,27.848101265822784,6.830390275807517,2.5192622175421193
SL1.0/TP5.0,63,14.521722393565124,23.809523809523807,6.547773925991852,2.2178105960439654
Combo2,63,14.521722393565124,23.809523809523807,6.547773925991852,2.2178105960439654
SL1.5/TP6.0,53,19.785659733425756,28.30188679245283,9.460289564781123,2.0914433536034713
Body0.7,44,9.846130953302966,34.090909090909086,5.169782084678824,1.9045543491055414
RSI50,91,16.502501318801755,25.274725274725274,9.1358705053852,1.806341421879201
SL1.5/TP5.0,56,14.458110497149157,30.357142857142854,9.609832183310541,1.504512276734515
Time120,63,11.283151427439346,28.57142857142857,7.940426388199365,1.4209755088477063
SL1.0/TP3.0,64,8.289034225177465,32.8125,6.79002126226389,1.220767049912563
Time45,63,9.02505842601111,28.57142857142857,7.940426388199394,1.1365961958193624
RSI60,36,-14.765468440075301,16.666666666666664,13.030845874088342,1.133116651270984
SL0.5/TP5.0,68,9.908582170839079,11.76470588235294,8.74475093110004,1.1330891238537124
Baseline SL1.0/TP4.0,63,8.958222692353555,28.57142857142857,7.940426388199389,1.1281790491335273
SL1.0/TP4.0,63,8.958222692353555,28.57142857142857,7.940426388199389,1.1281790491335273
RSI55,63,8.958222692353555,28.57142857142857,7.940426388199389,1.1281790491335273
Body0.5,63,8.958222692353555,28.57142857142857,7.940426388199389,1.1281790491335273
Time60,63,8.958222692353555,28.57142857142857,7.940426388199389,1.1281790491335273
Time90,63,8.958222692353555,28.57142857142857,7.940426388199389,1.1281790491335273
Body0.3,76,8.521045203556035,27.631578947368425,7.55845226994315,1.1273531801531276
Combo4,36,-11.050956763570758,16.666666666666664,10.004457369537382,1.1046033138408753
Time30,63,7.989104554319876,28.57142857142857,7.940426388199394,1.0061304221890182
SL1.5/TP4.0,56,8.940022532031414,35.714285714285715,9.152625438952521,0.9767713746903381
SL2.0/TP6.0,52,7.936689183551269,28.846153846153843,14.041255084137678,0.5652407235673184
SL0.5/TP3.0,70,-2.0400545501009333,15.714285714285714,6.013951822495677,0.3392203014447078
RSI57,51,2.4489516155124074,25.49019607843137,8.16022754834815,0.30010825078133285
Body1.0,27,-1.241715752915991,25.925925925925924,6.669130935802057,0.1861885401364754
SL0.5/TP4.0,68,1.6214540515131226,11.76470588235294,8.744750931100045,0.18542026688793892
Combo1,68,1.6214540515131226,11.76470588235294,8.744750931100045,0.18542026688793892
SL2.0/TP8.0,50,0.5960565048280415,22.0,13.935450467276327,0.042772675790260284
SL2.0/TP5.0,55,0.16539087579936051,30.909090909090907,14.412645183059173,0.011475400504118653
