regime,candles,pct_time,long_signals,long_win_rate,long_avg_return,short_signals,short_win_rate,short_avg_return,best_strategy
mean_reverting,1722,3.99,747,31.72690763052209,0.024462248995983933,874,28.718535469107554,-0.004934897025171623,mean_reversion
choppy,39640,91.76,0,0.0,0.0,0,0.0,0.0,mean_reversion
uptrend,339,0.78,242,36.77685950413223,0.014143388429752062,28,39.285714285714285,-0.02486071428571429,mean_reversion
downtrend,192,0.44,19,47.368421052631575,0.04320526315789474,138,32.608695652173914,-0.030547101449275367,long
