timestamp,capital,regime,peak,drawdown
2025-01-25 09:00:00,9991.58626592,BEAR_TREND,10084.3624,-0.9200000000000069
2025-01-25 09:15:00,9991.58626592,BEAR_TREND,10084.3624,-0.9200000000000069
2025-01-25 09:30:00,9991.58626592,BEAR_TREND,10084.3624,-0.9200000000000069
2025-01-25 09:45:00,9991.58626592,BEAR_TREND,10084.3624,-0.9200000000000069
2025-01-25 10:00:00,9991.58626592,BEAR_TREND,10084.3624,-0.9200000000000069
2025-01-25 10:15:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 10:30:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 10:45:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 11:00:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 11:15:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 11:30:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 11:45:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 12:00:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 12:15:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 12:30:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 12:45:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 13:00:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 13:15:00,9991.58626592,HIGH_VOL_BEAR,10084.3624,-0.9200000000000069
2025-01-25 13:30:00,10169.436501453376,HIGH_VOL_BEAR,10169.436501453376,0.0
2025-01-25 13:45:00,10169.436501453376,HIGH_VOL_BEAR,10169.436501453376,0.0
2025-01-25 14:00:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 14:15:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 14:30:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 14:45:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 15:00:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 15:15:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 15:30:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 15:45:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
2025-01-25 16:00:00,10169.436501453376,CHOP_ZONE,10169.436501453376,0.0
