variant,trades,return,max_dd,return_dd,win_rate,tp_rate,top5_dependency,avg_win,avg_loss
BASELINE,126,105.52606004263374,-15.566359877193106,6.779109623261645,35.714285714285715,29.365079365079367,85.29671484659951,4.916011213723705,-1.4283264762337406
ADAPTIVE_TP,126,102.82544804424596,-16.493303183175676,6.234375667642799,35.714285714285715,30.158730158730158,87.53695144093622,4.8559976137595315,-1.4283264762337406
ATR_REGIME_1.0,125,93.08931259114168,-15.566359877193106,5.9801593516754386,35.199999999999996,28.799999999999997,93.48025146220455,4.74508539013806,-1.4283264762337406
ATR_REGIME_0.8,125,93.08931259114168,-15.566359877193106,5.9801593516754386,35.199999999999996,28.799999999999997,93.48025146220455,4.74508539013806,-1.4283264762337406
MAX_ATR_2.0x,119,98.9969078257863,-17.897552772324328,5.531309731846077,34.45378151260504,28.57142857142857,90.92229696892734,5.12627346805381,-1.425388517492563
RSI_50,91,41.740271094317755,-23.058280995510934,1.8102074088889755,30.76923076923077,25.274725274725274,134.83138697501283,4.597968518317839,-1.3809975780727257
COMBO: CAP+RSI+REGIME,89,31.61478837709184,-22.614684711397242,1.39797608414849,30.337078651685395,24.719101123595504,156.7043578434533,4.307643372644719,-1.3659932691018635
COMBO: RSI+REGIME,90,29.30352364282568,-23.058280995510934,1.270845977136396,30.0,24.444444444444443,169.06414298069467,4.307643372644719,-1.3809975780727257
RSI_55,85,19.71596371842188,-22.6963992980047,0.8686824486805341,30.58823529411765,24.705882352941178,212.96249955810472,3.964455811698884,-1.4128794472160868
SESSION_ASIA_EU,40,4.450375131750931,-11.973334917106842,0.3716905241991085,30.0,22.5,505.8932769440806,3.245610459810932,-1.2320339423564377
COMBO: SESSION+ADAPTIVE,40,4.450375131750931,-11.973334917106842,0.3716905241991085,30.0,22.5,505.8932769440806,3.245610459810932,-1.2320339423564377
