session,hours,total_return,max_drawdown,profit_dd_ratio,win_rate,total_trades,avg_win,avg_loss,final_balance
24/7,All,-100.0,-100.0,1.0,35.551663747810856,571,65.6476631393571,-63.38716200350405,9.006199248554338e-27
Asian (23-07 UTC),"[23, 0, 1, 2, 3, 4, 5, 6]",-99.99999999999865,-99.99999999999973,0.9999999999999892,31.606217616580313,193,231.63651673043876,-182.80172364058058,1.3373142897681568e-10
European (07-15 UTC),"[7, 8, 9, 10, 11, 12, 13, 14]",-99.99999377303836,-99.99999977991038,0.9999999399312796,37.85310734463277,177,1287.5356946814945,-875.1353720087632,0.0006226961641128965
US (13-21 UTC),"[13, 14, 15, 16, 17, 18, 19, 20]",-99.99999999634525,-99.99999999965382,0.9999999999669142,38.68613138686132,274,1393.9158218870896,-939.0183161884881,3.654756768661075e-07
Euro+US (07-21 UTC),"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",-99.9999999999996,-99.99999999999997,0.9999999999999963,38.35616438356164,365,1599.4513170582832,-1039.6585972807095,3.951344763429784e-11
High Volume (09-19 UTC),"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",-99.9999996673837,-99.99999995049572,0.9999999971688799,40.213523131672595,281,3237.232672466897,-2236.948166401772,3.326162872675517e-05
Avoid Off-hours (07-21 UTC),"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",-99.9999999999996,-99.99999999999997,0.9999999999999963,38.35616438356164,365,1599.4513170582832,-1039.6585972807095,3.951344763429784e-11
Peak Volatility (Top 8h),"[15, 14, 16, 17, 18, 15, 14, 16]",-99.99948872839981,-99.99989044486196,0.9999959828309775,40.43715846994536,183,500.6007031017484,-431.60000827861796,0.05112716001855137
