session,avg_return_pct,volatility_std,avg_atr,avg_volume_ratio,long_win_rate,short_win_rate,best_hour,best_hour_return,worst_hour,worst_hour_return,sample_size
overnight,0.004287667632167838,0.21674118651806712,0.014749603174603134,1.0362463446135697,47.38888888888889,46.25925925925926,22,0.013142815775028144,23,-0.00926609170502177,5400
asia,0.0006929908511071534,0.18753369951221113,0.014113214285714248,1.0279912893189584,46.541666666666664,46.9375,1,0.007324979811854797,6,-0.0033680260599142334,14400
us,-0.0006381976116086427,0.19447485814220958,0.015774245343609467,1.0193145276485704,46.37925497752087,48.458574181117534,14,0.006196797219874348,16,-0.0041204320805307325,12456
europe,-0.001810286908571273,0.15290884939954016,0.01264066343149634,1.029775109982708,45.853885528152624,47.510469986040015,10,0.008468149794641888,9,-0.007175125157320716,10745
