entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,strategy
2025-01-01 16:55:00,2025-01-01 17:35:00,LONG,0.90854,0.9358084999999999,3.0013538204151535,60.027076408303074,TARGET,BB_BOUNCE_LONG
2025-01-01 20:10:00,2025-01-01 20:55:00,SHORT,0.96493,0.9708884499313801,-0.6137110737903351,-12.34790003884477,STOP,MEAN_REV_SHORT
2025-01-01 21:05:00,2025-01-01 21:15:00,SHORT,0.978,0.9946324974087344,-1.672225415122286,-33.60396896343993,STOP,MEAN_REV_SHORT
2025-01-01 21:30:00,2025-01-01 21:45:00,SHORT,0.99789,0.972505,2.610269355941619,52.278867283973284,TARGET,MEAN_REV_SHORT
2025-01-01 21:50:00,2025-01-01 22:00:00,LONG,0.97336,0.9879604,1.4999999999999902,30.199062224069777,TARGET,EMA_PB_LONG
2025-01-01 23:45:00,2025-01-01 23:55:00,LONG,0.9832,0.9747355732173804,-0.8609058973372274,-17.384364276695997,STOP,EMA_PB_LONG
2025-01-02 00:00:00,2025-01-02 00:25:00,LONG,0.98722,1.0020282999999999,1.4999999999999902,30.237506317911905,TARGET,EMA_PB_LONG
2025-01-02 01:10:00,2025-01-02 01:15:00,SHORT,1.04553,1.0506445767894035,-0.48680371101640363,-9.842592985535923,STOP,MEAN_REV_SHORT
2025-01-02 01:20:00,2025-01-02 02:10:00,SHORT,1.04223,1.0646742415455928,-2.1080853344409234,-42.58148418128985,STOP,MEAN_REV_SHORT
2025-01-02 03:05:00,2025-01-02 03:50:00,SHORT,1.10061,1.1214213884636595,-1.8558044886383795,-37.327585424470605,STOP,MEAN_REV_SHORT
2025-01-02 04:20:00,2025-01-02 04:45:00,LONG,1.09985,1.1163477499999999,1.4999999999999902,30.058963849091743,TARGET,EMA_PB_LONG
2025-01-02 05:45:00,2025-01-02 06:00:00,SHORT,1.14598,1.158526950987989,-1.0830089863070436,-21.767860234365376,STOP,MEAN_REV_SHORT
2025-01-02 06:45:00,2025-01-02 07:05:00,SHORT,1.22001,1.23196493174119,-0.9703954579529772,-19.462145958532666,STOP,MEAN_REV_SHORT
2025-01-02 09:15:00,2025-01-02 09:20:00,SHORT,1.32662,1.338264002734105,-0.8700826376795701,-17.416415574512243,STOP,MEAN_REV_SHORT
2025-01-02 09:30:00,2025-01-02 09:35:00,SHORT,1.35,1.365875192921915,-1.1622725856785143,-23.22468691986865,STOP,MEAN_REV_SHORT
2025-01-02 09:40:00,2025-01-02 10:15:00,SHORT,1.35927,1.3792894698667875,-1.451433531840196,-28.93532160654678,STOP,MEAN_REV_SHORT
2025-01-02 10:20:00,2025-01-02 11:00:00,SHORT,1.389,1.3441225,3.3387953850932517,66.3679546500414,TARGET,MEAN_REV_SHORT
2025-01-02 13:30:00,2025-01-02 13:40:00,LONG,1.38874,1.4095711,1.4999999999999902,30.015825313707662,TARGET,EMA_PB_LONG
2025-01-02 13:40:00,2025-01-02 13:45:00,LONG,1.38348,1.3656324074171942,-1.290050639171214,-25.892066956729288,STOP,EMA_PB_LONG
2025-01-02 13:55:00,2025-01-02 14:00:00,LONG,1.38584,1.3486149019382978,-2.686103595054423,-53.772564540079784,STOP,BB_BOUNCE_LONG
2025-01-02 14:35:00,2025-01-02 14:40:00,LONG,1.385,1.4057749999999998,1.4999999999999902,29.866878895158358,TARGET,EMA_PB_LONG
2025-01-02 15:00:00,2025-01-02 15:10:00,LONG,1.39293,1.4138239499999998,1.4999999999999902,29.956479531843833,TARGET,EMA_PB_LONG
2025-01-02 15:20:00,2025-01-02 15:30:00,LONG,1.3851,1.3764689748020367,-0.6231337230498402,-12.481928865336489,STOP,EMA_PB_LONG
2025-01-02 15:40:00,2025-01-02 15:50:00,LONG,1.39167,1.377007311032273,-1.0536038692884886,-21.078331005067472,STOP,EMA_PB_LONG
2025-01-02 16:55:00,2025-01-02 17:00:00,LONG,1.32948,1.3260213798369267,-0.2601483409358063,-5.193543932038761,STOP,BB_BOUNCE_LONG
2025-01-08 03:15:00,2025-01-08 03:40:00,LONG,1.0692,1.0565438915931558,-1.1836988783056612,-23.618807380811116,STOP,BB_BOUNCE_LONG
2025-01-08 03:50:00,2025-01-08 04:30:00,LONG,1.04284,1.0326103728499951,-0.9809392763995284,-19.52672839017796,STOP,BB_BOUNCE_LONG
2025-01-08 04:35:00,2025-01-08 05:05:00,LONG,1.03184,1.052357,1.98838967281747,39.503537730424455,TARGET,BB_BOUNCE_LONG
2025-01-08 06:40:00,2025-01-08 06:55:00,LONG,1.02887,1.0219678192997277,-0.6708506128346836,-13.380858580880096,STOP,BB_BOUNCE_LONG
2025-01-08 08:35:00,2025-01-08 09:05:00,SHORT,1.05775,1.0696248985992098,-1.1101927988738214,-22.11431447945891,STOP,MEAN_REV_SHORT
