entry_time,direction,entry_price,exit_price,exit_reason,bars_held,pnl_pct,ret_5m_signal,vol_ratio,atr_ratio,pnl_gross,pnl_net
2025-11-07 19:13:00,SHORT,7.848,7.872,TIME,15,-0.0030581039755351,0.01003861003861,1.212464332684225,1.20645491803278,-0.0030581039755351,-0.0040581039755351
2025-11-08 02:58:00,SHORT,7.852,7.764,TIME,15,0.0112073357106469,0.0167033536190599,1.1576295539927173,1.6502463054187213,0.0112073357106469,0.0102073357106469
2025-11-08 02:59:00,SHORT,7.843,7.763,TIME,15,0.0102001785031238,0.013438428737563,1.783383301761755,1.5868167202572352,0.0102001785031238,0.0092001785031238
2025-11-08 07:23:00,LONG,7.745,7.743,TIME,15,-0.0002582311168495,-0.0129985981903912,1.0836979973360112,1.3465783664459052,-0.0002582311168495,-0.0012582311168495
2025-11-08 07:24:00,LONG,7.739,7.762,TIME,15,0.0029719602015763,-0.0141401273885349,1.7461522116559107,1.3685578172368902,0.0029719602015763,0.0019719602015763
2025-11-08 07:26:00,LONG,7.734,7.773,TIME,15,0.0050426687354538,-0.0112503196113525,1.332865552110052,1.3968033356497502,0.0050426687354538,0.0040426687354537996
2025-11-08 09:48:00,LONG,7.764,7.777,TIME,15,0.0016743946419371,-0.0101988781234064,2.0631711654322813,1.1366711772665727,0.0016743946419371,0.0006743946419371001
2025-11-09 14:29:00,SHORT,7.616,7.598,TIME,15,0.0023634453781512,0.012362089591918,1.2743343120384911,1.658440276406726,0.0023634453781512,0.0013634453781512
2025-11-10 03:10:00,SHORT,7.923,7.84,TIME,15,0.0104758298624258,0.0104578497640606,1.081556935908674,1.11163227016886,0.0104758298624258,0.009475829862425799
2025-11-10 03:11:00,SHORT,7.93,7.857,TIME,15,0.0092055485498107,0.0118667857598571,1.121769314630006,1.1312849162011185,0.0092055485498107,0.0082055485498107
2025-11-10 03:12:00,SHORT,7.912,7.844,TIME,15,0.0085945399393326,0.0102145045965271,1.024163924883758,1.1947931194793144,0.0085945399393326,0.0075945399393325995
2025-11-10 11:51:00,SHORT,8.345,8.428450000000002,SL,4,-0.01,0.0120058210041231,2.944752865835837,1.2924096575666797,-0.01,-0.011
2025-11-10 11:52:00,SHORT,8.371,8.45471,SL,3,-0.01,0.0149127061105724,1.870890221072232,1.3691400186277658,-0.01,-0.011
2025-11-10 11:55:00,SHORT,8.469,8.341965,TP,6,0.015,0.0170529602497897,1.8084683566291424,1.716287215411569,0.015,0.013999999999999999
2025-11-10 12:00:00,LONG,8.364,8.413,TIME,15,0.0058584409373504,-0.0123981579879559,2.518078440945463,2.5191905094207905,0.0058584409373504,0.0048584409373504
2025-11-10 12:04:00,LONG,8.321,8.445815,TP,11,0.015,-0.0177074725534175,2.9472445774415346,2.49275887038378,0.015,0.013999999999999999
2025-11-10 13:32:00,SHORT,8.682,8.704,TIME,15,-0.0025339783460032,0.0237000353731871,13.562297478325789,1.2167070217917582,-0.0025339783460032,-0.0035339783460032
2025-11-10 13:33:00,SHORT,8.696,8.663,TIME,15,0.0037948482060716,0.0201783200375411,3.5044656326118813,1.268848009650177,0.0037948482060716,0.0027948482060716
2025-11-10 13:35:00,SHORT,8.711,8.701,TIME,15,0.0011479738261967,0.0182349503214496,1.2855081503570591,1.2748319641523511,0.0011479738261967,0.00014797382619670006
2025-11-10 13:45:00,LONG,8.62,8.749299999999998,TP,6,0.015,-0.01135451313224,1.4242494931579106,1.3250610775363405,0.015,0.013999999999999999
2025-11-10 14:16:00,LONG,8.563,8.56,TIME,15,-0.0003503445054303,-0.0119995384792891,3.650894585108481,1.1830506727150834,-0.0003503445054303,-0.0013503445054303
2025-11-10 15:43:00,SHORT,8.999,9.08899,SL,2,-0.01,0.0146577968203855,2.839231441319699,1.196859645374916,-0.01,-0.011
