Session,Avg_Return_%,Volatility_%,Avg_ATR_%,Avg_Volume_Ratio,Long_WinRate_%,Short_WinRate_%,Best_Hour,Worst_Hour,Candles
Asia,-0.00029651188645008316,0.2043376722512075,0.1827221971493509,1.0092620913110053,49.848024316109424,50.15197568389058,2,7,14400
Europe,-0.0008815526616009462,0.20189317309320734,0.18395251813940597,1.0255970903840368,49.003009781790816,50.97817908201655,10,9,10801
US,-2.7906470263881357e-05,0.23839078973321723,0.23811471476188376,1.023538292129602,49.59635990019081,50.40364009980919,14,18,12600
Overnight,0.0005128576957863507,0.2084155755577701,0.18533914519344097,1.0166206316079625,49.60060859642449,50.3993914035755,21,23,5400
