limit_pct,max_wait,signals,fills,fill_rate,trades,return,max_dd,return_dd,win_rate,tp_rate,sl_rate
0.5,1,92,11,11.956521739130435,11,-5.019855637793422,-5.412243570473927,-0.9274999494070912,18.181818181818183,0.0,72.72727272727273
0.5,2,90,18,20.0,18,-6.221214942830718,-9.770587685629858,-0.6367288379163315,16.666666666666664,5.555555555555555,77.77777777777779
0.5,3,82,28,34.146341463414636,28,-5.512122157572803,-15.178847544689313,-0.3631449714047199,17.857142857142858,3.571428571428571,78.57142857142857
0.5,4,82,34,41.46341463414634,34,-5.814042860969769,-15.480768248086276,-0.3755655254181909,17.647058823529413,5.88235294117647,79.41176470588235
0.5,5,77,38,49.35064935064935,38,-5.871828864368543,-16.061817822446457,-0.3655768561988443,21.052631578947366,7.894736842105263,73.68421052631578
0.75,1,96,8,8.333333333333332,8,-3.187876768643379,-4.466607963575976,-0.7137131341366162,25.0,0.0,62.5
0.75,2,94,12,12.76595744680851,12,-1.6609963661421918,-8.045749952539095,-0.20644394567817895,25.0,8.333333333333332,66.66666666666666
0.75,3,91,18,19.78021978021978,18,0.18744254548066897,-9.313878527001803,0.020125079464720905,22.22222222222222,5.555555555555555,72.22222222222221
0.75,4,91,23,25.274725274725274,23,-2.0284271425949925,-10.667820993843586,-0.19014446753142938,21.73913043478261,4.3478260869565215,73.91304347826086
0.75,5,87,27,31.03448275862069,27,-8.139800424965227,-16.77919427621382,-0.48511271107363035,18.51851851851852,3.7037037037037033,77.77777777777779
1.0,1,96,6,6.25,6,-2.3023038147334436,-3.8951882277222616,-0.5910635584560009,33.33333333333333,0.0,50.0
1.0,2,94,9,9.574468085106384,9,0.5255666289944314,-6.18708928183813,0.08494569983614171,33.33333333333333,11.11111111111111,55.55555555555556
1.0,3,92,13,14.130434782608695,13,3.5884493996571996,-7.458207092762353,0.4811410242469036,30.76923076923077,7.6923076923076925,61.53846153846154
1.0,4,92,19,20.652173913043477,19,0.4726095227471423,-9.066497946934186,0.05212702032397791,26.31578947368421,5.263157894736842,68.42105263157895
1.0,5,91,21,23.076923076923077,21,-1.9826280183771503,-10.728884194864975,-0.18479349598405298,23.809523809523807,4.761904761904762,71.42857142857143
1.25,1,100,3,3.0,3,-7.053089273819936,-5.697439191670954,-1.2379402458793762,0.0,0.0,100.0
1.25,2,98,5,5.1020408163265305,5,-9.92133772896056,-8.565687646811579,-1.1582651782374527,0.0,0.0,100.0
1.25,3,95,10,10.526315789473683,10,0.09099668117716814,-9.263741348044634,0.009822886645726078,30.0,10.0,70.0
1.25,4,93,13,13.978494623655912,13,2.5330804603129295,-10.178101356488247,0.24887553892339298,30.76923076923077,7.6923076923076925,69.23076923076923
1.25,5,92,16,17.391304347826086,16,-1.215202185387247,-13.131715967169773,-0.09253948139187133,25.0,6.25,75.0
1.5,1,100,1,1.0,1,-4.2668674128777475,0.0,0.0,0.0,0.0,100.0
1.5,2,99,2,2.0202020202020203,2,-5.606780776566049,-4.2668674128777475,-1.314027419657882,0.0,0.0,100.0
1.5,3,99,4,4.040404040404041,4,-1.4399641544901458,-5.544008668585215,-0.2597333879814464,25.0,25.0,75.0
1.5,4,94,7,7.446808510638298,7,9.109757924394668,-5.544008668585215,1.643171659527618,42.857142857142854,14.285714285714285,42.857142857142854
1.5,5,93,9,9.67741935483871,9,6.599516953088034,-6.8343218227673095,0.9656432816937204,33.33333333333333,11.11111111111111,55.55555555555556
2.0,4,96,3,3.125,3,9.007847210401541,-0.6239485376136695,14.436843212827489,66.66666666666666,0.0,0.0
2.0,5,94,5,5.319148936170213,5,11.66630806938354,-0.6239485376136695,18.6975485414263,60.0,20.0,20.0
