Method,Profit/DD Ratio,Total Return %,Max DD %,Trades,Win Rate %,Avg Size $,Max Size $
hybrid,0.40156004345182494,5.5678899478485455,-13.865647338780915,1671,33.75224416517056,99.934171154997,169.0
confidence,0.3296545240977878,7.807950507053755,-23.68525209360581,1671,33.75224416517056,104.81747456612807,150.0
volatility,0.22495191023695704,2.948917407121276,-13.109101425344564,1682,33.53151010701546,106.92627824019024,150.0
kelly,0.03931302975823786,-0.5123988425299737,-13.033817176672905,1682,33.53151010701546,55.88950273742017,100.0
fixed,0.034970815163719846,0.7682694685608271,-21.96887504520802,1682,33.53151010701546,100.0,100.0
anti_martingale,0.006757337899965655,0.15455588927203312,-22.872304383774956,1682,33.53151010701546,104.44708680142688,150.0
