entry_time,exit_time,entry_price,exit_price,direction,pnl_pct,bars_held,exit_reason
2025-11-08 11:30:00,2025-11-08 12:14:00,7.712,7.676428571428571,short,0.003612477771191524,44,tp
2025-11-08 13:31:00,2025-11-08 13:42:00,7.625,7.647178571428571,short,-0.00390866510538641,11,sl
2025-11-09 20:30:00,2025-11-09 20:42:00,7.768,7.728571428571428,short,0.004075768721494856,12,tp
2025-11-10 07:19:00,2025-11-10 07:24:00,8.031,8.057142857142857,short,-0.004255243075937786,5,sl
2025-11-10 14:46:00,2025-11-10 15:04:00,8.502,8.55482142857143,short,-0.007212823873374358,18,sl
2025-11-10 17:02:00,2025-11-10 17:04:00,8.95,8.988785714285713,short,-0.005333599361532288,2,sl
2025-11-11 07:12:00,2025-11-11 07:39:00,8.35,8.302214285714285,short,0.004722840034217284,27,tp
2025-11-11 20:11:00,2025-11-11 20:33:00,8.06,8.021857142857144,short,0.0037323644097837236,22,tp
2025-11-13 16:20:00,2025-11-13 16:34:00,7.407,7.428642857142857,short,-0.003921946421338879,14,sl
2025-11-13 17:19:00,2025-11-13 17:28:00,7.295,7.320178571428571,short,-0.0044514834035053455,9,sl
2025-11-13 18:23:00,2025-11-13 19:23:00,7.177,7.16,short,0.0013686777204959537,60,time
2025-11-14 09:47:00,2025-11-14 10:19:00,7.103,7.119071428571428,short,-0.0032626254500110227,32,sl
2025-11-16 17:03:00,2025-11-16 17:06:00,6.97,6.9934642857142855,short,-0.004366468538634967,3,sl
2025-11-19 17:33:00,2025-11-19 17:37:00,6.686,6.642714285714286,short,0.005474082304175015,4,tp
2025-11-20 15:04:00,2025-11-20 15:06:00,6.823,6.791500000000001,short,0.0036167375054960305,2,tp
2025-11-22 13:02:00,2025-11-22 13:10:00,6.263,6.27725,short,-0.0032752674437171547,8,sl
2025-11-24 14:41:00,2025-11-24 14:50:00,6.24,6.194357142857143,short,0.006314560439560432,9,tp
2025-12-01 08:07:00,2025-12-01 08:17:00,5.766,5.780035714285714,short,-0.003434220306228569,10,sl
