direction,entry,exit,pnl,bars,exit_reason,zone_bars,cumulative_pnl,equity,running_max,drawdown,drawdown_pct
LONG,3257.32,3300.6892857142852,0.012314407462050148,24,TP,11,1.2314407462050148,101.23144074620501,101.23144074620501,0.0,0.0
LONG,3432.14,3416.744642857143,-0.005485643692523356,3,SL,6,0.6828763769526792,100.68287637695268,101.23144074620501,-0.5485643692523325,-0.5418912989963519
LONG,3091.38,3121.7571428571428,0.008826402078406015,11,TP,5,1.5655165847932806,101.56551658479329,101.56551658479329,0.0,0.0
LONG,2828.86,2816.4925000000003,-0.005371902462475985,7,SL,8,1.028326338545682,101.02832633854568,101.56551658479329,-0.5371902462476044,-0.5289100713617935
LONG,2909.07,2901.5475,-0.003585877960997851,5,SL,5,0.6697385424458969,100.6697385424459,101.56551658479329,-0.8957780423473878,-0.8819706456172414
LONG,2992.0,2989.9257142857145,-0.0016932773109242785,2,SL,5,0.5004108113534691,100.50041081135348,101.56551658479329,-1.0651057734398108,-1.0486883828829774
LONG,3027.71,3033.249285714285,0.0008295298143762295,10,TP,5,0.5833637927910921,100.58336379279109,101.56551658479329,-0.9821527920021964,-0.9670140270317371
LONG,2726.75,2754.0950000000003,0.009028422114238599,8,TP,5,1.486206004214952,101.48620600421495,101.56551658479329,-0.07931058057833695,-0.07808809844640871
LONG,3179.16,3169.465714285714,-0.004049323001763304,14,SL,5,1.0812737040386216,101.08127370403862,101.56551658479329,-0.48424288075466393,-0.47677882911213026
SHORT,3431.14,3443.4024999999997,-0.004561157895424549,21,SL,5,0.6251579144961666,100.62515791449617,101.56551658479329,-0.9403586702971154,-0.9258641140391827
SHORT,3440.02,3419.6371428571433,0.004960532153369558,43,TP,5,1.1212111298331224,101.12121112983313,101.56551658479329,-0.4443054549601584,-0.43745699318057835
SHORT,3226.89,3200.4257142857136,0.007268989214827771,5,TP,5,1.8481100513158997,101.8481100513159,101.8481100513159,0.0,0.0
SHORT,3191.62,3149.7121428571427,0.012305297513582336,15,TP,6,3.0786398026741333,103.07863980267413,103.07863980267413,0.0,0.0
SHORT,2764.58,2747.6000000000004,0.0051799388557284285,22,TP,6,3.596633688246976,103.59663368824698,103.59663368824698,0.0,0.0
SHORT,2844.9,2850.1789285714285,-0.002852139358168081,5,SL,6,3.311419752430168,103.31141975243017,103.59663368824698,-0.2852139358168131,-0.2753119726603342
SHORT,3136.65,3109.677857142857,0.007673613183175499,46,TP,5,4.078781070747718,104.07878107074772,104.07878107074772,0.0,0.0
SHORT,3053.39,3059.575357142857,-0.0030216390906721005,25,SL,5,3.776617161680508,103.7766171616805,104.07878107074772,-0.30216390906721813,-0.2903222981270521
