trade_num,entry_time,exit_time,type,signal_price,stop,target,filled,result,size,gross_pnl_pct,net_pnl_pct,pnl_dollar,winner,running_balance
1,2025-11-07 14:36:00,2025-11-07 14:44:00,LONG,3207.33,3186.655714285714,3248.678571428571,YES,TP,1.0,1.3246534354441817,1.2546534354441816,125.46534354441816,WIN,10125.465343544418
2,2025-11-08 15:12:00,2025-11-08 15:21:00,LONG,3393.49,3386.3264285714286,3407.8171428571422,YES,STOP,1.0,-0.1761591225653884,-0.2461591225653884,-24.924756645331428,LOSS,10100.540586899086
3,2025-11-09 03:24:00,2025-11-09 04:15:00,LONG,3362.48,3353.2314285714288,3380.977142857142,YES,TP,1.0,0.5853090329712665,0.5153090329712665,52.048998023219966,WIN,10152.589584922305
4,2025-11-12 02:20:00,2025-11-12 02:32:00,LONG,3437.68,3426.37,3460.2999999999997,YES,STOP,1.0,-0.29410389049352886,-0.36410389049352887,-36.96597366454293,LOSS,10115.623611257763
5,2025-11-12 06:40:00,2025-11-12 06:59:00,LONG,3446.16,3440.46,3457.5599999999995,YES,STOP,1.0,-0.1304471468558834,-0.20044714685588338,-20.276478915446262,LOSS,10095.347132342316
6,2025-11-12 17:37:00,2025-11-12 17:38:00,SHORT,3419.09,3428.6114285714284,3400.047142857143,YES,STOP,0.5,-0.24339325461973532,-0.31339325461973533,-15.819068471603853,LOSS,10079.528063870712
7,2025-11-12 17:39:00,2025-11-12 17:50:00,SHORT,3447.98,3460.1899999999996,3423.5600000000004,YES,TP,0.5,0.7429807238044792,0.6729807238044793,33.916640460156366,WIN,10113.444704330868
8,2025-11-12 19:28:00,2025-11-12 19:43:00,LONG,3381.88,3366.9635714285714,3411.7128571428575,YES,TP,1.0,0.9174593635495853,0.8474593635495854,85.70733412426164,WIN,10199.15203845513
9,2025-11-13 00:21:00,2025-11-13 00:36:00,LONG,3408.19,3398.431428571429,3427.707142857142,YES,TP,1.0,0.6078669439873217,0.5378669439873217,54.85786738185923,WIN,10254.009905836989
10,2025-11-13 03:10:00,2025-11-13 03:15:00,LONG,3410.5,3399.4900000000002,3432.519999999999,YES,STOP,1.0,-0.28792733958864136,-0.35792733958864137,-36.70190485711808,LOSS,10217.30800097987
11,2025-11-13 14:35:00,2025-11-13 14:37:00,LONG,3412.58,3394.2457142857147,3449.248571428571,YES,STOP,1.0,-0.5024317019265778,-0.5724317019265778,-58.487110081089476,LOSS,10158.820890898782
12,2025-11-13 19:55:00,2025-11-13 20:21:00,LONG,3180.53,3157.2971428571436,3226.995714285714,YES,STOP,1.0,-0.6957147468673519,-0.7657147468673519,-77.78758966945327,LOSS,10081.033301229329
13,2025-11-14 04:32:00,2025-11-14 04:36:00,LONG,3192.55,3177.925,3221.8,YES,STOP,1.0,-0.4232458949080338,-0.49324589490803383,-49.724282922625505,LOSS,10031.309018306703
14,2025-11-14 04:38:00,2025-11-14 05:49:00,LONG,3134.23,3104.7207142857146,3193.2485714285713,YES,TP,1.0,1.918704107180382,1.848704107180382,185.44922182539207,WIN,10216.758240132096
15,2025-11-14 12:34:00,2025-11-14 13:02:00,LONG,3091.75,3066.0935714285715,3143.062857142857,YES,TP,1.0,1.695263663066636,1.625263663066636,166.0492592202333,WIN,10382.80749935233
16,2025-11-14 13:51:00,2025-11-14 14:05:00,SHORT,3119.65,3137.482857142857,3083.984285714286,YES,STOP,1.5,-0.536442304426279,-0.606442304426279,-94.44860559482517,LOSS,10288.358893757504
17,2025-11-14 17:47:00,2025-11-14 17:51:00,LONG,3191.43,3175.0392857142856,3224.2114285714283,YES,STOP,1.0,-0.47875283046234335,-0.5487528304623434,-56.45766063761854,LOSS,10231.901233119886
18,2025-11-14 22:14:00,2025-11-14 22:30:00,LONG,3144.7,3129.955,3174.189999999999,YES,TP,1.0,0.9731088966965167,0.9031088966965167,92.40521033750629,WIN,10324.306443457393
19,2025-11-15 02:41:00,2025-11-15 02:45:00,SHORT,3184.43,3191.9442857142853,3169.4014285714284,YES,STOP,1.0,-0.20089925326207117,-0.27089925326207115,-27.968469059813973,LOSS,10296.33797439758
20,2025-11-15 05:12:00,2025-11-15 05:17:00,LONG,3161.42,3154.627142857143,3175.005714285714,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10296.33797439758
21,2025-11-15 08:22:00,2025-11-15 08:25:00,LONG,3159.95,3152.347142857143,3175.155714285714,YES,STOP,1.0,-0.20567253738597002,-0.27567253738597003,-28.384176151856998,LOSS,10267.953798245722
22,2025-11-15 12:43:00,2025-11-15 13:08:00,LONG,3156.53,3149.7607142857146,3170.0685714285714,YES,TP,1.0,0.4640692120124064,0.3940692120124064,40.46284462254487,WIN,10308.416642868267
23,2025-11-15 16:06:00,2025-11-15 16:07:00,LONG,3176.41,3168.061428571428,3193.107142857143,YES,STOP,1.0,-0.22791017863463275,-0.29791017863463276,-30.70982243517107,LOSS,10277.706820433097
