trade_num,entry_time,signal_price,limit_price,filled,winner,actual_entry,exit_price,result,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,profit_after_fees_dollar,running_balance
1,2025-11-07 06:30:00,3355.49,3354.3155785,YES,LOSS,3354.3155785,3349.6739285714284,STOP,-0.138378450683736,0.02,0.05,0.0699999999999999,-0.208378450683736,-20.837845068373603,9979.162154931626
2,2025-11-07 07:25:00,3340.99,3339.8206535,YES,LOSS,3339.8206535,3331.2292857142857,STOP,-0.2572403933340214,0.02,0.05,0.0699999999999999,-0.3272403933340214,-32.65584948723806,9946.506305444387
3,2025-11-07 14:36:00,3207.33,3206.2074345,YES,WIN,3206.2074345,3241.7871428571425,TP,1.1097132385849815,0.02,0.05,0.0699999999999999,1.0397132385849817,103.41514283439524,10049.921448278785
4,2025-11-07 22:13:00,3456.16,3454.950344,YES,LOSS,3454.950344,3448.3707142857143,STOP,-0.1904406448478207,0.02,0.05,0.0699999999999999,-0.2604406448478207,-26.17408022659671,10023.747368052189
5,2025-11-08 13:06:00,3394.56,3393.371904,YES,WIN,3393.371904,3407.181428571428,TP,0.4069558233552235,0.02,0.05,0.0699999999999999,0.3369558233552235,33.7756004750678,10057.522968527255
6,2025-11-08 15:12:00,3393.49,3392.3022785,YES,LOSS,3392.3022785,3387.520357142857,STOP,-0.1409638930896615,0.02,0.05,0.0699999999999999,-0.2109638930896615,-21.21774200279199,10036.305226524462
7,2025-11-08 19:18:00,3392.45,3391.2626425,YES,LOSS,3391.2626425,3386.6964285714284,STOP,-0.1346464255332714,0.02,0.05,0.0699999999999999,-0.2046464255332714,-20.538939901691208,10015.766286622773
8,2025-11-09 01:32:00,3380.1,3378.916965,NO,SKIP,,,SKIPPED,0.0,0.0,0.0,0.0,0.0,0.0,10015.766286622773
9,2025-11-09 03:24:00,3362.48,3361.303132,YES,WIN,3361.303132,3377.894285714285,TP,0.4935929031908913,0.02,0.05,0.0699999999999999,0.4235929031908912,42.42607519031992,10058.192361813091
10,2025-11-09 17:20:00,3510.62,3509.391283,YES,WIN,3509.391283,3524.7807142857137,TP,0.4385213857532035,0.02,0.05,0.0699999999999999,0.3685213857532035,37.06658987347647,10095.258951686568
11,2025-11-10 14:03:00,3604.29,3603.0284985,YES,LOSS,3603.0284985,3597.306071428572,STOP,-0.1588226980111472,0.02,0.05,0.0699999999999999,-0.2288226980111472,-23.100243904461063,10072.158707782108
12,2025-11-11 04:11:00,3588.93,3587.6738745,YES,LOSS,3587.6738745,3578.921071428571,STOP,-0.2439687490449139,0.02,0.05,0.0699999999999999,-0.3139687490449139,-31.62343069664185,10040.535277085466
13,2025-11-11 07:38:00,3548.59,3547.3479935000005,YES,WIN,3547.3479935000005,3566.825714285714,TP,0.5490783769002588,0.02,0.05,0.0699999999999999,0.4790783769002588,48.10203343755895,10088.637310523023
14,2025-11-11 09:44:00,3565.79,3564.5419735,YES,LOSS,3564.5419735,3558.341785714286,STOP,-0.1739406586262269,0.02,0.05,0.0699999999999999,-0.2439406586262268,-24.61028830170113,10064.027022221324
15,2025-11-11 10:34:00,3551.41,3550.1670065,YES,WIN,3550.1670065,3566.3564285714283,TP,0.4560186053722893,0.02,0.05,0.0699999999999999,0.3860186053722893,38.84901675546909,10102.876038976792
16,2025-11-11 11:50:00,3568.39,3567.1410635,YES,WIN,3567.1410635,3580.9364285714287,TP,0.3867344976229442,0.02,0.05,0.0699999999999999,0.3167344976229442,31.999293667521957,10134.875332644317
17,2025-11-12 02:20:00,3437.68,3436.476812,YES,LOSS,3436.476812,3428.255,STOP,-0.2392511996964341,0.02,0.05,0.0699999999999999,-0.3092511996964341,-31.34222355394051,10103.533109090376
18,2025-11-12 06:40:00,3446.16,3444.953844,YES,LOSS,3444.953844,3441.41,STOP,-0.1028705799984083,0.02,0.05,0.0699999999999999,-0.1728705799984083,-17.466036286015747,10086.06707280436
19,2025-11-12 14:48:00,3501.24,3500.014566,YES,LOSS,3500.014566,3480.279285714286,STOP,-0.5638628043845118,0.02,0.05,0.0699999999999999,-0.6338628043845117,-63.93182759978054,10022.135245204578
20,2025-11-12 19:28:00,3381.88,3380.696342,YES,WIN,3380.696342,3406.7407142857146,TP,0.7703848453394877,0.02,0.05,0.0699999999999999,0.7003848453394877,70.19351643684037,10092.328761641418
21,2025-11-13 00:21:00,3408.19,3406.9971335,YES,WIN,3406.9971335,3424.454285714285,TP,0.5123911623709351,0.02,0.05,0.0699999999999999,0.442391162370935,44.64757051892167,10136.97633216034
22,2025-11-13 03:10:00,3410.5,3409.306325,YES,LOSS,3409.306325,3401.3250000000003,STOP,-0.2341040739423654,0.02,0.05,0.0699999999999999,-0.3041040739423654,-30.826958000672963,10106.149374159668
23,2025-11-13 03:15:00,3379.06,3377.877329,YES,WIN,3377.877329,3413.499285714285,TP,1.0545663221236907,0.02,0.05,0.0699999999999999,0.9845663221236908,99.50174320149024,10205.651117361158
24,2025-11-13 14:35:00,3412.58,3411.385597,YES,WIN,3411.385597,3443.1371428571424,TP,0.9307521813149768,0.02,0.05,0.0699999999999999,0.8607521813149769,87.84536461008248,10293.49648197124
25,2025-11-13 19:55:00,3180.53,3179.4168145000003,YES,LOSS,3179.4168145000003,3161.169285714286,STOP,-0.5739269133413009,0.02,0.05,0.0699999999999999,-0.6439269133413008,-66.2825941712528,10227.213887799988
26,2025-11-14 04:32:00,3192.55,3191.4326075000004,YES,LOSS,3191.4326075000004,3180.3625,STOP,-0.3468695367085289,0.02,0.05,0.0699999999999999,-0.4168695367085289,-42.63413915226214,10184.579748647726
27,2025-11-14 04:38:00,3134.23,3133.1330195,YES,WIN,3133.1330195,3183.4121428571425,TP,1.604755465031811,0.02,0.05,0.0699999999999999,1.534755465031811,156.30839428289406,10340.88814293062
28,2025-11-14 12:34:00,3091.75,3090.6678875,YES,WIN,3090.6678875,3134.510714285714,TP,1.4185550949370291,0.02,0.05,0.0699999999999999,1.348555094937029,139.45257391323003,10480.34071684385
