config_id,rsi_threshold,min_body_pct,sl_atr,tp_atr,time_exit,total_return,num_trades,win_rate,avg_win,avg_loss,max_dd,return_dd_ratio,sharpe
13,55,0.8,1.0,4.0,60,5.991502518849824,24,25.0,2.804270580704438,-0.6018956091876003,2.585572866297698,2.3172824084548442,0.7468411847615041
23,60,0.8,1.2,4.0,60,8.896095193101825,25,32.0,2.5278624522694857,-0.6662826132384744,3.9128567590216825,2.2735550368897437,1.0289626028618999
27,57,0.8,1.5,6.0,120,10.601753423863254,24,25.0,4.242071054314341,-0.8250373834457105,5.646366848548846,1.8776239143207594,0.8890216611613091
18,55,0.5,0.8,6.0,60,15.464122414607699,87,16.091954022988507,3.160831547148017,-0.39434957870499354,11.663574668005095,1.3258475943081212,0.9576564268152346
2,50,0.5,1.0,4.0,60,6.1623464565196855,79,26.582278481012654,1.6883456879334762,-0.5050502239669536,5.7689464263142805,1.0681926995215214,0.6262301772825645
17,55,0.5,0.8,5.0,60,11.760201873307807,88,18.181818181818183,2.5190683762264685,-0.39645683536549575,11.015414448343805,1.0676132004344134,0.8478740949252984
11,55,0.5,1.0,6.0,60,12.14379441807582,87,17.24137931034483,3.060674309614396,-0.4689766698075015,13.90932018710001,0.873068867113894,0.738423327397859
10,55,0.5,1.0,5.0,60,9.725200223754129,88,20.454545454545457,2.380895102341366,-0.47329873740557804,11.479286455967138,0.8471955344139702,0.684433809459621
6,55,0.5,0.8,4.0,60,7.760784871477799,88,20.454545454545457,1.967500190409358,-0.39506026508415215,9.411164811448113,0.824635953887161,0.6742534842904385
28,60,0.8,1.2,5.0,90,4.286401433598693,25,24.0,2.9537736215187547,-0.7071705418691492,5.753903036687689,0.7449554513289499,0.48381016871650145
22,50,0.5,0.8,5.0,60,3.9157466400895826,78,19.230769230769234,2.043930380293541,-0.42449538197323083,5.531138462450139,0.7079458716632845,0.3920025071896828
7,55,0.5,1.2,4.0,60,5.636592549827051,87,26.436781609195403,1.768045854186777,-0.5473197202573253,9.30230436292058,0.6059350812358679,0.459777151529728
1,55,0.5,1.0,4.0,60,5.348248055026169,88,22.727272727272727,1.870790884269266,-0.4715819063288111,10.738371406730835,0.49805020262885263,0.45134287265665113
15,55,0.5,1.0,4.0,90,5.670409777445485,88,21.59090909090909,2.0130482787370205,-0.47213779012402773,11.559376488605485,0.4905463355255383,0.47348031015091113
16,55,0.5,1.0,4.0,120,5.670409777445485,88,21.59090909090909,2.0130482787370205,-0.47213779012402773,11.559376488605485,0.4905463355255383,0.47348031015091113
8,55,0.5,1.5,4.0,60,3.6057551937019423,87,29.88505747126437,1.6958944980880832,-0.6637295369932494,9.905605075743466,0.36401160415042205,0.28055926250634805
30,57,0.5,1.0,5.0,75,4.960887748448075,93,18.27956989247312,2.340497859951328,-0.4582575772463751,15.327184449118207,0.32366595214644794,0.4102225382505399
3,52,0.5,1.0,4.0,60,1.6620858368516898,81,22.22222222222222,1.8232737124980711,-0.4945530315573586,6.105746867966472,0.27221663013443104,0.16620506978912977
14,55,0.5,1.0,4.0,30,2.590520607847603,88,22.727272727272727,1.7158955216652287,-0.4665792621390731,10.316058601750921,0.2511153443242286,0.24148993808646702
5,60,0.5,1.0,4.0,60,2.950482850327624,90,22.22222222222222,1.763065114500438,-0.46158313485258773,15.634041369937016,0.18872169904840863,0.2816896791758588
20,55,0.5,1.2,3.0,60,1.7410666340887433,88,31.818181818181817,1.248152513175263,-0.5534533955803103,9.801989710011618,0.17762379737151138,0.1757654917251478
9,55,0.5,1.0,3.0,60,1.5344172168269141,89,28.08988764044944,1.2807041951657687,-0.4762998072237078,11.205666419092253,0.13693225904106593,0.16209246602593244
4,57,0.5,1.0,4.0,60,0.5153724189043173,93,21.50537634408602,1.7034467182419302,-0.4596378348758122,13.042405690476732,0.03951513479454412,0.051075722283416884
29,52,0.5,1.2,4.0,60,-0.06301611152894004,80,25.0,1.728930400695082,-0.5773604020905095,6.7918432259770265,-0.009278204668788566,-0.006060519800672811
19,55,0.5,1.5,3.0,60,-0.8665067076223751,88,35.22727272727273,1.2078845837710674,-0.6721215579741306,11.695825847501117,-0.07408683396286286,-0.08242166875562215
24,60,0.5,1.5,3.0,90,-3.3650032317670058,90,34.44444444444444,1.1531607214927473,-0.6629319592888502,17.759948061297507,-0.1894714567944049,-0.3542406252326522
12,55,0.3,1.0,4.0,60,-9.910417841237933,246,22.76422764227642,1.2439158073416994,-0.4187879108019637,28.240583300404563,-0.3509282275021551,-0.7138822421957952
26,55,0.3,1.0,3.0,45,-7.685507037779455,252,28.57142857142857,0.9254117610377253,-0.412861965736087,21.59953321737773,-0.35581820034870676,-0.6528563243284048
21,50,0.3,1.0,4.0,60,-8.722408044981771,244,23.770491803278688,1.217000949923619,-0.42638958677715955,16.467269009463443,-0.5296815179231699,-0.6966071942513717
25,52,0.3,0.8,3.0,30,-19.935290755080672,248,22.177419354838708,0.909173055898,-0.36238242916824187,25.72103919100552,-0.7750577496904524,-2.05942870229146
