entry_time,direction,entry_price,exit_price,exit_reason,bars_held,pnl_pct,ret_5m_signal,vol_ratio,atr_ratio
2025-11-07 19:13:00,SHORT,7.848,7.872,TIME,15,-0.003058103975535171,0.010038610038610063,1.212464332684225,1.20645491803278
2025-11-08 02:58:00,SHORT,7.852,7.764,TIME,15,0.011207335710646978,0.016703353619059946,1.1576295539927173,1.6502463054187213
2025-11-08 02:59:00,SHORT,7.843,7.763,TIME,15,0.010200178503123814,0.013438428737563068,1.783383301761755,1.5868167202572352
2025-11-08 07:23:00,LONG,7.745,7.743,TIME,15,-0.00025823111684955194,-0.012998598190391286,1.0836979973360112,1.3465783664459052
2025-11-08 07:24:00,LONG,7.739,7.762,TIME,15,0.0029719602015763906,-0.014140127388534984,1.7461522116559107,1.3685578172368902
2025-11-08 07:26:00,LONG,7.734,7.773,TIME,15,0.005042668735453801,-0.011250319611352588,1.3328655521100519,1.3968033356497502
2025-11-08 09:48:00,LONG,7.764,7.777,TIME,15,0.0016743946419371328,-0.010198878123406474,2.0631711654322813,1.1366711772665727
2025-11-09 14:29:00,SHORT,7.616,7.598,TIME,15,0.0023634453781512335,0.01236208959191809,1.2743343120384911,1.658440276406726
2025-11-10 03:10:00,SHORT,7.923,7.84,TIME,15,0.010475829862425873,0.010457849764060612,1.0815569359086739,1.11163227016886
2025-11-10 03:11:00,SHORT,7.93,7.857,TIME,15,0.009205548549810783,0.011866785759857112,1.121769314630006,1.1312849162011185
2025-11-10 03:12:00,SHORT,7.912,7.844,TIME,15,0.008594539939332612,0.010214504596527174,1.024163924883758,1.1947931194793144
2025-11-10 11:51:00,SHORT,8.345,8.428450000000002,SL,4,-0.01,0.012005821004123174,2.944752865835837,1.2924096575666797
2025-11-10 11:52:00,SHORT,8.371,8.45471,SL,3,-0.01,0.014912706110572493,1.8708902210722322,1.3691400186277658
2025-11-10 11:55:00,SHORT,8.469,8.341965,TP,6,0.015,0.01705296024978975,1.8084683566291424,1.716287215411569
2025-11-10 12:00:00,LONG,8.364,8.413,TIME,15,0.005858440937350488,-0.01239815798795596,2.518078440945463,2.5191905094207905
2025-11-10 12:04:00,LONG,8.321,8.445815,TP,11,0.015,-0.017707472553417536,2.9472445774415346,2.49275887038378
2025-11-10 13:32:00,SHORT,8.682,8.704,TIME,15,-0.0025339783460032526,0.0237000353731871,13.562297478325789,1.2167070217917582
2025-11-10 13:33:00,SHORT,8.696,8.663,TIME,15,0.0037948482060716966,0.020178320037541164,3.5044656326118813,1.268848009650177
2025-11-10 13:35:00,SHORT,8.711,8.701,TIME,15,0.0011479738261967382,0.018234950321449617,1.2855081503570591,1.2748319641523513
2025-11-10 13:45:00,LONG,8.62,8.749299999999998,TP,6,0.015,-0.011354513132240007,1.4242494931579106,1.3250610775363405
2025-11-10 14:16:00,LONG,8.563,8.56,TIME,15,-0.0003503445054303531,-0.01199953847928914,3.650894585108481,1.1830506727150834
2025-11-10 15:43:00,SHORT,8.999,9.08899,SL,2,-0.01,0.014657796820385594,2.839231441319699,1.196859645374916
2025-11-10 15:44:00,SHORT,9.021,9.111210000000002,SL,1,-0.01,0.015078204118375238,2.108048986553311,1.2623054938075515
2025-11-10 15:45:00,SHORT,9.083,8.946755,TP,3,0.015,0.018273542600896864,1.38150469370998,1.3359178541491967
2025-11-10 18:01:00,SHORT,9.1,9.190999999999999,SL,4,-0.01,0.010661928031985735,6.804634575049094,1.2945718828071766
2025-11-10 18:02:00,SHORT,9.102,9.19302,SL,3,-0.01,0.01167055685228413,2.4218646463277524,1.249906500112204
2025-11-10 18:05:00,SHORT,9.186,9.158,TIME,15,0.003048116699325111,0.012789415656008885,5.19363789993953,1.2966303485099941
2025-11-10 19:17:00,SHORT,9.378,9.33,TIME,15,0.005118362124120286,0.010124946143903468,5.2117719537151785,1.1274758760792332
2025-11-10 19:27:00,SHORT,9.376,9.346,TIME,15,0.003199658703071604,0.010562621254580629,1.3492773873279529,1.1383248730964506
2025-11-10 21:48:00,LONG,9.006,8.91594,SL,4,-0.01,-0.010873146622734753,1.368764550288037,1.1363239657880946
2025-11-10 21:49:00,LONG,8.956,9.028,TIME,15,0.008039303260384207,-0.0169045005488474,2.36287484258725,1.3131487889273368
2025-11-10 21:50:00,LONG,8.978,9.043,TIME,15,0.007239919803965193,-0.01025245287178922,1.3543601639120881,1.3409110332450214
2025-11-10 21:52:00,LONG,8.923,9.056845,TP,14,0.015,-0.010753880266075377,1.173993141410184,1.349749582637729
2025-11-10 22:44:00,LONG,8.906,8.81694,SL,1,-0.01,-0.012090959511924515,4.147486667122599,1.1114770294747185
