sl_type,sl_value,tp_type,tp_value,session,return,max_dd,return_dd,win_rate,trades
atr,2.0,rr_multiple,2.0,overnight,8.14132018452347,-1.138492533358744,7.15096493475035,52.0,25
atr,1.5,rr_multiple,3.0,overnight,7.827889992928194,-1.3758447220099008,5.689515588280073,44.0,25
atr,2.0,rr_multiple,3.0,overnight,6.724349188327873,-1.3107196240900112,5.130272763708993,44.0,25
atr,1.5,rr_multiple,2.0,overnight,5.782432475090006,-1.1733385040555726,4.928187777954428,52.0,25
atr,1.0,rr_multiple,4.0,overnight,4.787121794887773,-1.228690300019259,3.8961175121287583,40.0,25
atr,1.5,rr_multiple,4.0,overnight,5.372437606401027,-1.4106785819139231,3.808406589055906,36.0,25
atr,1.0,rr_multiple,3.0,overnight,4.553959493138106,-1.2211576310280996,3.7292151131251594,48.0,25
atr,2.0,rr_multiple,4.0,overnight,4.510746589636861,-1.480263624757285,3.0472589572526156,44.0,25
atr,1.5,rr_multiple,3.0,all,5.125107500353389,-2.4632735841098,2.080608314648714,35.294117647058826,51
atr,2.0,rr_multiple,2.0,all,4.818886804591129,-2.4591177120241863,1.9595998926885585,41.17647058823529,51
atr,1.5,rr_multiple,2.0,all,3.6454440097738585,-1.9484180097295623,1.8709763467439111,43.13725490196079,51
fixed_pct,0.5,rr_multiple,2.0,overnight,3.2030055782580233,-1.9885650292879364,1.6107120114673608,48.0,25
atr,1.0,rr_multiple,2.0,overnight,1.7240812824872018,-1.2331454132905593,1.398116770257139,52.0,25
atr,1.0,rr_multiple,4.0,asia_eu,-3.3937884121484454,-3.1156456993626245,1.0892728954523685,0.0,12
atr,1.0,rr_multiple,3.0,asia_eu,-2.6224522588764723,-2.5018084944596666,1.0482226216291035,8.333333333333332,12
atr,2.0,rr_multiple,4.0,us,-3.904767889220817,-3.773609797559372,1.0347566650230433,28.57142857142857,14
atr,2.0,rr_multiple,3.0,us,-4.17872485514742,-4.049915820415383,1.0318053610108928,28.57142857142857,14
atr,1.5,rr_multiple,4.0,us,-3.9044518867531686,-3.9549596222487047,0.98722926646042,21.428571428571427,14
fixed_pct,0.5,rr_multiple,3.0,us,-3.5127528392628884,-3.621406216026383,0.9699969099620326,21.428571428571427,14
fixed_pct,0.5,rr_multiple,4.0,us,-3.5127528392628884,-3.621406216026383,0.9699969099620326,21.428571428571427,14
atr,1.0,rr_multiple,4.0,us,-4.078057674857815,-4.310377995267468,0.9461021004040188,7.142857142857142,14
fixed_pct,0.5,rr_multiple,4.0,overnight,2.2347767530578446,-2.4201142215686495,0.9234178838093541,40.0,25
fixed_pct,0.5,rr_multiple,3.0,overnight,2.2168030661210767,-2.420529471147022,0.9158339497806631,44.0,25
fixed_pct,0.5,rr_multiple,2.0,all,2.2659381313839733,-2.587127322287051,0.8758510305479892,45.09803921568628,51
atr,1.0,rr_multiple,2.0,asia_eu,-2.1698234950746844,-2.4905217106199706,0.8712325155898946,16.666666666666664,12
atr,1.0,rr_multiple,3.0,us,-3.625731955611299,-4.310377995267468,0.8411633410323018,7.142857142857142,14
atr,1.0,rr_multiple,2.0,us,-2.1033906600277255,-2.5776886893922852,0.8159987157035709,28.57142857142857,14
atr,1.0,rr_multiple,2.0,all,-2.549132872615209,-3.1618815218504848,0.8062075871594753,37.254901960784316,51
atr,1.5,rr_multiple,3.0,us,-2.7154210900792397,-3.626227209510939,0.7488281713173351,28.57142857142857,14
atr,2.0,rr_multiple,2.0,us,-2.397851488548397,-3.2980933681585167,0.7270417240756384,35.714285714285715,14
