token,baseline_trades,baseline_return,baseline_dd,baseline_wr,baseline_rr,opt_trades,opt_return,opt_dd,opt_wr,opt_rr,return_improvement,dd_change,rr_improvement,opt_avg_win,opt_avg_loss
FARTCOIN,238,261.81100376064205,-36.54120138235501,45.378151260504204,7.1648165319234725,235,942.2299395816838,-55.27026005417155,40.85106382978723,17.04768420952216,680.4189358210417,-18.72905867181654,9.882867677598687,6.233014141528193,-3.0100000000000016
PENGU,248,146.2240031421946,-36.671011360596914,43.145161290322584,3.9874548783051185,255,306.51691427696636,-75.98740468420587,42.745098039215684,4.033785803723817,160.29291113477177,-39.316393323608956,0.046330925418698765,5.01946430979221,-3.0100000000000025
PI,140,88.74473353625692,-21.770414722521153,44.285714285714285,4.0763915004546,141,94.73033786998953,-37.10422627582952,45.39007092198582,2.553087542259273,5.98560433373261,-15.333811553308365,-1.5233039581953265,4.417812136580586,-3.010000000000001
