direction,total_trades,win_rate,total_return,avg_win,avg_loss,profit_factor,max_drawdown,rr_ratio,version,coin
LONG,21,19.047619047619047,-4.272765005501611,2.257819016228523,0.7765229213792878,0.6841414703980827,8.31858219229281,2.9076012491918513,Conservative,GOAT
SHORT,19,15.789473684210526,-8.365447222741537,3.409263932411326,1.1581398293743843,0.5519514752138636,9.96028809991607,2.9437412011406057,Conservative,GOAT
LONG,2,0.0,-4.371871348762809,0.0,2.2026371356772767,0.0,4.371871348762809,0.0,Baseline,GOAT
SHORT,4,0.0,-20.421354073935703,0.0,5.490748130772912,0.0,20.421354073935703,0.0,Baseline,GOAT
LONG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aggressive,GOAT
SHORT,1,0.0,-17.2008875056126,0.0,17.200887505612588,0.0,17.2008875056126,0.0,Aggressive,GOAT
