entry_idx,exit_idx,direction,entry_price,exit_price,exit_type,pnl_pct,position_size,timestamp,weighted_pnl,size_mult
251,268,LONG,3347.52,3340.694285714286,SL,-0.2039036147868925,70.0,2025-11-07 04:02:00,-0.14273253035082475,0.7
276,303,LONG,3334.29,3325.947142857143,SL,-0.25021390289558365,70.0,2025-11-07 04:37:00,-0.17514973202690853,0.7
304,305,LONG,3326.86,3321.4285714285716,SL,-0.16325990788396771,91.0,2025-11-07 04:39:00,-0.14856651617441063,0.91
306,323,LONG,3324.14,3337.002857142857,TP,0.38695293046794477,100.0,2025-11-07 04:57:00,0.38695293046794477,1.0
329,330,SHORT,3341.57,3346.5042857142857,SL,-0.1476636944396071,130.0,2025-11-07 05:04:00,-0.19196280277148925,1.3
331,334,SHORT,3350.05,3355.934285714286,SL,-0.17564769822199228,130.0,2025-11-07 05:08:00,-0.22834200768858998,1.3
335,361,SHORT,3357.42,3364.16,SL,-0.20074938494438532,100.0,2025-11-07 05:35:00,-0.20074938494438532,1.0
408,416,SHORT,3369.08,3360.3,TP,0.2606052690942259,91.0,2025-11-07 06:30:00,0.23715079487574556,0.91
417,436,LONG,3355.04,3350.4900000000002,SL,-0.13561686298821257,91.0,2025-11-07 06:50:00,-0.12341134531927345,0.91
442,448,LONG,3347.51,3356.1099999999997,TP,0.25690737294285765,91.0,2025-11-07 07:02:00,0.23378570937800047,0.91
464,470,SHORT,3363.07,3352.255714285715,TP,0.32155993524622545,130.0,2025-11-07 07:24:00,0.4180279158200931,1.3
477,505,LONG,3343.8,3359.162857142857,TP,0.459443063067668,100.0,2025-11-07 07:59:00,0.459443063067668,1.0
525,528,LONG,3348.55,3343.1571428571433,SL,-0.1610505186679871,91.0,2025-11-07 08:22:00,-0.14655597198786827,0.91
544,569,LONG,3337.74,3332.335714285714,SL,-0.16191452043256316,130.0,2025-11-07 09:03:00,-0.21048887656233212,1.3
574,589,LONG,3322.72,3316.5499999999997,SL,-0.185691240911063,169.0,2025-11-07 09:23:00,-0.3138181971396965,1.69
591,596,LONG,3311.57,3304.4671428571432,SL,-0.21448609399339044,100.0,2025-11-07 09:30:00,-0.21448609399339044,1.0
597,600,LONG,3306.14,3296.5657142857144,SL,-0.28959105525735307,60.0,2025-11-07 09:34:00,-0.17375463315441184,0.6
601,641,LONG,3296.04,3284.308571428571,SL,-0.3559249454323598,60.0,2025-11-07 10:15:00,-0.2135549672594159,0.6
642,651,LONG,3283.74,3275.2585714285715,SL,-0.25828563075725536,100.0,2025-11-07 10:25:00,-0.25828563075725536,1.0
669,676,SHORT,3287.58,3278.4857142857145,TP,0.2766255335014033,91.0,2025-11-07 10:50:00,0.251729235486277,0.91
695,698,LONG,3269.53,3262.9042857142863,SL,-0.2026503590948519,100.0,2025-11-07 11:12:00,-0.2026503590948519,1.0
699,701,LONG,3260.66,3250.8714285714286,SL,-0.3002021501343664,60.0,2025-11-07 11:15:00,-0.18012129008061983,0.6
702,706,LONG,3250.5,3238.611428571429,SL,-0.36574592919769694,60.0,2025-11-07 11:20:00,-0.21944755751861816,0.6
707,713,LONG,3244.2,3228.585714285714,SL,-0.4812984931350062,60.0,2025-11-07 11:27:00,-0.2887790958810037,0.6
736,738,SHORT,3252.48,3264.2742857142857,SL,-0.36262438859841434,60.0,2025-11-07 11:52:00,-0.2175746331590486,0.6
741,766,SHORT,3261.27,3235.2185714285715,TP,0.7988123820299595,42.0,2025-11-07 12:20:00,0.33550120045258297,0.42
767,772,LONG,3234.27,3225.3685714285716,SL,-0.2752221852667949,100.0,2025-11-07 12:26:00,-0.2752221852667949,1.0
773,774,LONG,3223.24,3213.2357142857145,SL,-0.310379795307991,78.0,2025-11-07 12:28:00,-0.24209624034023297,0.78
775,776,LONG,3215.63,3203.5771428571434,SL,-0.3748210192981387,60.0,2025-11-07 12:30:00,-0.2248926115788832,0.6
777,816,LONG,3203.99,3231.844285714285,TP,0.8693624422761993,60.0,2025-11-07 13:10:00,0.5216174653657195,0.6
827,896,SHORT,3248.25,3223.4728571428573,TP,0.7627843564116905,78.0,2025-11-07 14:30:00,0.5949717980011187,0.78
903,908,LONG,3197.47,3227.0014285714283,TP,0.9235873541089824,78.0,2025-11-07 14:42:00,0.7203981362050063,0.78
917,922,SHORT,3265.74,3298.9385714285713,SL,-1.016571173105377,42.0,2025-11-07 14:56:00,-0.4269598927042583,0.42
946,1011,SHORT,3303.35,3324.9114285714286,SL,-0.6527140197505162,42.0,2025-11-07 16:25:00,-0.2741398882952168,0.42
1012,1042,SHORT,3328.2,3301.962857142857,TP,0.7883283113137064,78.0,2025-11-07 16:56:00,0.614896082824691,0.78
1060,1067,SHORT,3331.86,3345.154285714286,SL,-0.39900493160834205,78.0,2025-11-07 17:21:00,-0.3112238466545068,0.78
1068,1069,SHORT,3351.36,3365.267142857143,SL,-0.4149701272660306,78.0,2025-11-07 17:23:00,-0.32367669926750386,0.78
