session,candles,avg_body,avg_range,avg_volume,long_signals,long_win_rate,avg_long_fwd1,short_signals,short_win_rate,avg_short_fwd1
Asia,14400,-0.001038458333333333,0.18215983333333333,255344.64129513886,422,29.620853080568722,0.002280094786729858,431,28.074245939675173,-0.01611044083526682
Europe,10800,-0.0014829259259259262,0.17285914814814815,250475.4481888889,263,32.31939163498099,0.023872623574144484,244,33.19672131147541,-0.013850000000000001
US,12600,-0.00029817460317460326,0.24949924603174603,416615.42897539685,762,36.351706036745405,0.02392099737532808,785,32.738853503184714,-0.005873630573248409
Overnight,5400,0.0028419444444444442,0.1734595,221148.66399074072,158,27.21518987341772,0.011773417721518983,156,23.076923076923077,-0.011673076923076921
