entry_time,signal_price,limit_price,min_price_in_trade,filled,actual_entry,exit_price,result,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,profit_after_fees_dollar,running_balance
2025-11-07 06:30:00,3355.49,3354.3155785,3349.04,YES,3354.3155785,3349.6739285714284,STOP,-0.138378450683736,0.02,0.05,0.06999999999999999,-0.208378450683736,-20.837845068373603,9979.162154931626
2025-11-07 07:25:00,3340.99,3339.8206535,3328.67,YES,3339.8206535,3331.2292857142857,STOP,-0.2572403933340214,0.02,0.05,0.06999999999999999,-0.3272403933340214,-32.65584948723806,9946.506305444387
2025-11-07 14:36:00,3207.33,3206.2074345,3194.05,YES,3206.2074345,3241.7871428571425,TP,1.1097132385849817,0.02,0.05,0.06999999999999999,1.0397132385849817,103.41514283439525,10049.921448278783
2025-11-07 22:13:00,3456.16,3454.950344,3447.11,YES,3454.950344,3448.3707142857143,STOP,-0.19044064484782078,0.02,0.05,0.06999999999999999,-0.26044064484782076,-26.17408022659671,10023.747368052187
2025-11-08 13:06:00,3394.56,3393.371904,3390.43,YES,3393.371904,3407.181428571428,TP,0.40695582335522357,0.02,0.05,0.06999999999999999,0.33695582335522356,33.7756004750678,10057.522968527255
2025-11-08 15:12:00,3393.49,3392.3022785,3385.26,YES,3392.3022785,3387.520357142857,STOP,-0.1409638930896615,0.02,0.05,0.06999999999999999,-0.21096389308966151,-21.21774200279199,10036.305226524462
2025-11-08 19:18:00,3392.45,3391.2626425,3378.42,YES,3391.2626425,3386.6964285714284,STOP,-0.1346464255332714,0.02,0.05,0.06999999999999999,-0.2046464255332714,-20.538939901691208,10015.766286622771
2025-11-09 01:32:00,3380.1,3378.916965,3380.04,NO,,,SKIPPED,0.0,0.0,0.0,0.0,0.0,0.0,10015.766286622771
2025-11-09 03:24:00,3362.48,3361.303132,3358.8,YES,3361.303132,3377.894285714285,TP,0.4935929031908913,0.02,0.05,0.06999999999999999,0.42359290319089127,42.426075190319914,10058.192361813091
2025-11-09 17:20:00,3510.62,3509.391283,3504.89,YES,3509.391283,3524.7807142857137,TP,0.4385213857532035,0.02,0.05,0.06999999999999999,0.3685213857532035,37.06658987347647,10095.258951686568
2025-11-10 14:03:00,3604.29,3603.0284985000003,3595.04,YES,3603.0284985000003,3597.306071428572,STOP,-0.15882269801114726,0.02,0.05,0.06999999999999999,-0.22882269801114724,-23.100243904461063,10072.158707782108
2025-11-11 04:11:00,3588.93,3587.6738745,3576.04,YES,3587.6738745,3578.921071428571,STOP,-0.2439687490449139,0.02,0.05,0.06999999999999999,-0.3139687490449139,-31.62343069664185,10040.535277085466
2025-11-11 07:38:00,3548.59,3547.3479935000005,3542.05,YES,3547.3479935000005,3566.825714285714,TP,0.5490783769002588,0.02,0.05,0.06999999999999999,0.47907837690025884,48.10203343755895,10088.637310523025
2025-11-11 09:44:00,3565.79,3564.5419735,3552.67,YES,3564.5419735,3558.341785714286,STOP,-0.1739406586262269,0.02,0.05,0.06999999999999999,-0.24394065862622688,-24.61028830170113,10064.027022221324
2025-11-11 10:34:00,3551.41,3550.1670065,3549.04,YES,3550.1670065,3566.3564285714283,TP,0.45601860537228933,0.02,0.05,0.06999999999999999,0.3860186053722893,38.849016755469094,10102.876038976792
2025-11-11 11:50:00,3568.39,3567.1410635,3566.96,YES,3567.1410635,3580.9364285714287,TP,0.38673449762294426,0.02,0.05,0.06999999999999999,0.31673449762294426,31.999293667521954,10134.875332644315
2025-11-12 02:20:00,3437.68,3436.476812,3424.93,YES,3436.476812,3428.255,STOP,-0.23925119969643413,0.02,0.05,0.06999999999999999,-0.3092511996964341,-31.34222355394051,10103.533109090375
