strategy,exit_method,session,total_trades,total_return_pct,win_rate,profit_factor,avg_win,avg_loss,max_drawdown,sharpe_ratio,avg_duration,largest_win,largest_loss
green_above_sma20,time_based_8,all,913,23.68,25.85,1.06,2.04,-0.66,32.4,0.35,4.0,16.96,-2.98
green_above_sma20,time_based_4,all,1235,23.11,32.55,1.04,1.42,-0.65,41.47,0.3,2.8,9.88,-4.02
ema20_pullback,fixed_rr_1.5,all,482,22.54,39.83,1.07,1.8,-1.1,23.34,0.52,5.5,11.88,-5.53
green_candle_basic,time_based_8,all,1240,21.22,30.56,1.03,1.82,-0.76,31.11,0.27,4.5,20.63,-3.42
rsi14_oversold_30,fixed_rr_2.0,all,173,21.08,39.31,1.1,3.05,-1.73,21.82,0.85,14.2,8.59,-4.67
ema50_pullback,fixed_rr_1.0,all,500,20.21,50.8,1.08,1.12,-1.06,26.6,0.55,3.9,7.92,-4.47
green_above_ema20,fixed_rr_3.0,all,771,19.91,26.46,1.05,2.47,-0.83,41.26,0.34,5.5,20.76,-6.47
price_cross_ema10,time_based_8,all,517,19.52,45.84,1.05,1.69,-1.32,27.5,0.41,6.9,18.61,-7.7
ema20_pullback,time_based_4,all,634,19.44,41.96,1.06,1.17,-0.79,20.95,0.43,3.2,12.03,-3.95
period_4_breakout,time_based_4,all,627,19.43,44.98,1.05,1.45,-1.11,31.73,0.39,3.8,16.05,-7.7
period_12_breakout,time_based_8,all,279,18.87,43.37,1.07,2.22,-1.54,24.17,0.57,7.4,16.96,-8.96
rsi14_oversold_30,fixed_rr_3.0,all,171,18.29,33.33,1.09,3.84,-1.7,29.17,0.74,16.1,12.28,-4.67
rsi14_momentum_50,time_based_8,all,385,17.8,42.08,1.06,1.92,-1.3,29.69,0.47,6.9,20.63,-5.41
green_above_ema20,time_based_4,all,1242,17.61,33.49,1.03,1.39,-0.67,35.26,0.26,2.7,9.88,-4.02
rsi7_oversold_30,time_based_8,all,460,17.49,40.22,1.06,1.79,-1.11,33.37,0.42,5.7,20.63,-4.67
green_candle_basic,fixed_rr_2.0,all,984,17.33,33.43,1.03,2.17,-1.04,35.36,0.28,6.3,15.66,-6.38
rsi14_oversold_30,fixed_rr_1.5,all,176,16.54,44.32,1.09,2.5,-1.78,18.86,0.74,11.4,8.44,-4.67
green_above_ema50,fixed_rr_2.0,all,765,15.06,34.77,1.03,1.84,-0.93,26.37,0.3,5.1,15.76,-6.47
ema20_pullback,fixed_rr_1.0,all,563,14.66,48.49,1.05,1.23,-1.09,27.79,0.39,4.2,7.92,-5.53
period_8_breakout,time_based_4,all,416,13.93,44.23,1.05,1.54,-1.14,29.42,0.4,3.9,16.05,-8.12
ema_10_50_cross,fixed_rr_1.0,all,110,13.62,53.64,1.12,2.05,-2.05,15.33,0.95,10.4,6.07,-4.66
rsi14_oversold_35,fixed_rr_2.0,all,235,13.6,37.87,1.06,2.73,-1.52,30.89,0.54,12.3,10.92,-5.6
breakout_8_above_ema20,time_based_8,all,325,13.17,43.08,1.04,2.21,-1.57,37.19,0.43,7.4,16.96,-8.21
period_4_breakout,fixed_rr_3.0,all,230,12.78,37.39,1.03,4.12,-2.26,28.57,0.51,23.6,21.76,-10.99
rsi7_momentum_50,fixed_rr_3.0,all,240,12.15,32.5,1.03,4.74,-2.11,31.26,0.49,21.9,12.05,-5.23
period_4_breakout,time_based_8,all,470,11.79,42.55,1.03,1.92,-1.35,35.24,0.34,6.9,16.96,-5.8
green_candle_basic,fixed_rr_3.0,all,746,11.51,25.6,1.02,3.05,-1.0,29.86,0.27,8.2,23.49,-5.43
rsi7_oversold_30,fixed_rr_1.0,all,414,9.88,49.28,1.03,1.65,-1.52,35.69,0.34,6.5,9.07,-4.67
rsi7_oversold_30,time_based_4,all,497,9.03,44.06,1.04,1.29,-0.97,33.06,0.29,3.4,20.89,-4.1
breakout_8_above_ema20,time_based_4,all,411,8.92,43.8,1.03,1.54,-1.14,34.46,0.32,3.9,16.05,-8.21
price_cross_ema50,fixed_rr_3.0,all,170,8.81,37.06,1.04,3.79,-2.06,35.71,0.49,18.6,10.7,-5.46
session_open_breakout,fixed_rr_3.0,all,194,8.5,29.38,1.05,3.12,-1.2,29.17,0.46,9.6,11.75,-4.86
rsi14_oversold_30,time_based_8,all,203,7.9,40.89,1.06,1.79,-1.16,24.5,0.46,6.0,9.75,-4.67
period_8_breakout,time_based_8,all,330,7.33,42.12,1.03,2.19,-1.52,36.81,0.33,7.3,16.96,-8.12
