time_exit,daily_ema,session,final_capital,return,trades,wins,wr,max_dd,sharpe,avg_pnl
12,8,Overlap,93.94,-99.1,85,29,34.1,99.1,-1.0,-0.4
12,8,US_evening,517.54,-94.8,228,78,34.2,99.3,-0.96,1.26
12,8,Asia_EU,93.02,-99.1,158,46,29.1,99.9,-0.99,0.62
12,10,24h,84.33,-99.2,140,38,27.1,99.7,-0.99,1.79
12,10,EU,99.67,-99.0,98,27,27.6,99.8,-0.99,0.39
12,10,US,92.89,-99.1,53,18,34.0,99.3,-1.0,-2.86
12,10,US_late,99.46,-99.0,147,52,35.4,99.5,-1.0,0.14
12,10,Overlap,94.03,-99.1,81,27,33.3,99.1,-1.0,-0.59
12,10,US_evening,1382.66,-86.2,213,74,34.7,99.1,-0.87,1.79
12,10,Asia_EU,95.9,-99.0,156,45,28.8,99.9,-0.99,0.44
12,13,24h,80.61,-99.2,131,36,27.5,99.8,-0.99,1.14
12,13,EU,95.72,-99.0,94,25,26.6,99.8,-0.99,-0.08
12,13,US,83.78,-99.2,45,14,31.1,99.6,-1.0,-5.23
12,13,US_late,92.6,-99.1,121,41,33.9,99.5,-1.0,-0.61
12,13,Overlap,82.36,-99.2,85,28,32.9,99.4,-1.0,-0.72
12,13,US_evening,598.21,-94.0,210,71,33.8,99.7,-0.94,1.38
12,13,Asia_EU,97.47,-99.0,161,47,29.2,99.8,-0.99,0.59
12,20,24h,88.42,-99.1,78,20,25.6,99.5,-1.0,-1.83
12,20,EU,77.06,-99.2,83,22,26.5,99.6,-1.0,-1.76
12,20,US,88.95,-99.1,35,10,28.6,99.1,-1.0,-9.53
12,20,US_late,73.11,-99.3,82,29,35.4,99.3,-1.0,-2.84
12,20,Overlap,85.32,-99.1,84,28,33.3,99.1,-1.0,-1.31
12,20,US_evening,97.75,-99.0,178,57,32.0,99.5,-0.99,-0.2
12,20,Asia_EU,99.94,-99.0,134,40,29.9,99.4,-1.0,-0.17
