config,trades,win_rate,return_pct,max_dd,rr_ratio
Baseline,27,55.55555555555556,6.097573093891678,2.592170615262276,1.4212637983686849
Best Session: Afternoon (12-18 UTC),14,71.42857142857143,6.225752706225976,1.5258474671915883,1.2862368320932542
Best SL/TP: SL:1.0x_TP:6.0x,28,28.57142857142857,5.800556870075615,2.901222397801732,3.904799727648953
