session,hours,total_return,max_drawdown,profit_dd_ratio,win_rate,total_trades,avg_win,avg_loss,final_balance
24/7,All,-100.0,-100.0,1.0,36.59359190556493,593,991.1431768387894,-598.6118866330246,1.0555094576808422e-44
Asian (23-07 UTC),"[23, 0, 1, 2, 3, 4, 5, 6]",-99.99999999787195,-99.99999999999933,0.9999999999787262,40.932642487046635,193,2548.331125413902,-1853.6680605919778,2.1280528787549867e-07
European (07-15 UTC),"[7, 8, 9, 10, 11, 12, 13, 14]",-99.99999999775518,-99.9999999999821,0.9999999999777309,40.74074074074074,189,147.39490335840975,-190.61971034261668,2.24482035353887e-07
US (13-21 UTC),"[13, 14, 15, 16, 17, 18, 19, 20]",-100.0,-100.0,1.0,33.76623376623377,308,147.73677543758257,-124.33639532112053,6.084597760371025e-27
Euro+US (07-21 UTC),"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",-100.0,-100.0,1.0,35.189873417721515,395,76.77265753053365,-80.74765389353193,4.642179687785696e-32
High Volume (09-19 UTC),"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",-100.0,-100.0,1.0,31.804281345565748,327,2.653531479776945,-46.08057073496324,7.776065804661532e-33
Avoid Off-hours (07-21 UTC),"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",-100.0,-100.0,1.0,35.189873417721515,395,76.77265753053365,-80.74765389353193,4.642179687785696e-32
Peak Volatility (Top 8h),"[15, 14, 16, 17, 18, 15, 14, 16]",-100.0,-100.0,1.0,30.630630630630627,222,75.75667092605917,-98.38606248683132,9.969004970588469e-23
